order,seasonal,aic
"(2, 1, 1)","(1, 1, 0, 5)",3026.6156505949994
"(1, 0, 1)","(1, 1, 0, 5)",3027.3971704985815
"(2, 0, 2)","(1, 1, 0, 5)",3027.52293544011
"(1, 0, 2)","(1, 1, 0, 5)",3028.172479716005
"(2, 1, 2)","(1, 1, 0, 5)",3028.407225734046
"(2, 0, 1)","(1, 1, 0, 5)",3030.0972351990595
"(1, 1, 1)","(1, 1, 0, 5)",3030.3871213959346
"(2, 1, 0)","(1, 1, 0, 5)",3076.7614312983833
"(1, 1, 0)","(1, 1, 0, 5)",3080.5123620003114
"(0, 1, 2)","(1, 1, 0, 5)",3082.713357272977
"(1, 1, 2)","(1, 1, 0, 5)",3083.514606807439
"(0, 1, 1)","(1, 1, 0, 5)",3083.758412930827
"(0, 1, 0)","(1, 1, 0, 5)",3090.2365741545655
"(0, 0, 2)","(0, 1, 1, 5)",3119.1281678149553
"(0, 0, 2)","(1, 1, 1, 5)",3120.7235746794986
"(0, 0, 2)","(1, 1, 0, 5)",3143.807433620733
"(2, 0, 2)","(0, 1, 0, 5)",3207.6386673459356
"(2, 0, 1)","(0, 1, 0, 5)",3216.837819858757
"(1, 0, 2)","(0, 1, 0, 5)",3217.377395116111
"(1, 1, 2)","(0, 1, 0, 5)",3221.050534059295
"(2, 0, 0)","(0, 1, 0, 5)",3221.476076300799
"(1, 0, 1)","(0, 1, 0, 5)",3221.8090175480047
"(2, 1, 2)","(0, 1, 0, 5)",3222.997947223245
"(1, 1, 1)","(0, 1, 0, 5)",3224.4849926571087
"(2, 1, 1)","(0, 1, 0, 5)",3224.6249873091774
"(1, 0, 0)","(0, 1, 0, 5)",3225.1832902451433
"(1, 0, 1)","(1, 0, 0, 5)",3229.6339807195163
"(0, 0, 2)","(0, 1, 0, 5)",3246.445969795399
"(0, 0, 2)","(1, 0, 0, 5)",3261.0517533640786
"(0, 0, 1)","(0, 1, 1, 5)",3304.5153168464535
"(0, 0, 1)","(1, 1, 1, 5)",3304.579696873595
"(0, 1, 2)","(0, 1, 0, 5)",3309.056963994145
"(0, 0, 1)","(1, 1, 0, 5)",3312.0869753961224
"(2, 1, 0)","(0, 1, 0, 5)",3316.655713521917
"(0, 1, 1)","(0, 1, 0, 5)",3316.761536036237
"(1, 1, 0)","(0, 1, 0, 5)",3324.091594157957
"(0, 0, 1)","(1, 0, 1, 5)",3327.5429688193326
"(0, 1, 0)","(0, 1, 0, 5)",3329.766215727593
"(0, 0, 1)","(0, 1, 0, 5)",3375.4711241046616
"(0, 0, 1)","(1, 0, 0, 5)",3388.412900107757
"(1, 0, 1)","(1, 0, 1, 5)",3524.3735500542016
"(0, 0, 2)","(1, 0, 1, 5)",3558.2054100996925
"(0, 0, 0)","(0, 1, 1, 5)",3640.9964702169364
