order,seasonal,aic
"(1, 1, 0)","(1, 1, 0, 5)",2200.0726654200125
"(0, 1, 1)","(1, 1, 0, 5)",2201.4751210975855
"(0, 1, 0)","(1, 1, 0, 5)",2205.601879517091
"(2, 0, 2)","(0, 0, 0, 5)",2253.415434824842
"(1, 0, 0)","(1, 0, 1, 5)",2280.4571001396844
"(1, 0, 2)","(0, 0, 0, 5)",2283.171427566136
"(1, 0, 1)","(0, 0, 1, 5)",2291.716159732263
"(0, 0, 2)","(1, 1, 1, 5)",2298.197002524227
"(2, 0, 2)","(0, 1, 0, 5)",2314.7847254082326
"(2, 0, 1)","(0, 1, 0, 5)",2315.63888472922
"(2, 1, 2)","(0, 1, 0, 5)",2318.179706151817
"(2, 0, 0)","(0, 1, 0, 5)",2319.073182980873
"(2, 0, 0)","(1, 0, 0, 5)",2319.8559056892022
"(1, 0, 2)","(0, 1, 0, 5)",2320.1126503154624
"(1, 0, 1)","(0, 1, 0, 5)",2321.8987042700123
"(1, 1, 2)","(0, 1, 0, 5)",2324.379605584683
"(1, 0, 0)","(0, 1, 0, 5)",2351.0989693258744
"(0, 0, 2)","(1, 0, 0, 5)",2387.6959494184593
"(1, 0, 1)","(1, 0, 0, 5)",2388.4237168975633
"(0, 1, 2)","(0, 1, 0, 5)",2412.01683654428
"(2, 1, 0)","(0, 1, 0, 5)",2414.847627942442
"(2, 1, 1)","(0, 1, 0, 5)",2416.489004102975
"(1, 1, 1)","(0, 1, 0, 5)",2417.8957649044078
"(0, 1, 1)","(0, 1, 0, 5)",2418.393566797944
"(0, 0, 2)","(0, 1, 1, 5)",2419.0650485046103
"(1, 1, 0)","(0, 1, 0, 5)",2422.6860231233018
"(0, 0, 2)","(1, 1, 0, 5)",2423.610803804034
"(0, 1, 0)","(0, 1, 0, 5)",2425.364962395516
"(0, 0, 2)","(0, 1, 0, 5)",2475.047295670134
"(0, 0, 1)","(1, 1, 1, 5)",2547.467756911463
"(0, 0, 1)","(0, 1, 1, 5)",2554.2423579868873
"(0, 0, 1)","(1, 1, 0, 5)",2555.481533121013
"(0, 0, 1)","(1, 0, 1, 5)",2571.251302157032
"(0, 0, 1)","(0, 1, 0, 5)",2586.3109718571695
"(0, 0, 1)","(1, 0, 0, 5)",2594.25354410394
"(2, 0, 0)","(1, 0, 1, 5)",2976.979277304962
"(0, 0, 0)","(1, 1, 1, 5)",3037.2529520535536
"(0, 0, 0)","(0, 1, 1, 5)",3037.875419731262
"(0, 0, 0)","(1, 1, 0, 5)",3041.66924747202
"(0, 0, 0)","(0, 1, 0, 5)",3053.7591455563243
"(0, 0, 0)","(1, 0, 1, 5)",3057.2953203478583
"(0, 0, 0)","(1, 0, 0, 5)",3058.7721826779307
"(1, 0, 1)","(1, 0, 1, 5)",3095.9894981098646
"(1, 0, 2)","(1, 0, 0, 5)",3164.2342128863306
"(2, 0, 1)","(0, 0, 0, 5)",3359.8735776980234
"(0, 0, 2)","(0, 0, 1, 5)",4590.577030677181
"(0, 0, 2)","(1, 0, 1, 5)",4594.621538654494
"(2, 0, 2)","(0, 0, 1, 5)",5357.770635154295
"(1, 0, 2)","(1, 0, 1, 5)",5426.881008968698
"(0, 0, 2)","(0, 0, 0, 5)",5457.324803785108
"(2, 0, 2)","(1, 0, 0, 5)",5467.671650481635
"(0, 0, 1)","(0, 0, 1, 5)",5518.218329954733
"(2, 0, 2)","(1, 0, 1, 5)",5541.585980342665
"(2, 0, 1)","(1, 0, 1, 5)",5555.660648347958
"(2, 0, 1)","(1, 0, 0, 5)",5602.829936280885
"(2, 0, 1)","(0, 0, 1, 5)",5602.905145709114
"(0, 0, 1)","(0, 0, 0, 5)",6329.07334699471
"(0, 0, 0)","(0, 0, 1, 5)",6352.369499182955
"(0, 0, 0)","(0, 0, 0, 5)",7230.650262193864
