order,seasonal,aic
"(1, 0, 1)","(1, 0, 0, 5)",-187.5543237107937
"(2, 0, 2)","(1, 0, 1, 5)",-136.16572617960804
"(1, 0, 2)","(1, 0, 1, 5)",-94.16343468071243
"(2, 0, 2)","(1, 1, 0, 5)",-86.91150299934941
"(1, 0, 0)","(1, 1, 0, 5)",-86.0501633063273
"(1, 0, 1)","(1, 1, 0, 5)",-86.02907150867019
"(2, 0, 0)","(1, 1, 0, 5)",-85.30891070045489
"(1, 0, 2)","(1, 1, 0, 5)",-84.08450813793274
"(2, 1, 2)","(1, 1, 0, 5)",-83.92659395878758
"(2, 0, 1)","(1, 1, 0, 5)",-83.25464374124167
"(0, 1, 2)","(1, 1, 0, 5)",-41.69419507978135
"(1, 1, 2)","(1, 1, 0, 5)",-38.536055646863915
"(0, 1, 1)","(1, 1, 0, 5)",-38.24491814073335
"(2, 1, 0)","(1, 1, 0, 5)",-37.226130820127835
"(1, 1, 0)","(1, 1, 0, 5)",-35.81835309281249
"(2, 1, 1)","(1, 1, 0, 5)",-34.86816095000047
"(1, 1, 1)","(1, 1, 0, 5)",-33.6719843680403
"(0, 1, 0)","(1, 1, 0, 5)",-24.83850658715545
"(2, 0, 2)","(0, 1, 0, 5)",27.442512770118327
"(0, 0, 2)","(1, 1, 1, 5)",56.18028398689077
"(0, 0, 2)","(1, 1, 0, 5)",57.86942223348018
"(0, 0, 2)","(0, 1, 1, 5)",66.24238461393911
"(0, 0, 2)","(1, 0, 1, 5)",69.57322164702897
"(2, 0, 1)","(0, 1, 1, 5)",118.63283642835121
"(1, 0, 2)","(0, 1, 0, 5)",131.34290018542382
"(1, 0, 0)","(0, 1, 0, 5)",146.49176272510803
"(2, 0, 0)","(0, 1, 0, 5)",146.49586288579297
"(1, 0, 1)","(0, 1, 0, 5)",146.57642880395855
"(2, 0, 1)","(0, 1, 0, 5)",147.85690827092165
"(0, 0, 2)","(0, 1, 0, 5)",171.70173271819527
"(0, 0, 2)","(1, 0, 0, 5)",173.25925742541398
"(2, 1, 2)","(0, 1, 0, 5)",189.82537760056937
"(1, 1, 2)","(0, 1, 0, 5)",203.21068797417917
"(2, 1, 1)","(0, 1, 0, 5)",205.73091477976135
"(1, 1, 1)","(0, 1, 0, 5)",205.7510916799868
"(2, 1, 0)","(0, 1, 0, 5)",244.96642831101383
"(1, 1, 0)","(0, 1, 0, 5)",245.58971203146322
"(0, 1, 1)","(0, 1, 0, 5)",246.63281839221895
"(0, 1, 2)","(0, 1, 0, 5)",247.4437810727966
"(0, 1, 0)","(0, 1, 0, 5)",256.12433143515307
"(0, 0, 1)","(1, 1, 1, 5)",264.9406627337938
"(0, 0, 1)","(1, 1, 0, 5)",268.7546246890331
"(1, 0, 2)","(1, 0, 0, 5)",277.5313498498273
"(0, 0, 1)","(0, 1, 1, 5)",289.46255916110977
"(0, 0, 1)","(1, 0, 1, 5)",293.09266258159744
"(0, 0, 1)","(0, 1, 0, 5)",343.80600285577145
"(0, 0, 1)","(1, 0, 0, 5)",346.0610463522749
"(0, 0, 0)","(1, 1, 1, 5)",605.958881171569
"(0, 0, 0)","(1, 1, 0, 5)",617.4967908483031
"(0, 0, 0)","(0, 1, 1, 5)",621.2842887865687
"(0, 0, 0)","(1, 0, 1, 5)",626.4430627696029
"(0, 0, 0)","(0, 1, 0, 5)",636.6493875049871
"(0, 0, 0)","(1, 0, 0, 5)",637.5658638503262
"(0, 0, 2)","(0, 0, 1, 5)",2170.082150829902
"(2, 0, 1)","(1, 0, 1, 5)",2399.8975532248014
"(0, 0, 2)","(0, 0, 0, 5)",2955.490856918613
"(0, 0, 1)","(0, 0, 1, 5)",3080.576700216438
"(0, 0, 1)","(0, 0, 0, 5)",3804.66093362103
"(0, 0, 0)","(0, 0, 1, 5)",3819.91514450002
"(0, 0, 0)","(0, 0, 0, 5)",4667.372319197238
