date,actual_price,predicted_price,sentiment,error,error_percentage
2025-01-17,183.5,186.04357587210703,0.5,-2.543575872107027,-1.3861448894316224
2025-01-20,184.75,185.9272250768376,0.0,-1.1772250768376011,-0.6371989590460629
2025-01-21,184.5,185.49423692205588,-0.1428571428571428,-0.994236922055876,-0.5388818005722905
2025-01-22,184.5,185.75116728456186,0.1666666666666667,-1.251167284561859,-0.6781394496270239
2025-01-23,183.25,185.9917712649883,0.0,-2.7417712649883015,-1.4961916862146256
2025-01-24,182.25,185.60676307048843,-0.1666666666666667,-3.3567630704884266,-1.8418453061664892
2025-01-27,183.75,185.6524012762748,0.3333333333333333,-1.9024012762747873,-1.0353204224624692
2025-01-28,180.75,185.96655008634897,0.125,-5.216550086348974,-2.886058139058907
2025-01-29,179.25,185.8321518775785,0.0,-6.582151877578497,-3.672051256668617
2025-01-30,176.75,185.7423936885353,0.75,-8.992393688535287,-5.087634335804972
2025-01-31,179.0,185.77706007763467,0.0,-6.7770600776346726,-3.7860670824774707
2025-02-03,176.75,185.98425432497854,0.1428571428571428,-9.234254324978536,-5.224472036762963
2025-02-05,173.5,185.61208685314784,0.0,-12.112086853147844,-6.981029886540544
2025-02-06,173.0,185.6833519230582,0.2,-12.683351923058211,-7.33141729656544
2025-02-07,173.0,185.93537238863757,0.0,-12.935372388637575,-7.477093866264493
2025-02-10,173.5,185.84581167387046,0.2857142857142857,-12.345811673870458,-7.1157415987725985
2025-02-11,170.0,185.55361567493767,0.0,-15.553615674937674,-9.149185691139808
2025-02-13,169.75,185.87711467222255,0.1666666666666667,-16.127114672222547,-9.500509379807097
2025-02-14,171.5,185.88591019818298,0.0,-14.385910198182984,-8.388285829844305
2025-02-17,173.0,185.59222247114516,0.0,-12.592222471145163,-7.278741312800673
2025-02-18,170.0,185.63060094793727,-0.2,-15.630600947937268,-9.194471145845451
2025-02-19,170.0,185.92096375877824,0.0,-15.920963758778242,-9.365272799281318
2025-02-20,169.25,185.90300807096597,0.6666666666666666,-16.653008070965967,-9.839295758325536
2025-02-21,171.0,185.49800070289194,-0.3333333333333333,-14.498000702891943,-8.478362984147335
2025-02-24,171.0,186.07863946071873,0.75,-15.078639460718733,-8.817917813285808
2025-02-25,168.5,185.86628631452655,0.125,-17.366286314526548,-10.30640137360626
2025-02-27,168.0,185.59214351458655,0.0,-17.592143514586553,-10.47151399677771
2025-02-28,169.5,185.68469001479505,-0.2,-16.184690014795052,-9.548489684244869
2025-03-03,169.25,185.94183926837943,0.1666666666666667,-16.691839268379425,-9.862238858717532
2025-03-04,168.0,185.67011387894718,0.0,-17.670113878947177,-10.517924927944748
2025-03-05,167.25,185.6420406861072,0.0,-18.392040686107208,-10.996735836237495
2025-03-06,166.0,185.94394999269406,0.25,-19.94394999269406,-12.014427706442204
2025-03-07,169.75,185.88893330322887,0.375,-16.138933303228868,-9.50747175447945
2025-03-10,166.75,185.75359030161658,0.5,-19.003590301616583,-11.396455952993453
2025-03-11,166.75,185.7256378264515,-0.2,-18.975637826451504,-11.37969284944618
2025-03-12,168.0,185.85746656206203,0.0,-17.85746656206203,-10.62944438217978
2025-03-14,165.5,185.70785194113472,0.2,-20.20785194113472,-12.210182441773245
2025-03-17,167.0,185.58925242870487,-0.3333333333333333,-18.589252428704867,-11.131288879463993
2025-03-18,162.5,185.95117362740993,0.2857142857142857,-23.45117362740993,-14.431491463021494
2025-03-19,161.75,185.81079907511273,0.25,-24.060799075112726,-14.875300819235072
2025-03-20,162.25,185.63163319339,0.0,-23.38163319339,-14.410867915802775
2025-03-21,163.5,185.8113316607536,0.0,-22.31133166075361,-13.646074410246856
2025-03-24,164.5,185.81975731957905,0.0,-21.319757319579054,-12.960338796096691
2025-03-25,164.5,185.6427967186395,0.0,-21.142796718639488,-12.852763962698777
2025-03-26,164.0,185.72653350808,0.0,-21.726533508079996,-13.247886285414632
2025-03-27,162.75,185.85303928294363,0.0,-23.103039282943627,-14.195415842054457
2025-03-28,164.75,185.7069688537587,0.0,-20.956968853758696,-12.72046667906446
2025-04-01,165.0,185.6612679654182,0.0,-20.661267965418205,-12.521980585101941
2025-04-02,165.25,185.90904743563598,0.2857142857142857,-20.659047435635983,-12.50169285061179
2025-04-03,164.5,185.78406004732452,0.0,-21.284060047324516,-12.938638326641044
2025-04-04,163.5,185.56415676961063,-0.2857142857142857,-22.064156769610634,-13.494897106795495
2025-04-07,161.75,185.68485283208733,-0.25,-23.93485283208733,-14.797436063114269
2025-04-08,161.5,185.90500178943486,0.25,-24.405001789434863,-15.111456216368335
2025-04-09,162.25,185.7169930777213,0.1,-23.4669930777213,-14.463478014003883
2025-04-10,162.5,185.5818236791581,-0.375,-23.081823679158106,-14.204199187174218
2025-04-11,163.0,185.99086819959857,0.5555555555555556,-22.990868199598566,-14.10482711631814
2025-04-16,165.0,185.8266587464279,0.25,-20.82665874642791,-12.622217422077522
2025-04-17,163.25,185.75900357029346,0.3333333333333333,-22.50900357029346,-13.788057317178229
2025-04-21,165.0,185.85402297277557,0.25,-20.854022972775567,-12.638801801682161
2025-04-22,165.0,185.97472619503918,0.5714285714285714,-20.97472619503918,-12.711955269720715
2025-04-23,162.0,185.79600551648025,0.4,-23.79600551648025,-14.688892294123612
2025-04-24,164.0,185.79327239955464,0.25,-21.79327239955464,-13.288580731435756
2025-04-25,165.0,185.9392229130015,0.4,-20.939222913001487,-12.690438129091811
2025-04-28,162.5,185.7294100008747,0.0,-23.229410000874708,-14.29502153899982
2025-04-29,162.25,185.67949126821998,0.0,-23.429491268219977,-14.44036441800923
2025-04-30,162.25,185.83091520917492,0.125,-23.58091520917492,-14.533691962511504
2025-05-02,164.5,185.85595114343224,0.25,-21.355951143432236,-12.982341120627499
2025-05-05,165.0,185.67844485056156,0.0,-20.67844485056156,-12.532390818522158
2025-05-06,164.75,185.7436744437816,0.0,-20.9936744437816,-12.742746248122366
2025-05-07,166.5,185.80990680337092,0.0,-19.30990680337092,-11.5975416236462
2025-05-08,163.0,185.63958693250726,-0.25,-22.639586932507257,-13.88931713650752
2025-05-09,167.5,185.84622526487513,0.5,-18.34622526487513,-10.952970307388139
2025-05-14,171.5,185.89742135475035,0.3333333333333333,-14.39742135475035,-8.39499787449
2025-05-15,170.5,185.85823759123818,0.3333333333333333,-15.35823759123818,-9.007763983130896
2025-05-16,170.0,185.63586299570733,-0.1666666666666667,-15.635862995707328,-9.197566468063133
2025-05-19,170.5,185.81055144221338,0.1666666666666667,-15.31055144221338,-8.979795567280576
2025-05-20,171.0,185.79452418073015,0.0,-14.79452418073015,-8.651768526742778
2025-05-21,168.25,185.82085704643646,0.4,-17.57085704643646,-10.443302850779471
2025-05-22,168.5,185.83651195168198,0.4,-17.336511951681985,-10.28873112859465
2025-05-23,169.5,185.65185341985665,-0.5,-16.15185341985665,-9.52911706186233
2025-05-26,170.75,185.97687360073553,0.8,-15.22687360073553,-8.917641933080837
2025-05-27,170.0,185.72467302880202,0.1,-15.724673028802016,-9.249807664001185
2025-05-28,170.5,185.82695608127796,0.1818181818181818,-15.326956081277956,-8.989417056468008
2025-05-29,169.5,185.7781154380175,0.0,-16.278115438017494,-9.60360792803392
2025-05-30,170.0,185.63544340699607,-0.2222222222222222,-15.635443406996075,-9.197319651174162
2025-06-02,175.0,185.73653201010364,0.0,-10.736532010103645,-6.135161148630654
2025-06-03,174.5,185.79233421540536,0.0,-11.292334215405361,-6.4712516993727
2025-06-04,174.25,185.65556559536594,-0.25,-11.405565595365942,-6.545518275676295
2025-06-05,175.0,185.70820750273128,0.0,-10.708207502731284,-6.118975715846449
2025-06-06,173.0,185.77988409319292,0.0,-12.77988409319292,-7.387216238839837
2025-06-09,172.0,185.76253172276233,0.0,-13.762531722762333,-8.001471931838564
2025-06-11,172.0,185.70269572302234,0.0,-13.702695723022345,-7.966683559896712
2025-06-12,172.0,185.75041183613075,0.0,-13.750411836130752,-7.99442548612253
2025-06-13,170.0,185.60719525867572,-0.6,-15.607195258675716,-9.180703093338655
2025-06-16,172.25,185.7203184789812,0.0,-13.470318478981198,-7.820213921034077
2025-06-17,172.25,185.81922957049397,0.3333333333333333,-13.569229570493974,-7.877636905947155
2025-06-18,170.0,185.7445491121853,-0.125,-15.744549112185297,-9.261499477756056
2025-06-19,166.5,185.70022031618944,-0.1666666666666667,-19.200220316189444,-11.531663853567235
2025-06-20,168.0,185.7572759310117,0.1666666666666667,-17.75727593101169,-10.569807101792673
2025-06-23,169.0,185.79293774333854,0.1111111111111111,-16.79293774333854,-9.936649552271327
2025-06-24,170.0,185.84577260876384,0.25,-15.845772608763838,-9.32104271103755
2025-06-25,181.5,185.7162903578608,0.0,-4.2162903578607995,-2.323024990556914
2025-06-26,185.75,185.83154687254762,0.3333333333333333,-0.08154687254761939,-0.043901411869512456
2025-06-27,185.25,185.77867694744845,0.0,-0.5286769474484458,-0.2853856666388372
2025-06-30,190.0,185.79720873920982,0.2,4.202791260790178,2.2119954004158835
2025-07-01,215.5,185.78959243563284,0.25,29.71040756436716,13.786732048430236
2025-07-02,217.5,185.83153021267836,0.2222222222222222,31.66846978732164,14.56021599417087
2025-07-03,209.75,185.8790621098432,0.4,23.870937890156796,11.380661687798234
2025-07-04,207.75,185.68674177023937,-0.1,22.063258229760635,10.620100230931714
2025-07-07,211.0,185.7441980523035,0.0,25.25580194769651,11.969574382794555
2025-07-08,218.75,185.68973257891582,-0.2857142857142857,33.06026742108418,15.113265106781338
2025-07-09,230.25,185.7312750000085,0.0,44.51872499999149,19.334951140061452
2025-07-11,247.75,185.8088147293906,0.2857142857142857,61.941185270609395,25.001487495705106
2025-07-14,254.0,185.81072279404097,0.1428571428571428,68.18927720595903,26.846172128330327
2025-07-15,245.25,185.83206241966815,0.2727272727272727,59.41793758033185,24.22749748433511
2025-07-16,244.0,185.75129992559386,0.1111111111111111,58.248700074406145,23.872418063281206
2025-07-17,236.5,185.86940029639194,0.4,50.630599703608056,21.408287401102772
2025-07-18,235.25,185.8034933460445,0.125,49.44650665395551,21.01870633536897
2025-07-21,240.0,185.93655993947206,0.7142857142857143,54.06344006052794,22.52643335855331
2025-07-22,238.0,185.8068955294644,0.25,52.19310447053559,21.92987582795613
2025-07-23,248.5,185.82702365405504,0.2,62.67297634594496,25.22051362009858
2025-07-24,249.75,185.82789171903022,0.2857142857142857,63.92210828096978,25.59443775013805
2025-07-25,244.75,185.93273088253966,0.7142857142857143,58.81726911746034,24.03157063021873
2025-07-28,244.75,185.85514141298896,0.3333333333333333,58.89485858701104,24.06327214995344
2025-07-29,247.5,185.81834459646808,0.2,61.68165540353192,24.921880971124008
2025-07-30,245.25,185.7624031628544,0.125,59.48759683714559,24.25590085102776
2025-07-31,242.75,185.74116376611207,0.0,57.00883623388793,23.48458753198267
2025-08-01,241.5,185.8076606662235,0.1428571428571428,55.69233933377649,23.061010076097922
2025-08-04,238.25,185.8554841840471,0.4,52.3945158159529,21.991402231249907
2025-08-05,237.75,185.77075972327194,0.1428571428571428,51.97924027672806,21.862982240474473
2025-08-06,237.25,185.76019533621604,0.0,51.48980466378396,21.702762766610732
2025-08-07,220.25,185.9623341634569,0.7142857142857143,34.28766583654311,15.567612184582572
2025-08-11,217.75,185.72660316230028,0.0,32.02339683769972,14.706496825579665
2025-08-12,215.25,185.7891422102038,0.1428571428571428,29.460857789796194,13.6868096584419
2025-08-13,214.0,185.761795658707,0.0,28.238204341293,13.195422589389253
2025-08-14,215.25,185.7832830030964,0.1666666666666667,29.466716996903614,13.689531705878565
2025-08-15,211.25,185.91058278819747,0.6,25.339417211802527,11.99499039611954
2025-08-18,208.25,185.84460280262593,0.2857142857142857,22.40539719737407,10.758894212424524
2025-08-19,209.0,185.83497696048653,0.3,23.16502303951347,11.083743081106924
2025-08-20,214.0,185.7779162212843,0.1666666666666667,28.2220837787157,13.18788961622229
2025-08-21,210.0,185.75163960070284,0.0,24.248360399297155,11.546838285379597
2025-08-22,209.5,185.83047381341714,0.25,23.669526186582857,11.298103191686328
2025-08-25,211.0,185.73260387858747,0.0,25.26739612141253,11.97506925185428
2025-08-26,211.25,185.79868063954055,0.2,25.45131936045945,12.047961827436426
2025-08-27,210.0,185.81308735880773,0.1818181818181818,24.186912641192265,11.517577448186794
2025-08-28,212.75,185.74239343799456,0.0,27.007606562005435,12.69452717368058
2025-08-29,221.25,185.73245742374525,0.0,35.517542576254755,16.053126588137744
2025-09-01,226.25,185.75430925282473,0.0,40.495690747175274,17.898647844055372
2025-09-02,236.75,185.71586185725397,-0.125,51.03413814274603,21.55613015533095
2025-09-03,242.25,185.80575942756252,0.25,56.44424057243748,23.299996108333325
2025-09-04,243.0,185.7445902146679,0.0,57.25540978533209,23.56189703100086
2025-09-08,241.25,185.75755581612898,0.0,55.492444183871015,23.002049402640836
2025-09-09,236.75,185.73917524270627,0.0,51.01082475729373,21.54628289642819
2025-09-10,241.0,185.73626076930725,0.0,55.26373923069275,22.931012128918155
2025-09-11,241.75,185.75542646698398,0.0,55.99457353301602,23.162181399386153
2025-09-12,244.25,185.74828008631442,0.0,58.50171991368558,23.951574171416816
2025-09-15,242.25,185.73358114619566,0.0,56.51641885380434,23.329791064521917
2025-09-16,257.75,185.74807239557958,0.0,72.00192760442042,27.93479247504187
2025-09-17,271.0,185.75466988736548,0.0,85.24533011263452,31.45584136997584
2025-09-18,277.0,185.7373284186382,0.0,91.26267158136179,32.946812845256964
2025-09-19,310.5,185.7399908713179,0.0,124.7600091286821,40.18035720730502
