order,seasonal,aic
"(1, 0, 2)","(1, 1, 0, 5)",2292.17291282296
"(1, 1, 1)","(1, 1, 0, 5)",2295.5987022375807
"(1, 0, 0)","(1, 1, 0, 5)",2297.903406127677
"(1, 1, 2)","(1, 1, 0, 5)",2307.129945244026
"(0, 1, 2)","(1, 1, 0, 5)",2339.3427281349254
"(2, 1, 0)","(1, 1, 0, 5)",2339.7088898930733
"(0, 1, 1)","(1, 1, 0, 5)",2347.105638658224
"(0, 0, 2)","(1, 1, 1, 5)",2347.861756528244
"(0, 0, 2)","(0, 1, 1, 5)",2352.302576700739
"(1, 1, 0)","(1, 1, 0, 5)",2353.1595132303028
"(0, 0, 2)","(1, 1, 0, 5)",2379.573586286301
"(0, 0, 2)","(1, 0, 1, 5)",2381.245635984629
"(2, 0, 2)","(0, 1, 0, 5)",2385.1872708657193
"(0, 1, 0)","(1, 1, 0, 5)",2397.350216629941
"(0, 0, 1)","(1, 1, 1, 5)",2445.1741602318607
"(0, 0, 1)","(0, 1, 1, 5)",2451.979998725984
"(2, 1, 2)","(0, 1, 0, 5)",2459.7755979807926
"(0, 0, 1)","(1, 1, 0, 5)",2460.8151580854187
"(2, 0, 1)","(0, 1, 0, 5)",2465.260360683256
"(1, 0, 2)","(0, 1, 0, 5)",2484.2058825961567
"(2, 1, 1)","(0, 1, 0, 5)",2491.039419471449
"(2, 0, 0)","(0, 1, 0, 5)",2493.724215970935
"(1, 0, 1)","(0, 1, 0, 5)",2495.0322565632946
"(1, 1, 1)","(0, 1, 0, 5)",2495.081631021684
"(0, 0, 1)","(1, 0, 1, 5)",2501.124603783621
"(1, 0, 0)","(1, 0, 0, 5)",2503.53583917932
"(1, 1, 2)","(0, 1, 0, 5)",2503.675766511471
"(1, 0, 0)","(0, 1, 0, 5)",2506.3788520457706
"(0, 0, 2)","(0, 1, 0, 5)",2517.4637110116246
"(0, 0, 2)","(1, 0, 0, 5)",2539.165852177279
"(0, 1, 2)","(0, 1, 0, 5)",2557.664684784487
"(0, 0, 1)","(0, 1, 0, 5)",2574.4768844133614
"(0, 1, 1)","(0, 1, 0, 5)",2575.477615647592
"(2, 1, 0)","(0, 1, 0, 5)",2579.4588715874684
"(0, 0, 1)","(1, 0, 0, 5)",2581.831681253281
"(1, 1, 0)","(0, 1, 0, 5)",2598.2042141848287
"(0, 1, 0)","(0, 1, 0, 5)",2663.4012789253206
"(0, 0, 0)","(0, 1, 1, 5)",2673.321800899791
"(0, 0, 0)","(1, 1, 1, 5)",2673.657588173314
"(0, 0, 0)","(1, 1, 0, 5)",2675.637794164504
"(0, 0, 0)","(1, 0, 1, 5)",2694.571311165736
"(0, 0, 0)","(0, 1, 0, 5)",2728.7204959741916
"(0, 0, 0)","(1, 0, 0, 5)",2730.0337191944773
"(2, 0, 2)","(1, 0, 0, 5)",2782.6768346501503
"(2, 0, 1)","(0, 0, 0, 5)",3465.637931700029
"(1, 0, 2)","(1, 0, 0, 5)",3730.3699518273224
"(2, 0, 1)","(1, 0, 0, 5)",3820.181308760103
"(2, 0, 0)","(1, 0, 1, 5)",3837.1351332157187
"(1, 0, 1)","(1, 0, 1, 5)",3900.4049933308006
"(2, 0, 1)","(1, 0, 1, 5)",4080.3184536100725
"(0, 0, 2)","(0, 0, 1, 5)",4142.924020685674
"(1, 0, 2)","(1, 0, 1, 5)",4514.080284286478
"(1, 0, 2)","(0, 0, 1, 5)",4542.719331483433
"(2, 0, 2)","(1, 0, 1, 5)",4566.11317236148
"(0, 0, 2)","(0, 0, 0, 5)",4829.2210444334505
"(0, 0, 1)","(0, 0, 1, 5)",4909.853021399056
"(0, 0, 0)","(0, 0, 1, 5)",5539.899121059223
"(0, 0, 1)","(0, 0, 0, 5)",5559.307571313297
"(0, 0, 0)","(0, 0, 0, 5)",6366.301324794334
