date,actual_price,predicted_price,sentiment,error,error_percentage
2025-01-17,10.1,10.003186891784376,0.25,0.09681310821562406,0.9585456258972679
2025-01-20,10.2,9.977563245304326,0.0,0.22243675469567314,2.1807524970164036
2025-01-21,10.2,9.976357682970631,-0.1428571428571428,0.223642317029368,2.1925717355820393
2025-01-22,10.0,10.014312500668703,0.0,-0.014312500668703265,-0.14312500668703265
2025-01-23,10.0,9.992082927870118,0.1666666666666667,0.007917072129881575,0.07917072129881575
2025-01-24,10.0,9.976091077238726,0.0,0.0239089227612741,0.23908922761274098
2025-01-27,9.9,10.009373042364473,0.8333333333333334,-0.10937304236447254,-1.1047782057017428
2025-01-28,10.1,10.004764975067395,0.125,0.09523502493260416,0.9429210389366749
2025-01-29,10.1,9.977136731013088,-0.125,0.12286326898691158,1.2164680097714018
2025-01-30,10.1,9.995299398674156,0.75,0.10470060132584358,1.0366396170875603
2025-01-31,10.1,10.008013997638907,0.0,0.091986002361093,0.9107524986246831
2025-02-03,10.0,9.991272380110205,0.2857142857142857,0.00872761988979498,0.0872761988979498
2025-02-05,9.6,9.980843823775324,0.125,-0.380843823775324,-3.9671231643262916
2025-02-06,9.6,10.00224800389031,0.0,-0.40224800389031046,-4.190083373857401
2025-02-07,9.5,10.002105212736517,0.2222222222222222,-0.5021052127365166,-5.285318028805438
2025-02-10,9.4,9.97742537704745,-0.2857142857142857,-0.5774253770474491,-6.142823160079246
2025-02-11,9.1,9.99142029056696,0.0,-0.8914202905669608,-9.795827368867702
2025-02-13,9.5,10.006668529432924,0.1666666666666667,-0.5066685294329236,-5.3333529413991965
2025-02-14,9.6,9.987749356437007,0.0,-0.38774935643700736,-4.039055796218827
2025-02-17,9.7,9.984621753172105,0.2,-0.2846217531721056,-2.934244878062944
2025-02-18,10.0,10.00008439472716,-0.2,-8.439472716048613e-05,-0.0008439472716048612
2025-02-19,9.9,10.001717131792567,0.5,-0.10171713179256692,-1.027445775682494
2025-02-20,9.7,9.985870784232148,0.5,-0.2858707842321486,-2.9471214869293676
2025-02-21,9.5,9.990369442249571,-0.3333333333333333,-0.49036944224957146,-5.161783602627068
