order,seasonal,aic
"(2, 1, 1)","(1, 1, 1, 5)",-67.15065754784798
"(1, 1, 2)","(1, 1, 1, 5)",-66.45133770645458
"(0, 1, 2)","(1, 1, 1, 5)",-65.77103523822575
"(2, 1, 2)","(0, 1, 1, 5)",-65.70362454508106
"(0, 1, 0)","(1, 1, 1, 5)",-65.08147208102105
"(2, 1, 2)","(1, 1, 1, 5)",-63.09587472061732
"(1, 0, 1)","(1, 1, 0, 5)",183.6374137819094
"(2, 0, 0)","(1, 1, 0, 5)",184.35365932485968
"(2, 0, 2)","(1, 1, 0, 5)",185.36662940427294
"(1, 0, 2)","(1, 1, 0, 5)",185.63664434719112
"(2, 0, 1)","(1, 1, 0, 5)",186.0822948210399
"(1, 0, 0)","(1, 1, 0, 5)",189.23501289432647
"(1, 1, 2)","(1, 1, 0, 5)",192.6855027215582
"(2, 1, 1)","(1, 1, 0, 5)",192.8371955702982
"(1, 1, 1)","(1, 1, 0, 5)",198.50462549274783
"(2, 1, 2)","(1, 1, 0, 5)",198.97360505394803
"(2, 1, 0)","(1, 1, 0, 5)",224.3611733077765
"(0, 1, 2)","(1, 1, 0, 5)",225.4710754894591
"(0, 1, 0)","(1, 1, 0, 5)",228.68381386199098
"(0, 1, 1)","(1, 1, 0, 5)",229.58233765010075
"(1, 1, 0)","(1, 1, 0, 5)",229.97168852866733
"(2, 0, 1)","(0, 1, 0, 5)",312.6272563384772
"(2, 0, 2)","(0, 1, 0, 5)",314.0311021081681
"(2, 0, 0)","(0, 1, 0, 5)",314.05974323337966
"(1, 0, 2)","(0, 1, 0, 5)",315.4070003274894
"(1, 0, 1)","(0, 1, 0, 5)",318.8034070145326
"(2, 1, 1)","(0, 1, 0, 5)",322.17263380469956
"(1, 1, 2)","(0, 1, 0, 5)",326.6444321152515
"(1, 0, 0)","(0, 1, 0, 5)",336.81051820598185
"(0, 0, 2)","(0, 1, 1, 5)",356.9111439594177
"(0, 0, 2)","(1, 1, 1, 5)",359.60695884199987
"(0, 0, 2)","(1, 1, 0, 5)",359.8106629543105
"(0, 0, 2)","(1, 0, 1, 5)",360.41561333940723
"(0, 0, 2)","(0, 1, 0, 5)",375.83816807239464
"(0, 0, 2)","(1, 0, 0, 5)",376.67492731083667
"(0, 1, 1)","(0, 1, 0, 5)",405.9257238676722
"(1, 1, 0)","(0, 1, 0, 5)",405.9519751251589
"(2, 1, 0)","(0, 1, 0, 5)",405.9649370151965
"(0, 1, 2)","(0, 1, 0, 5)",406.7284097573831
"(0, 1, 0)","(0, 1, 0, 5)",407.7109851393808
"(1, 1, 1)","(0, 1, 0, 5)",407.75119731484017
"(2, 1, 2)","(0, 1, 0, 5)",409.1926502404615
"(0, 0, 1)","(1, 1, 1, 5)",630.6684906060377
"(0, 0, 1)","(0, 1, 1, 5)",631.6678796927637
"(0, 0, 1)","(1, 1, 0, 5)",631.8447333045906
"(0, 0, 1)","(0, 1, 0, 5)",633.9637726573864
"(0, 0, 1)","(1, 0, 1, 5)",635.5522247654023
"(0, 0, 1)","(1, 0, 0, 5)",636.082045914687
"(0, 0, 0)","(1, 1, 1, 5)",1063.8873482350268
"(0, 0, 0)","(1, 1, 0, 5)",1084.6610482768124
"(0, 0, 0)","(0, 1, 1, 5)",1085.8954593316023
"(0, 0, 0)","(1, 0, 1, 5)",1091.4682029555267
"(0, 0, 0)","(0, 1, 0, 5)",1093.5324622046815
"(0, 0, 0)","(1, 0, 0, 5)",1096.0842753581346
"(0, 0, 2)","(0, 0, 1, 5)",2185.460897695962
"(0, 0, 2)","(0, 0, 0, 5)",2996.20312049883
"(0, 0, 1)","(0, 0, 1, 5)",3069.6881193246677
"(0, 0, 1)","(0, 0, 0, 5)",3846.660953456784
"(0, 0, 0)","(0, 0, 1, 5)",3876.552469658524
"(0, 0, 0)","(0, 0, 0, 5)",4769.831012930454
