date,actual_price,predicted_price,sentiment,error,error_percentage
2025-01-30,54.3,52.276132813486505,0.75,2.023867186513492,3.727195555273466
2025-01-31,52.6,51.61597756888008,0.0,0.9840224311199179,1.870765078174749
2025-02-03,51.4,51.587009286528804,0.2857142857142857,-0.18700928652880577,-0.36383129674864934
2025-02-05,48.0,51.49731727716934,0.125,-3.497317277169337,-7.286077660769452
2025-02-06,47.0,51.485701051563545,0.0,-4.485701051563545,-9.544044790560733
2025-02-07,48.6,51.704153840196156,0.2222222222222222,-3.1041538401961546,-6.387147819333651
2025-02-10,49.9,51.61338862072724,-0.2857142857142857,-1.713388620727244,-3.433644530515519
2025-02-11,46.8,51.664971900490826,0.0,-4.864971900490829,-10.395239103612884
2025-02-13,49.3,51.649391550959876,0.1666666666666667,-2.3493915509598793,-4.765500103366895
2025-02-14,49.5,51.557988900153,0.0,-2.057988900152999,-4.157553333642423
2025-02-17,49.5,51.61420256614291,0.2,-2.1142025661429074,-4.271116295238197
2025-02-18,47.2,51.518213119370266,-0.2,-4.318213119370263,-9.148756608835303
2025-02-19,46.1,51.74657243603747,0.5,-5.6465724360374665,-12.248530230016195
2025-02-20,45.9,51.75493419483494,0.5,-5.854934194834939,-12.75584791903037
2025-02-21,45.7,51.50459554113319,-0.3333333333333333,-5.804595541133189,-12.70152197184505
2025-02-24,45.7,51.740630896008234,0.5,-6.040630896008231,-13.218010713365933
2025-02-25,45.2,51.660902039913104,0.25,-6.460902039913101,-14.294031061754648
2025-02-27,45.2,51.63603421738847,0.1666666666666667,-6.4360342173884675,-14.239013755284219
2025-02-28,44.6,51.53123708569552,-0.2,-6.931237085695521,-15.540890326671573
2025-03-03,44.6,51.593360372501046,0.0,-6.993360372501044,-15.680180207401445
2025-03-04,44.0,51.59454773194201,0.0,-7.594547731942008,-17.260335754413656
2025-03-05,44.0,51.59381797965997,0.0,-7.593817979659967,-17.258677226499923
2025-03-06,43.5,51.739720900481856,0.5,-8.239720900481856,-18.941887127544497
2025-03-07,43.5,51.66520619178449,0.25,-8.165206191784492,-18.770588946631015
2025-03-10,43.5,51.738807744414956,0.5,-8.238807744414956,-18.9397879181953
2025-03-11,41.9,51.533091492237844,-0.2,-9.633091492237845,-22.990671819183405
2025-03-12,43.0,51.592467454022476,0.0,-8.592467454022476,-19.98248245121506
2025-03-14,42.1,51.65154645187941,0.2,-9.55154645187941,-22.68775879306273
2025-03-17,42.1,51.494342712551834,-0.3333333333333333,-9.394342712551833,-22.31435323646516
2025-03-18,40.2,51.63440574317086,0.1428571428571428,-11.434405743170856,-28.44379538102203
2025-03-19,40.2,51.66583881559314,0.25,-11.465838815593138,-28.521987103465513
2025-03-20,43.7,51.59219684486293,0.0,-7.89219684486293,-18.059947013416313
2025-03-21,44.0,51.53335538616543,-0.2,-7.533355386165432,-17.121262241285073
2025-03-24,44.0,51.710154327456564,0.4,-7.710154327456564,-17.523078016946737
2025-03-25,43.3,51.66599534096379,0.25,-8.365995340963792,-19.321005406382895
2025-03-27,43.8,51.592340926165754,0.0,-7.792340926165757,-17.790732708141
2025-03-28,44.9,51.592311781861405,0.0,-6.692311781861406,-14.904926017508698
2025-04-01,43.7,51.592293638169686,0.0,-7.892293638169683,-18.060168508397442
2025-04-02,43.7,51.55021436193071,-0.1428571428571428,-7.8502143619307105,-17.963877258422677
2025-04-03,43.4,51.297750893973735,-1.0,-7.897750893973736,-18.197582705008607
2025-04-04,43.4,51.50815532369935,-0.2857142857142857,-8.10815532369935,-18.682385538477767
2025-04-07,41.5,51.51867844266206,-0.25,-10.018678442662058,-24.141393837739898
2025-04-08,45.0,51.690498323572406,0.3333333333333333,-6.690498323572406,-14.867774052383126
2025-04-09,42.1,51.474488889742034,-0.4,-9.374488889742032,-22.267194512451383
2025-04-10,43.5,51.70276449172982,0.375,-8.202764491729823,-18.856929866045572
2025-04-11,43.2,51.62503533289728,0.1111111111111111,-8.42503533289728,-19.50239660392889
2025-04-16,44.8,51.59230875967811,0.0,-6.792308759678114,-15.161403481424362
2025-04-17,43.0,51.59231017370232,0.0,-8.592310173702323,-19.982116683028657
