order,seasonal,aic
"(1, 0, 1)","(1, 0, 0, 5)",3224.1876760171917
"(1, 1, 2)","(1, 1, 0, 5)",3228.4624526987195
"(0, 1, 2)","(1, 1, 0, 5)",3231.5060958724916
"(1, 1, 0)","(1, 1, 0, 5)",3233.1108041920716
"(0, 1, 1)","(1, 1, 0, 5)",3235.3162309244644
"(0, 1, 0)","(1, 1, 0, 5)",3243.508092890571
"(2, 1, 2)","(1, 1, 0, 5)",3243.7525184250926
"(2, 0, 2)","(0, 1, 0, 5)",3289.8906817052693
"(0, 0, 2)","(0, 1, 1, 5)",3307.753244417033
"(0, 0, 2)","(1, 1, 1, 5)",3308.508430751398
"(0, 0, 2)","(1, 1, 0, 5)",3343.3283372607866
"(1, 0, 2)","(0, 0, 1, 5)",3378.6914295675188
"(1, 0, 2)","(0, 1, 0, 5)",3420.0030282322114
"(1, 1, 2)","(0, 1, 0, 5)",3421.5630550033993
"(1, 0, 1)","(0, 1, 0, 5)",3422.6902561113125
"(2, 0, 0)","(0, 1, 0, 5)",3422.7298456079834
"(2, 0, 1)","(0, 1, 0, 5)",3423.770676275006
"(1, 1, 1)","(0, 1, 0, 5)",3424.5837792925017
"(1, 0, 0)","(0, 1, 0, 5)",3426.268570766513
"(2, 1, 2)","(0, 1, 0, 5)",3439.1427942823675
"(0, 0, 2)","(0, 1, 0, 5)",3467.622118894048
"(0, 0, 1)","(0, 1, 1, 5)",3468.598297425868
"(0, 0, 1)","(1, 1, 1, 5)",3470.0752600042597
"(0, 0, 2)","(1, 0, 0, 5)",3479.3873822502933
"(0, 0, 1)","(1, 1, 0, 5)",3482.5007444246694
"(0, 0, 1)","(1, 0, 1, 5)",3484.818633385286
"(0, 1, 2)","(0, 1, 0, 5)",3504.1939963486375
"(2, 1, 0)","(0, 1, 0, 5)",3509.1469608004254
"(2, 1, 1)","(0, 1, 0, 5)",3509.190725604276
"(0, 1, 1)","(0, 1, 0, 5)",3519.515786296389
"(1, 1, 0)","(0, 1, 0, 5)",3528.208515817998
"(0, 1, 0)","(0, 1, 0, 5)",3538.222371504011
"(0, 0, 1)","(0, 1, 0, 5)",3563.4451291330724
"(0, 0, 1)","(1, 0, 0, 5)",3569.06551954283
"(1, 0, 0)","(1, 0, 1, 5)",3569.1460406224223
"(0, 0, 0)","(1, 1, 1, 5)",3850.313270161697
"(0, 0, 0)","(0, 1, 1, 5)",3851.9945443626784
"(0, 0, 0)","(1, 1, 0, 5)",3857.7508030107174
"(0, 0, 0)","(1, 0, 1, 5)",3870.606245903187
"(0, 0, 0)","(0, 1, 0, 5)",3888.192968269956
"(0, 0, 0)","(1, 0, 0, 5)",3888.3058953353234
"(1, 0, 1)","(1, 0, 1, 5)",4915.172651379855
"(0, 0, 2)","(0, 0, 1, 5)",5276.191039194746
"(2, 0, 2)","(0, 0, 0, 5)",5524.8307980121945
"(2, 0, 2)","(1, 0, 0, 5)",5705.112679369174
"(1, 0, 2)","(1, 0, 1, 5)",5792.527544357428
"(2, 0, 1)","(1, 0, 1, 5)",5817.41334086452
"(2, 0, 2)","(0, 0, 1, 5)",5828.215143754413
"(2, 0, 2)","(1, 0, 1, 5)",5843.209919040943
"(2, 0, 1)","(0, 0, 1, 5)",5857.473813369439
"(2, 0, 1)","(1, 0, 0, 5)",5865.914631487443
"(1, 0, 2)","(1, 0, 0, 5)",5871.679259378177
"(2, 0, 0)","(1, 0, 1, 5)",5919.876566409195
"(0, 0, 2)","(1, 0, 1, 5)",5925.114785200422
"(0, 0, 2)","(0, 0, 0, 5)",6059.853790481047
"(0, 0, 1)","(0, 0, 1, 5)",6130.102740871761
"(0, 0, 0)","(0, 0, 1, 5)",6887.743962741024
"(0, 0, 1)","(0, 0, 0, 5)",6893.180218565683
"(0, 0, 0)","(0, 0, 0, 5)",7795.909753353904
