order,seasonal,aic
"(2, 1, 2)","(1, 1, 0, 5)",2121.976121873682
"(1, 1, 2)","(1, 1, 0, 5)",2122.6517494493746
"(2, 0, 0)","(1, 1, 0, 5)",2123.5213549106993
"(2, 1, 1)","(1, 1, 0, 5)",2144.5467802792655
"(2, 0, 2)","(0, 1, 0, 5)",2152.5877306176444
"(2, 1, 0)","(1, 1, 0, 5)",2157.1748294513236
"(2, 0, 2)","(0, 0, 0, 5)",2159.5956904780965
"(0, 1, 2)","(1, 1, 0, 5)",2172.258228481256
"(1, 1, 1)","(1, 1, 0, 5)",2174.0219685633556
"(0, 1, 1)","(1, 1, 0, 5)",2177.0131950315313
"(1, 0, 0)","(1, 1, 0, 5)",2177.55388560312
"(1, 1, 0)","(1, 1, 0, 5)",2186.973295223906
"(0, 1, 0)","(1, 1, 0, 5)",2216.20868160371
"(0, 0, 2)","(1, 1, 1, 5)",2233.2178090936695
"(0, 0, 2)","(0, 1, 1, 5)",2235.1298668255986
"(0, 0, 2)","(1, 1, 0, 5)",2245.969963958602
"(1, 0, 2)","(0, 1, 0, 5)",2246.148457470126
"(2, 0, 0)","(0, 1, 0, 5)",2247.2145560582394
"(2, 0, 1)","(0, 1, 0, 5)",2248.0689785350955
"(1, 0, 1)","(0, 1, 0, 5)",2249.0307281050236
"(2, 1, 2)","(0, 1, 0, 5)",2249.8340427831376
"(2, 1, 1)","(0, 1, 0, 5)",2251.4583003416874
"(1, 1, 2)","(0, 1, 0, 5)",2251.6890670093517
"(1, 0, 1)","(1, 0, 0, 5)",2256.5390831511127
"(0, 0, 2)","(1, 0, 1, 5)",2257.2872288589433
"(0, 0, 2)","(0, 1, 0, 5)",2261.6571639353215
"(0, 0, 2)","(1, 0, 0, 5)",2293.488504009472
"(1, 0, 0)","(0, 1, 0, 5)",2313.8829382641775
"(2, 1, 0)","(0, 1, 0, 5)",2332.8544482234875
"(0, 1, 2)","(0, 1, 0, 5)",2337.15047509758
"(1, 1, 1)","(0, 1, 0, 5)",2342.3217695976537
"(0, 1, 1)","(0, 1, 0, 5)",2342.5142928861633
"(1, 1, 0)","(0, 1, 0, 5)",2353.1376288349475
"(0, 1, 0)","(0, 1, 0, 5)",2374.7031788743097
"(0, 0, 1)","(0, 1, 1, 5)",2569.6807641540654
"(0, 0, 1)","(1, 1, 1, 5)",2571.383674911689
"(0, 0, 1)","(1, 1, 0, 5)",2575.9722967625685
"(0, 0, 1)","(0, 1, 0, 5)",2584.6626841760635
"(0, 0, 1)","(1, 0, 1, 5)",2587.698230760958
"(0, 0, 1)","(1, 0, 0, 5)",2592.7179791073463
"(0, 0, 0)","(1, 1, 1, 5)",3090.159627138439
"(0, 0, 0)","(0, 1, 1, 5)",3093.5704448384063
"(0, 0, 0)","(1, 1, 0, 5)",3096.001888777652
"(0, 0, 0)","(1, 0, 1, 5)",3114.7018394641445
"(0, 0, 0)","(0, 1, 0, 5)",3123.8506693468285
"(0, 0, 0)","(1, 0, 0, 5)",3128.706953236621
"(2, 0, 1)","(1, 0, 0, 5)",3639.000537680625
"(2, 0, 2)","(0, 0, 1, 5)",3893.1804221179677
"(0, 0, 2)","(0, 0, 1, 5)",4431.94917579754
"(2, 0, 2)","(1, 0, 1, 5)",4721.346370335366
"(1, 0, 1)","(1, 0, 1, 5)",4898.242515322205
"(1, 0, 2)","(1, 0, 1, 5)",5139.36819929984
"(2, 0, 2)","(1, 0, 0, 5)",5217.029423161419
"(2, 0, 1)","(1, 0, 1, 5)",5266.951554677486
"(0, 0, 1)","(0, 0, 1, 5)",5338.944367269634
"(0, 0, 2)","(0, 0, 0, 5)",5721.987703813807
"(0, 0, 0)","(0, 0, 1, 5)",6156.379580278744
"(0, 0, 1)","(0, 0, 0, 5)",6163.113639873203
"(0, 0, 0)","(0, 0, 0, 5)",7081.077214618446
