order,seasonal,aic
"(0, 1, 1)","(1, 1, 0, 5)",4376.682693345747
"(0, 1, 2)","(1, 1, 0, 5)",4378.1698208969065
"(1, 0, 2)","(0, 0, 0, 5)",4410.383864782755
"(1, 0, 1)","(1, 0, 0, 5)",4493.0038202647465
"(2, 1, 2)","(0, 1, 0, 5)",4512.073137689915
"(2, 0, 2)","(0, 1, 0, 5)",4590.60567574069
"(1, 1, 2)","(0, 1, 0, 5)",4607.1888003882605
"(1, 0, 2)","(0, 1, 0, 5)",4609.18758001151
"(2, 0, 1)","(0, 1, 0, 5)",4611.7987936080835
"(1, 0, 1)","(0, 1, 0, 5)",4614.284433489972
"(2, 0, 0)","(0, 1, 0, 5)",4614.386738314699
"(1, 0, 0)","(0, 1, 0, 5)",4626.759423011707
"(0, 1, 2)","(0, 1, 0, 5)",4672.291982085551
"(2, 1, 0)","(0, 1, 0, 5)",4680.660002644253
"(2, 1, 1)","(0, 1, 0, 5)",4681.613544953563
"(0, 1, 1)","(0, 1, 0, 5)",4684.8499073010225
"(1, 1, 1)","(0, 1, 0, 5)",4689.412046846619
"(0, 1, 0)","(0, 1, 0, 5)",4689.431879390771
"(0, 0, 2)","(1, 0, 0, 5)",4689.925693713087
"(1, 1, 0)","(0, 1, 0, 5)",4691.429980828956
"(0, 0, 2)","(1, 1, 1, 5)",4742.477722850177
"(0, 0, 2)","(0, 1, 1, 5)",4749.5316583733875
"(0, 0, 2)","(1, 1, 0, 5)",4764.051836870918
"(0, 0, 2)","(0, 1, 0, 5)",4805.874137979547
"(0, 0, 1)","(1, 1, 1, 5)",4864.291018079825
"(0, 0, 1)","(0, 1, 1, 5)",4881.845067959055
"(0, 0, 1)","(1, 1, 0, 5)",4892.34953882202
"(0, 0, 1)","(0, 1, 0, 5)",4920.608668783832
"(0, 0, 1)","(1, 0, 0, 5)",4928.3215033456745
"(0, 0, 1)","(1, 0, 1, 5)",5053.636814845433
"(2, 0, 0)","(1, 0, 0, 5)",5164.593407520768
