date,actual_price,sentiment,xgboost_predicted,sarimax_predicted,was_split
2025-01-27,53.7,0.8333333333333334,54.702388763427734,54.448967204952815,False
2025-01-28,54.2,0.125,55.25626754760742,54.395206117496144,False
2025-01-29,54.1,-0.125,54.50528335571289,54.3414981119375,False
2025-01-30,55.5,0.75,54.04158401489258,54.28784313586558,False
2025-01-31,55.0,0.0,55.485843658447266,54.23424113692085,False
2025-02-03,55.3,0.2857142857142857,53.72997283935547,54.18069206279547,False
2025-02-05,54.1,0.375,52.93854522705078,54.127195861233254,False
2025-02-06,53.5,-0.2,53.34238052368164,54.07375248002959,False
2025-02-07,55.3,0.2222222222222222,52.660179138183594,54.020361867031426,False
2025-02-10,53.6,-0.2857142857142857,52.657379150390625,53.967023970137205,False
2025-02-11,53.0,0.0,52.85108184814453,53.91373873729681,False
2025-02-13,53.5,0.1666666666666667,51.9599723815918,53.86050611651152,False
2025-02-14,52.0,0.25,52.184383392333984,53.807326055833954,False
2025-02-17,52.2,0.2,52.316612243652344,53.754198503368016,False
2025-02-18,52.9,-0.2,52.00609588623047,53.70112340726886,False
2025-02-19,52.0,0.5,51.30168533325195,53.64810071574282,False
2025-02-20,52.0,0.5,51.40571975708008,53.59513037704738,False
2025-02-21,52.0,-0.3333333333333333,51.350379943847656,53.54221233949111,False
2025-02-24,51.8,0.5,50.67869186401367,53.489346551433606,False
2025-02-25,51.1,0.25,50.2528076171875,53.436532961285465,False
2025-02-27,51.5,0.0,51.07697677612305,53.38377151750822,False
2025-02-28,51.3,-0.2,50.02143859863281,53.331062168614295,False
2025-03-03,50.5,0.0,49.769344329833984,53.27840486316694,False
2025-03-04,49.9,0.0,49.43764877319336,53.225799549780206,False
2025-03-05,50.7,0.0,49.41712951660156,53.17324617711886,False
2025-03-06,49.9,0.25,49.811553955078125,53.12074469389839,False
2025-03-07,49.5,0.25,47.39706039428711,53.06829504888488,False
2025-03-10,48.9,0.5,47.331329345703125,53.01589719089502,False
2025-03-11,49.0,-0.2,48.157840728759766,52.96355106879604,False
2025-03-12,50.0,0.0,47.24956512451172,52.911256631505665,False
2025-03-14,46.0,0.2,47.719390869140625,52.85901382799203,False
2025-03-17,46.0,-0.3333333333333333,48.603694915771484,52.80682260727367,False
2025-03-18,46.9,0.2857142857142857,48.019744873046875,52.754682918419476,False
2025-03-19,47.0,0.5,48.887508392333984,52.7025947105486,False
2025-03-20,47.5,0.1666666666666667,48.39702606201172,52.650557932830445,False
2025-03-21,48.0,-0.2,47.101016998291016,52.598572534484596,False
2025-03-24,47.4,0.4,46.820308685302734,52.546638464780784,False
2025-03-25,48.3,0.25,48.063053131103516,52.49475567303883,False
2025-03-26,48.1,0.0,48.48698043823242,52.44292410862859,False
