date,actual_price,sentiment,xgboost_predicted,sarimax_predicted,was_split,split_ratio
2025-01-17,725.0,0.5,722.7244262695312,720.9511965451236,True,5
2025-01-20,747.5,0.0,732.5095825195312,721.0478891018872,True,5
2025-01-21,743.75,-0.1428571428571428,718.250244140625,721.0577182487459,True,5
2025-01-22,730.0,0.0,735.8809204101562,721.0587174169467,True,5
2025-01-23,730.0,0.1666666666666667,734.4610595703125,721.0588189859951,True,5
2025-01-24,741.25,0.0,734.9976196289062,721.0588293108549,True,5
2025-01-27,751.25,0.8333333333333334,736.408203125,721.058830360414,True,5
2025-01-28,763.75,0.125,732.9065551757812,721.0588304671055,True,5
2025-01-29,783.75,-0.125,705.2171020507812,721.0588304779511,True,5
2025-01-30,778.75,0.75,705.5064697265625,721.0588304790537,True,5
2025-01-31,771.25,0.0,683.7894287109375,721.0588304791657,True,5
2025-02-03,770.0,0.2857142857142857,685.4554443359375,721.0588304791771,True,5
2025-02-05,745.0,0.125,679.2063598632812,721.0588304791783,True,5
2025-02-06,730.0,0.0,682.7365112304688,721.0588304791784,True,5
2025-02-07,697.5,0.2222222222222222,696.1555786132812,721.0588304791784,True,5
2025-02-10,700.0,-0.2857142857142857,724.8739013671875,721.0588304791784,True,5
2025-02-11,680.0,0.0,713.3703002929688,721.0588304791784,True,5
2025-02-13,691.25,0.1666666666666667,715.3773803710938,721.0588304791784,True,5
2025-02-14,702.5,0.0,705.8224487304688,721.0588304791784,True,5
2025-02-17,721.25,0.2,565.188232421875,721.0588304791784,True,5
2025-02-18,713.75,-0.2,344.73858642578125,721.0588304791784,True,5
2025-02-19,700.0,0.5,352.51654052734375,721.0588304791784,True,5
2025-02-20,695.0,0.6666666666666666,327.79058837890625,721.0588304791784,True,5
2025-03-03,26.9,0.0,326.6318054199219,721.0588304791784,True,5
2025-03-04,25.3,0.0,371.8094177246094,721.0588304791784,True,5
2025-03-05,27.8,0.0,379.0960693359375,721.0588304791784,True,5
2025-03-06,29.0,0.5,367.240234375,721.0588304791784,True,5
2025-03-07,29.8,0.25,362.0637512207031,721.0588304791784,True,5
2025-03-10,29.5,0.5,354.8381042480469,721.0588304791784,True,5
2025-03-11,29.0,-0.2,341.4190673828125,721.0588304791784,True,5
2025-03-12,28.9,0.0,342.7037048339844,721.0588304791784,True,5
2025-03-14,29.7,0.2,344.9345397949219,721.0588304791784,True,5
2025-03-17,29.2,-0.3333333333333333,343.2368469238281,721.0588304791784,True,5
2025-03-18,28.4,0.1428571428571428,342.04443359375,721.0588304791784,True,5
