date,actual_price,sentiment,xgboost_predicted,sarimax_predicted,was_split,split_ratio
2025-01-23,183.25,0.0,182.43521118164062,184.5160294684686,True,5
2025-01-24,182.25,-0.1666666666666667,178.52886962890625,184.50444098491545,True,5
2025-01-27,183.75,0.3333333333333333,181.1215057373047,184.51281886415236,True,5
2025-01-28,180.75,0.125,178.04571533203125,184.50676208716456,True,5
2025-01-29,179.25,0.0,177.17410278320312,184.51114082627532,True,5
2025-01-30,176.75,0.75,176.08717346191406,184.50797522248328,True,5
2025-01-31,179.0,0.0,175.67237854003906,184.5102637916615,True,5
2025-02-03,176.75,0.1428571428571428,176.01284790039062,184.5086092735261,True,5
2025-02-05,173.5,0.0,173.67355346679688,184.50980540527794,True,5
2025-02-06,173.0,0.2,171.53968811035156,184.50894066337082,True,5
2025-02-07,173.0,0.0,172.08944702148438,184.50956582741713,True,5
2025-02-10,173.5,0.2857142857142857,172.60499572753906,184.50911386587623,True,5
2025-02-11,170.0,0.0,173.0942840576172,184.50944061088924,True,5
2025-02-13,169.75,0.1666666666666667,171.7924346923828,184.50920439100355,True,5
2025-02-14,171.5,0.0,170.19769287109375,184.5093751658652,True,5
2025-02-17,173.0,0.0,171.63681030273438,184.50925170439925,True,5
2025-02-18,170.0,-0.2,171.33460998535156,184.50934096070682,True,5
2025-02-19,170.0,0.0,170.42124938964844,184.5092764329744,True,5
2025-02-20,169.25,0.6666666666666666,169.9395751953125,184.50932308321532,True,5
2025-02-21,171.0,-0.3333333333333333,170.803466796875,184.50928935748382,True,5
2025-02-24,171.0,0.75,169.88331604003906,184.50931373945792,True,5
2025-02-25,168.5,0.125,169.70948791503906,184.5092961125412,True,5
2025-02-27,168.0,0.0,169.24606323242188,184.5093088558979,True,5
2025-02-28,169.5,-0.2,168.77915954589844,184.5092996431046,True,5
2025-03-03,169.25,0.1666666666666667,171.4199981689453,184.50930630348165,True,5
2025-03-04,168.0,0.0,168.51522827148438,184.50930148837068,True,5
2025-03-05,167.25,0.0,168.14346313476562,184.50930496944895,True,5
2025-03-06,166.0,0.25,169.07749938964844,184.5093024528079,True,5
2025-03-07,169.75,0.375,167.9134063720703,184.5093042722103,True,5
2025-03-10,166.75,0.5,169.317626953125,184.50930295687567,True,5
2025-03-11,166.75,-0.2,167.17263793945312,184.50930390779513,True,5
2025-03-12,168.0,0.0,165.13067626953125,184.50930322032912,True,5
2025-03-14,165.5,0.2,165.36195373535156,184.50930371733176,True,5
2025-03-17,167.0,-0.3333333333333333,165.96302795410156,184.50930335802434,True,5
2025-03-18,162.5,0.2857142857142857,166.33570861816406,184.50930361778518,True,5
2025-03-19,161.75,0.25,166.50880432128906,184.5093034299914,True,5
2025-03-20,162.25,0.0,166.37054443359375,184.50930356575665,True,5
2025-03-21,163.5,0.0,165.72720336914062,184.50930346760532,True,5
2025-03-24,164.5,0.0,166.6241455078125,184.5093035385637,True,5
2025-03-25,164.5,0.0,167.10276794433594,184.50930348726445,True,5
2025-03-26,164.0,0.0,166.6990509033203,184.5093035243512,True,5
2025-03-27,162.75,0.0,166.78512573242188,184.50930349753938,True,5
2025-03-28,164.75,0.0,166.1803741455078,184.50930351692293,True,5
2025-04-01,165.0,0.0,164.8843231201172,184.5093035029096,True,5
2025-04-02,165.25,0.2857142857142857,164.25393676757812,184.50930351304052,True,5
2025-04-03,164.5,0.0,164.5972900390625,184.5093035057164,True,5
2025-04-04,163.5,-0.2857142857142857,164.2953338623047,184.50930351101135,True,5
2025-04-07,161.75,-0.25,164.84735107421875,184.50930350718338,True,5
2025-04-08,161.5,0.25,166.43386840820312,184.50930350995083,True,5
2025-04-09,162.25,0.1,166.13815307617188,184.5093035079501,True,5
2025-04-10,162.5,-0.375,166.53750610351562,184.50930350939652,True,5
2025-04-11,163.0,0.5555555555555556,166.73902893066406,184.50930350835083,True,5
2025-04-16,165.0,0.25,165.44717407226562,184.50930350910681,True,5
2025-04-17,163.25,0.3333333333333333,166.22042846679688,184.5093035085603,True,5
2025-04-21,165.0,0.25,166.2815399169922,184.5093035089554,True,5
2025-04-22,165.0,0.5714285714285714,165.54563903808594,184.50930350866977,True,5
2025-04-23,162.0,0.4,164.55226135253906,184.5093035088763,True,5
2025-04-24,164.0,0.25,164.62527465820312,184.509303508727,True,5
2025-04-25,165.0,0.4,166.22042846679688,184.50930350883493,True,5
2025-04-28,162.5,0.0,166.810791015625,184.50930350875691,True,5
2025-04-29,162.25,0.0,166.4071044921875,184.50930350881333,True,5
2025-04-30,162.25,0.125,168.7400665283203,184.50930350877255,True,5
2025-05-02,164.5,0.25,165.8251953125,184.50930350880202,True,5
2025-05-05,165.0,0.0,168.64761352539062,184.5093035087807,True,5
2025-05-06,164.75,0.0,171.9647674560547,184.5093035087961,True,5
2025-05-07,166.5,0.0,170.7910919189453,184.50930350878497,True,5
2025-05-08,163.0,-0.25,171.74874877929688,184.509303508793,True,5
2025-05-09,167.5,0.5,171.7850799560547,184.50930350878718,True,5
2025-05-14,171.5,0.3333333333333333,172.59475708007812,184.5093035087914,True,5
2025-05-15,170.5,0.3333333333333333,169.69549560546875,184.50930350878835,True,5
2025-05-16,170.0,-0.1666666666666667,170.38027954101562,184.50930350879054,True,5
2025-05-19,170.5,0.1666666666666667,170.31053161621094,184.50930350878895,True,5
2025-05-20,171.0,0.0,170.9661102294922,184.50930350879008,True,5
2025-05-21,168.25,0.4,171.04759216308594,184.50930350878926,True,5
2025-05-22,168.5,0.4,171.19041442871094,184.50930350878986,True,5
2025-05-23,169.5,-0.5,171.04759216308594,184.50930350878943,True,5
2025-05-26,170.75,0.8,170.73777770996094,184.50930350878974,True,5
2025-05-27,170.0,0.1,174.33595275878906,184.50930350878951,True,5
2025-05-28,170.5,0.1818181818181818,174.6451416015625,184.50930350878969,True,5
2025-05-29,169.5,0.0,176.27105712890625,184.50930350878957,True,5
2025-05-30,170.0,-0.2222222222222222,177.5232391357422,184.50930350878966,True,5
2025-06-02,175.0,0.0,176.20465087890625,184.5093035087896,True,5
2025-06-03,174.5,0.0,175.87208557128906,184.50930350878966,True,5
2025-06-04,174.25,-0.25,174.06796264648438,184.50930350878963,True,5
2025-06-05,175.0,0.0,173.7415771484375,184.50930350878966,True,5
2025-06-06,173.0,0.0,172.5872039794922,184.50930350878963,True,5
2025-06-09,172.0,0.0,173.51417541503906,184.50930350878963,True,5
2025-06-11,172.0,0.0,174.11163330078125,184.50930350878963,True,5
2025-06-12,172.0,0.0,174.3240203857422,184.50930350878963,True,5
2025-06-13,170.0,-0.6,170.01600646972656,184.50930350878963,True,5
2025-06-16,172.25,0.0,169.6890869140625,184.50930350878963,True,5
2025-06-17,172.25,0.3333333333333333,170.20321655273438,184.50930350878963,True,5
2025-06-18,170.0,-0.125,170.73777770996094,184.50930350878963,True,5
2025-06-19,166.5,-0.1666666666666667,176.7464141845703,184.50930350878963,True,5
2025-06-20,168.0,0.1666666666666667,183.1468505859375,184.50930350878963,True,5
2025-06-23,169.0,0.1111111111111111,186.2194366455078,184.50930350878963,True,5
2025-06-24,170.0,0.25,191.22032165527344,184.50930350878963,True,5
2025-06-25,181.5,0.0,199.9469451904297,184.50930350878963,True,5
2025-06-26,185.75,0.3333333333333333,211.75967407226562,184.50930350878963,True,5
2025-06-27,185.25,0.0,208.35765075683594,184.50930350878963,True,5
2025-06-30,190.0,0.2,226.90965270996094,184.50930350878963,True,5
2025-07-01,215.5,0.25,229.61355590820312,184.50930350878963,True,5
2025-07-02,217.5,0.2222222222222222,225.87960815429688,184.50930350878963,True,5
2025-07-03,209.75,0.4,211.8975372314453,184.50930350878963,True,5
2025-07-04,207.75,-0.1,235.73171997070312,184.50930350878963,True,5
2025-07-07,211.0,0.0,231.16041564941406,184.50930350878963,True,5
2025-07-08,218.75,-0.2857142857142857,226.22145080566406,184.50930350878963,True,5
2025-07-09,230.25,0.0,226.71405029296875,184.50930350878963,True,5
2025-07-11,247.75,0.2857142857142857,219.6710205078125,184.50930350878963,True,5
2025-07-14,254.0,0.1428571428571428,221.87100219726562,184.50930350878963,True,5
2025-07-15,245.25,0.2727272727272727,225.0903778076172,184.50930350878963,True,5
2025-07-16,244.0,0.1111111111111111,220.7892608642578,184.50930350878963,True,5
2025-07-17,236.5,0.4,226.16233825683594,184.50930350878963,True,5
2025-07-18,235.25,0.125,222.88966369628906,184.50930350878963,True,5
2025-07-21,240.0,0.7142857142857143,219.742431640625,184.50930350878963,True,5
2025-07-22,238.0,0.25,220.92274475097656,184.50930350878963,True,5
2025-07-23,248.5,0.2,224.5576629638672,184.50930350878963,True,5
2025-07-24,249.75,0.2857142857142857,220.87953186035156,184.50930350878963,True,5
2025-07-25,244.75,0.7142857142857143,221.13246154785156,184.50930350878963,True,5
2025-07-28,244.75,0.3333333333333333,221.15890502929688,184.50930350878963,True,5
2025-07-29,247.5,0.2,220.6055145263672,184.50930350878963,True,5
2025-07-30,245.25,0.125,222.04690551757812,184.50930350878963,True,5
2025-07-31,242.75,0.0,222.4089813232422,184.50930350878963,True,5
2025-08-01,241.5,0.1428571428571428,217.29942321777344,184.50930350878963,True,5
2025-08-04,238.25,0.4,217.4377899169922,184.50930350878963,True,5
2025-08-05,237.75,0.1428571428571428,219.1110076904297,184.50930350878963,True,5
2025-08-06,237.25,0.0,220.56712341308594,184.50930350878963,True,5
2025-08-07,220.25,0.7142857142857143,222.1952667236328,184.50930350878963,True,5
2025-08-11,217.75,0.0,219.55868530273438,184.50930350878963,True,5
2025-08-12,215.25,0.1428571428571428,218.57022094726562,184.50930350878963,True,5
2025-08-13,214.0,0.0,223.14540100097656,184.50930350878963,True,5
2025-08-14,215.25,0.1666666666666667,224.37828063964844,184.50930350878963,True,5
2025-08-15,211.25,0.6,204.31979370117188,184.50930350878963,True,5
2025-08-18,208.25,0.2857142857142857,221.15890502929688,184.50930350878963,True,5
2025-08-19,209.0,0.3,222.51806640625,184.50930350878963,True,5
2025-08-20,214.0,0.1666666666666667,221.9344940185547,184.50930350878963,True,5
2025-08-21,210.0,0.0,221.31358337402344,184.50930350878963,True,5
2025-08-22,209.5,0.25,223.8961944580078,184.50930350878963,True,5
2025-08-25,211.0,0.0,225.8294677734375,184.50930350878963,True,5
2025-08-26,211.25,0.2,227.0257110595703,184.50930350878963,True,5
2025-08-27,210.0,0.1818181818181818,230.92840576171875,184.50930350878963,True,5
2025-08-28,212.75,0.0,231.1348114013672,184.50930350878963,True,5
2025-08-29,221.25,0.0,227.94187927246094,184.50930350878963,True,5
2025-09-01,226.25,0.0,224.9729766845703,184.50930350878963,True,5
2025-09-02,236.75,-0.125,219.742431640625,184.50930350878963,True,5
2025-09-03,242.25,0.25,224.9749755859375,184.50930350878963,True,5
2025-09-04,243.0,0.0,221.89532470703125,184.50930350878963,True,5
2025-09-08,241.25,0.0,223.4834442138672,184.50930350878963,True,5
2025-09-09,236.75,0.0,220.87953186035156,184.50930350878963,True,5
2025-09-10,241.0,0.0,231.43185424804688,184.50930350878963,True,5
