date,actual_price,sentiment,xgboost_predicted,sarimax_predicted,was_split
2025-01-24,8.4,-0.1666666666666667,8.286477088928223,8.388162688494129,False
2025-01-27,8.3,0.3333333333333333,8.266221046447754,8.385473239990327,False
2025-01-28,8.3,0.125,8.104545593261719,8.382784653788978,False
2025-01-29,8.4,0.0,8.007242202758789,8.380096929613606,False
2025-01-30,8.5,0.75,7.939684867858887,8.377410067187823,False
2025-01-31,8.6,0.0,8.031576156616211,8.374724066235332,False
2025-02-03,8.4,0.1428571428571428,8.10709285736084,8.372038926479926,False
2025-02-05,8.0,0.0,8.065980911254883,8.369354647645482,False
2025-02-06,8.2,0.0,7.942120552062988,8.366671229455969,False
2025-02-07,8.5,0.0,8.093220710754395,8.363988671635443,False
2025-02-10,8.5,0.2857142857142857,8.465716361999512,8.36130697390805,False
2025-02-11,8.1,0.0,8.256319999694824,8.358626135998021,False
2025-02-13,8.2,0.1666666666666667,8.19423770904541,8.35594615762968,False
2025-02-14,8.7,0.0,8.301090240478516,8.353267038527434,False
2025-02-17,8.6,0.0,8.134427070617676,8.350588778415784,False
2025-02-18,8.3,-0.2,8.136384963989258,8.347911377019315,False
2025-02-19,8.4,0.0,7.992154598236084,8.345234834062705,False
2025-02-20,8.0,0.6666666666666666,8.005571365356445,8.342559149270715,False
2025-02-21,8.1,-0.3333333333333333,7.948488235473633,8.339884322368196,False
2025-02-24,7.9,0.75,7.98069953918457,8.337210353080089,False
2025-02-25,7.8,0.125,7.708045959472656,8.334537241131422,False
2025-02-27,7.9,0.0,7.587347030639648,8.33186498624731,False
2025-02-28,8.0,-0.2,7.798271656036377,8.329193588152961,False
2025-03-03,7.7,0.1666666666666667,7.661422252655029,8.326523046573664,False
2025-03-04,7.5,0.0,7.790309429168701,8.3238533612348,False
2025-03-05,7.9,0.0,7.783264636993408,8.321184531861839,False
2025-03-06,7.7,0.25,7.697946548461914,8.318516558180335,False
2025-03-07,7.8,0.375,7.54282808303833,8.315849439915933,False
2025-03-10,7.8,0.5,7.707048416137695,8.313183176794368,False
2025-03-11,7.6,-0.2,7.6617655754089355,8.310517768541459,False
2025-03-12,7.5,0.0,7.47428560256958,8.307853214883114,False
2025-03-14,7.8,0.2,7.178839206695557,8.30518951554533,False
2025-03-17,7.7,-0.3333333333333333,7.369399547576904,8.30252667025419,False
2025-03-18,7.4,0.2857142857142857,7.591609954833984,8.299864678735867,False
2025-03-19,7.0,0.25,7.588750839233398,8.29720354071662,False
2025-03-20,7.4,0.0,8.050959587097168,8.294543255922797,False
2025-03-21,7.8,0.0,8.330294609069824,8.291883824080832,False
2025-03-24,7.8,0.0,8.27554702758789,8.28922524491725,False
2025-03-25,8.0,0.0,8.504925727844238,8.286567518158659,False
2025-03-26,7.9,0.0,8.561946868896484,8.28391064353176,False
2025-03-27,8.0,0.0,8.398012161254883,8.281254620763336,False
2025-03-28,8.5,0.0,8.714405059814453,8.278599449580264,False
