date,actual_price,sentiment,xgboost_predicted,sarimax_predicted,was_split
2025-02-06,47.0,0.0,49.040225982666016,48.36284559193202,False
2025-02-07,48.6,0.2222222222222222,49.7660026550293,48.34004482247245,False
2025-02-10,49.9,-0.2857142857142857,49.171730041503906,48.317254802485564,False
2025-02-11,46.8,0.0,47.236358642578125,48.29447552690351,False
2025-02-13,49.3,0.1666666666666667,46.64614486694336,48.27170699066081,False
2025-02-14,49.5,0.0,46.30492401123047,48.24894918869438,False
2025-02-17,49.5,0.2,45.4561882019043,48.22620211594353,False
2025-02-18,47.2,-0.2,45.479496002197266,48.20346576734993,False
2025-02-19,46.1,0.5,45.37160873413086,48.18074013785767,False
2025-02-20,45.9,0.5,45.57594680786133,48.158025222413194,False
2025-02-21,45.7,-0.3333333333333333,44.835914611816406,48.135321015965346,False
2025-02-24,45.7,0.5,44.343284606933594,48.11262751346535,False
2025-02-25,45.2,0.25,43.58039855957031,48.0899447098668,False
2025-02-27,45.2,0.1666666666666667,44.00010299682617,48.067272600125676,False
2025-02-28,44.6,-0.2,43.58076477050781,48.04461117920034,False
2025-03-03,44.6,0.0,43.988765716552734,48.021960442051515,False
2025-03-04,44.0,0.0,43.988765716552734,47.99932038364233,False
2025-03-05,44.0,0.0,42.589439392089844,47.97669099893825,False
2025-03-06,43.5,0.5,42.95904541015625,47.95407228290715,False
2025-03-07,43.5,0.25,41.65262985229492,47.931464230519246,False
2025-03-10,43.5,0.5,41.98701477050781,47.90886683674715,False
2025-03-11,41.9,-0.2,40.649436950683594,47.886280096565834,False
2025-03-12,43.0,0.0,39.890384674072266,47.86370400495264,False
2025-03-14,42.1,0.2,44.011016845703125,47.841138556887266,False
2025-03-17,42.1,-0.3333333333333333,43.952293395996094,47.8185837473518,False
2025-03-18,40.2,0.1428571428571428,43.81464385986328,47.79603957133068,False
2025-03-19,40.2,0.25,43.787559509277344,47.77350602381072,False
2025-03-20,43.7,0.0,43.84375762939453,47.750983099781074,False
2025-03-21,44.0,-0.2,45.20002746582031,47.72847079423329,False
2025-03-24,44.0,0.4,43.43455505371094,47.70596910216125,False
2025-03-25,43.3,0.25,44.13823318481445,47.68347801856121,False
2025-03-27,43.8,0.0,43.886436462402344,47.660997538431786,False
2025-03-28,44.9,0.0,43.81889343261719,47.638527656773945,False
2025-04-01,43.7,0.0,42.138694763183594,47.616068368591016,False
2025-04-02,43.7,-0.1428571428571428,45.06862258911133,47.593619668888685,False
2025-04-03,43.4,-1.0,43.02632522583008,47.571181552674986,False
2025-04-04,43.4,-0.2857142857142857,43.241455078125,47.54875401496031,False
2025-04-07,41.5,-0.25,43.63520050048828,47.526337050757405,False
2025-04-08,45.0,0.3333333333333333,44.295833587646484,47.50393065508136,False
2025-04-09,42.1,-0.4,42.9556999206543,47.48153482294963,False
2025-04-10,43.5,0.375,43.80510711669922,47.45914954938199,False
2025-04-11,43.2,0.1111111111111111,44.61362838745117,47.4367748294006,False
2025-04-16,44.8,0.0,44.422428131103516,47.41441065802994,False
2025-04-17,43.0,0.0,44.59861755371094,47.39205703029684,False
2025-04-21,44.9,0.25,46.57284164428711,47.369713941230486,False
2025-04-22,44.9,0.4285714285714285,47.11906051635742,47.347381385862406,False
2025-04-23,44.9,0.4,47.20987319946289,47.32505935922645,False
2025-04-24,44.9,0.25,46.57306671142578,47.302747856358835,False
2025-04-25,46.5,0.4,46.253257751464844,47.28044687229811,False
2025-04-28,47.0,0.0,46.37968826293945,47.25815640208515,False
2025-04-29,47.0,0.0,47.14010238647461,47.235876440763185,False
2025-04-30,46.5,0.125,47.2236328125,47.21360698337777,False
2025-05-02,46.0,0.25,47.42070770263672,47.19134802497681,False
2025-05-05,46.4,0.0,46.499366760253906,47.16909956061053,False
2025-05-06,47.4,0.0,46.39776611328125,47.1468615853315,False
2025-05-07,47.6,0.0,48.12997055053711,47.124634094194604,False
2025-05-08,48.0,-0.25,48.46540069580078,47.102417082257084,False
2025-05-09,47.0,0.5,47.32768630981445,47.08021054457849,False
2025-05-14,46.2,0.3333333333333333,48.19601821899414,47.05801447622071,False
2025-05-15,48.6,0.3333333333333333,46.945743560791016,47.03582887224797,False
2025-05-16,48.6,-0.1666666666666667,46.15300750732422,47.0136537277268,False
2025-05-19,47.4,0.1666666666666667,49.88255310058594,46.991489037726076,False
2025-05-20,48.0,0.0,51.53008270263672,46.96933479731699,False
2025-05-21,46.4,0.4,48.824302673339844,46.94719100157305,False
