date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,hybrid_predicted,best_model_predicted,best_model,sentiment,was_split,split_ratio
2025-01-17,917.5,881.114990234375,924.6118036955218,885.3340481208241,881.7883293733141,881.114990234375,XGBoost,0.5,True,5
2025-01-20,923.75,871.2387084960938,928.1950728830468,872.2555288580808,873.4265579066964,871.2387084960938,XGBoost,0.0,True,5
2025-01-21,922.5,864.572265625,929.5502398868578,862.95390347474,862.7759913131496,864.572265625,XGBoost,-0.1428571428571428,True,5
2025-01-22,922.5,861.7391967773438,928.1476968509754,861.8354988897364,861.4941778049366,861.7391967773438,XGBoost,0.1666666666666667,True,5
2025-01-23,916.25,865.3925170898438,929.6540211254012,866.6995814211439,864.9344078902673,865.3925170898438,XGBoost,0.0,True,5
2025-01-24,911.25,851.2046508789062,931.160699333745,850.7839356758824,853.3607651868256,851.2046508789062,XGBoost,-0.1666666666666667,True,5
2025-01-27,918.75,848.3427124023438,928.5945010556503,843.9449258296286,842.9450328199048,848.3427124023438,XGBoost,0.3333333333333333,True,5
2025-01-28,903.75,856.25048828125,930.356251681963,853.6534149935295,851.3043669013334,856.25048828125,XGBoost,0.125,True,5
2025-01-29,896.25,861.6235961914062,931.6091188729539,865.3063309160179,858.846528772103,861.6235961914062,XGBoost,0.0,True,5
2025-01-30,883.75,850.6886596679688,927.5162723267342,852.3182344783739,852.5889073537173,850.6886596679688,XGBoost,0.75,True,5
2025-01-31,895.0,847.7942504882812,932.5882041535161,847.3129556593324,844.7835278457059,847.7942504882812,XGBoost,0.0,True,5
2025-02-03,883.75,847.8223876953125,932.205321043651,848.4311625329613,843.8474080725816,847.8223876953125,XGBoost,0.1428571428571428,True,5
2025-02-05,867.5,852.248291015625,933.5683184124085,855.4382608008266,850.5457048813344,852.248291015625,XGBoost,0.0,True,5
2025-02-06,865.0,850.1375732421875,932.8368255787359,856.4355747285897,850.6168225545597,850.1375732421875,XGBoost,0.2,True,5
2025-02-07,865.0,842.95849609375,934.5494627335693,848.6201203871143,842.5568586106556,842.95849609375,XGBoost,0.0,True,5
2025-02-10,867.5,840.5830078125,933.2947984074393,843.0638084501676,838.5369651965043,840.5830078125,XGBoost,0.2857142857142857,True,5
2025-02-11,850.0,847.0283203125,935.5316381995959,850.1561228131349,845.6624958086754,847.0283203125,XGBoost,0.0,True,5
2025-02-13,848.75,845.2252197265625,935.0048328098508,849.2677529801302,844.488934750026,845.2252197265625,XGBoost,0.1666666666666667,True,5
2025-02-14,857.5,839.8793334960938,936.5148458941823,843.1284106589835,839.0853990944929,839.8793334960938,XGBoost,0.0,True,5
2025-02-17,865.0,835.347412109375,937.0068371661512,837.3129603356966,833.2601666284971,835.347412109375,XGBoost,0.0,True,5
2025-02-18,850.0,830.3899536132812,938.7210230709927,829.2128522096577,828.0464147808708,830.3899536132812,XGBoost,-0.2,True,5
2025-02-19,850.0,844.634033203125,937.9915952379945,847.1606480536136,843.1311303535215,844.634033203125,XGBoost,0.0,True,5
2025-02-20,846.25,833.9540405273438,934.4112417467328,832.416302488733,830.8594811590248,833.9540405273438,XGBoost,0.6666666666666666,True,5
2025-02-21,855.0,836.0278930664062,941.0139485340029,834.8972614085251,833.0678636301402,836.0278930664062,XGBoost,-0.3333333333333333,True,5
2025-02-24,855.0,837.71923828125,934.8884125702087,837.5404896732109,835.4589289731157,837.71923828125,XGBoost,0.75,True,5
2025-02-25,842.5,827.0759887695312,939.2005071921836,828.6016223091308,827.2214431518104,827.0759887695312,XGBoost,0.125,True,5
2025-02-27,840.0,828.5955810546875,940.4580206718847,832.2487926534246,829.4377461892792,828.5955810546875,XGBoost,0.0,True,5
2025-02-28,847.5,816.1519775390625,942.1740196309136,814.8632704779316,816.0308804035257,816.1519775390625,XGBoost,-0.2,True,5
2025-03-03,846.25,813.33935546875,940.4281256638844,814.2135871254388,814.1200974505006,813.33935546875,XGBoost,0.1666666666666667,True,5
2025-03-04,840.0,810.9982299804688,941.9409878357251,808.2564082206442,810.5759652806319,810.9982299804688,XGBoost,0.0,True,5
2025-03-05,836.25,818.1492919921875,942.4358296919504,810.1752551701403,815.4625402989957,818.1492919921875,XGBoost,0.0,True,5
2025-03-06,830.0,820.5468139648438,941.4035112987111,821.9330178370683,819.3635610127094,820.5468139648438,XGBoost,0.25,True,5
2025-03-07,848.75,821.8673095703125,941.1351631091354,820.1913598642554,817.2058899813287,821.8673095703125,XGBoost,0.375,True,5
2025-03-10,833.75,820.3594360351562,940.8670751543442,816.3022931588683,816.1022500571039,820.3594360351562,XGBoost,0.5,True,5
2025-03-11,833.75,813.8610229492188,945.6397342674803,812.9391147144404,812.3915099449541,813.8610229492188,XGBoost,-0.2,True,5
2025-03-12,840.0,822.9876708984375,944.9139411291554,822.6838897444954,820.5500205025849,822.9876708984375,XGBoost,0.0,True,5
2025-03-14,827.5,824.46923828125,944.188408635968,822.6122167393193,821.5512417659022,824.46923828125,XGBoost,0.2,True,5
2025-03-17,835.0,824.3104858398438,947.9435695438951,824.2047768804908,822.4037133057399,824.3104858398438,XGBoost,-0.3333333333333333,True,5
2025-03-18,812.5,822.7046508789062,944.6583115409532,821.0204689704547,820.4902800381336,822.7046508789062,XGBoost,0.2857142857142857,True,5
2025-03-19,808.75,818.266357421875,945.3737008611567,818.9567039828021,817.6965235654075,818.266357421875,XGBoost,0.25,True,5
2025-03-20,811.25,811.500244140625,947.3985686983897,812.428997330683,812.997445800215,811.500244140625,XGBoost,0.0,True,5
2025-03-21,817.5,808.893310546875,947.8962776550803,805.1659187390275,807.6913515774522,808.893310546875,XGBoost,0.0,True,5
2025-03-24,822.5,812.55859375,948.3942480795563,812.8253884960236,809.6941392482424,812.55859375,XGBoost,0.0,True,5
2025-03-25,822.5,812.140380859375,948.8924801091778,814.4260014312309,809.8177294373411,812.140380859375,XGBoost,0.0,True,5
2025-03-26,820.0,814.5722045898438,949.3909738813771,816.2493375456172,811.1348423317887,814.5722045898438,XGBoost,0.0,True,5
2025-03-27,813.75,823.5400390625,949.889729533659,826.8971646844668,824.2995778455297,823.5400390625,XGBoost,0.0,True,5
2025-03-28,823.75,817.4298095703125,950.3887472036,818.5498870079732,818.633515393884,817.4298095703125,XGBoost,0.0,True,5
2025-04-01,825.0,824.416015625,950.8880270288495,823.5938467209519,821.2830178327887,824.416015625,XGBoost,0.0,True,5
2025-04-02,826.25,823.5623779296875,949.6419460487978,823.7736999083131,821.3857568994279,823.5623779296875,XGBoost,0.2857142857142857,True,5
2025-04-03,822.5,813.3216552734375,951.8873736962312,815.2174444357053,814.6044837168093,813.3216552734375,XGBoost,0.0,True,5
2025-04-04,817.5,819.556640625,954.1330639123541,820.2139089386194,819.3232605381061,819.556640625,XGBoost,-0.2857142857142857,True,5
2025-04-07,808.75,823.0777587890625,954.415190849483,823.7606126723006,821.9069053095293,823.0777587890625,XGBoost,-0.25,True,5
2025-04-08,807.5,814.6116943359375,951.8609430964634,817.1652378597998,815.9254205014455,814.6116943359375,XGBoost,0.25,True,5
2025-04-09,811.25,813.2914428710938,953.2782508748691,815.8977697426894,814.4642400432913,813.2914428710938,XGBoost,0.1,True,5
2025-04-10,812.5,811.6029052734375,956.6814680485049,812.8183880227882,810.97605825144,811.6029052734375,XGBoost,-0.375,True,5
2025-04-11,815.0,821.958984375,951.4974526280705,823.4669240828123,821.2146725798609,821.958984375,XGBoost,0.5555555555555556,True,5
2025-04-16,825.0,824.8778686523438,953.8659449818512,826.0927146270416,824.1372464184894,824.8778686523438,XGBoost,0.25,True,5
2025-04-17,816.25,821.7084350585938,953.858713876464,821.8983800776839,820.2008793236465,821.7084350585938,XGBoost,0.3333333333333333,True,5
2025-04-21,825.0,829.1549072265625,954.870026585999,832.7463992256756,828.5988771312758,829.1549072265625,XGBoost,0.25,True,5
2025-04-22,825.0,817.1032104492188,953.4086370523138,818.2361203330036,816.9966646237633,817.1032104492188,XGBoost,0.5714285714285714,True,5
2025-04-23,810.0,831.9411010742188,954.9587113145898,835.2526933238936,829.9876405700635,831.9411010742188,XGBoost,0.4,True,5
2025-04-24,820.0,850.7249755859375,956.3781279344967,857.0144727425154,850.7410167527851,850.7249755859375,XGBoost,0.25,True,5
2025-04-25,825.0,853.1583862304688,955.9649045298993,857.5775565947636,855.7708842714952,853.1583862304688,XGBoost,0.4,True,5
2025-04-28,812.5,848.7167358398438,958.9122699571428,853.8343227205823,850.2362589452173,848.7167358398438,XGBoost,0.0,True,5
2025-04-29,811.25,849.7149047851562,959.4160275531608,850.6588619956523,849.4570322015686,849.7149047851562,XGBoost,0.0,True,5
2025-04-30,811.25,850.1264038085938,959.156339689053,854.8241617691853,852.8816144608165,850.1264038085938,XGBoost,0.125,True,5
2025-05-02,822.5,842.0377807617188,958.8969166093688,846.8017248119572,843.6498909843077,842.0377807617188,XGBoost,0.25,True,5
2025-05-05,825.0,841.5214233398438,960.9288887697699,844.7763316883983,842.502327546274,841.5214233398438,XGBoost,0.0,True,5
2025-05-06,823.75,845.4192504882812,961.4337057818334,849.1375555304888,846.3783671818899,845.4192504882812,XGBoost,0.0,True,5
2025-05-07,832.5,849.5138549804688,961.9387879958475,856.7164055619321,851.6800074120486,849.5138549804688,XGBoost,0.0,True,5
2025-05-08,815.0,848.2792358398438,963.9715557621736,853.0781804485762,849.1129593197606,848.2792358398438,XGBoost,-0.25,True,5
2025-05-09,837.5,848.7811279296875,959.8949081650093,850.906260650294,848.808006542825,848.7811279296875,XGBoost,0.5,True,5
2025-05-14,857.5,846.6463623046875,961.4190669617925,848.0111640368851,846.7048582290067,846.6463623046875,XGBoost,0.3333333333333333,True,5
2025-05-15,852.5,845.9790649414062,961.9252113775602,848.1410108064749,847.4343759593169,845.9790649414062,XGBoost,0.3333333333333333,True,5
2025-05-16,850.0,866.8380126953125,965.4864621146994,870.4401510852442,862.6121101013779,866.8380126953125,XGBoost,-0.1666666666666667,True,5
2025-05-19,852.5,871.0745849609375,963.9565781873542,868.6667632938298,867.2105055091255,871.0745849609375,XGBoost,0.1666666666666667,True,5
2025-05-20,855.0,867.7109375,965.4818008608305,873.035361151024,869.0207177021382,867.7109375,XGBoost,0.0,True,5
2025-05-21,841.25,869.2564697265625,963.5451373745279,874.1365023092966,871.3730277450716,869.2564697265625,XGBoost,0.4,True,5
2025-05-22,842.5,865.78955078125,964.0526126843746,863.1698052283218,861.1865689656306,865.78955078125,XGBoost,0.4,True,5
2025-05-23,847.5,860.760009765625,970.0590673524315,856.171896264212,858.7630678815772,860.760009765625,XGBoost,-0.5,True,5
2025-05-26,853.75,853.279296875,962.6244909018644,859.9641936719261,857.6012805141485,853.279296875,XGBoost,0.8,True,5
2025-05-27,850.0,855.0941772460938,967.409543018266,860.0682544184135,859.1427849012096,855.0941772460938,XGBoost,0.1,True,5
2025-05-28,852.5,847.4959106445312,967.4182025844542,852.1109427688349,850.9001379075982,847.4959106445312,XGBoost,0.1818181818181818,True,5
2025-05-29,847.5,854.7808227539062,969.0378633505068,854.1158813684079,851.6490453547596,854.7808227539062,XGBoost,0.0,True,5
2025-05-30,850.0,855.5997314453125,970.9046472077245,859.0231569036873,859.933836470481,855.5997314453125,XGBoost,-0.2222222222222222,True,5
2025-06-02,875.0,847.7777709960938,970.0562847963333,852.0237543892272,852.2541995102321,847.7777709960938,XGBoost,0.0,True,5
2025-06-03,872.5,838.4658203125,970.565896819603,836.7539203368443,839.215625085144,838.4658203125,XGBoost,0.0,True,5
2025-06-04,871.25,839.7498168945312,972.6031967748872,839.6508746912125,838.5742769902637,839.7498168945312,XGBoost,-0.25,True,5
2025-06-05,875.0,844.54248046875,971.5859241697125,843.8720265595097,842.4092820207471,844.54248046875,XGBoost,0.0,True,5
2025-06-06,865.0,846.1722412109375,972.0963397779166,850.1013122525419,847.0503158689501,846.1722412109375,XGBoost,0.0,True,5
2025-06-09,860.0,891.3777465820312,972.607023529253,883.2902761213603,876.5025650839925,891.3777465820312,XGBoost,0.0,True,5
2025-06-11,860.0,923.8966064453125,973.1179755645888,919.6391976331572,913.4676015088909,923.8966064453125,XGBoost,0.0,True,5
2025-06-12,860.0,922.54638671875,973.6291960248652,935.5706140880342,922.523250570782,922.54638671875,XGBoost,0.0,True,5
2025-06-13,850.0,945.3622436523438,977.8064935575921,959.9144305028466,942.5990797956925,945.3622436523438,XGBoost,-0.6,True,5
2025-06-16,861.25,1050.6380615234375,974.6524427843741,995.8985416945334,987.5592925808799,1050.6380615234375,XGBoost,0.0,True,5
2025-06-17,861.25,1078.916015625,973.1279090844729,1004.1359259962281,998.882640128141,1078.916015625,XGBoost,0.3333333333333333,True,5
2025-06-18,850.0,1062.604736328125,976.4404750423089,1002.8568576155578,997.8281245381256,1062.604736328125,XGBoost,-0.125,True,5
2025-06-19,832.5,1043.8265380859375,977.2076097791697,1004.7109346288938,995.560690023374,1043.8265380859375,XGBoost,-0.1666666666666667,True,5
2025-06-20,840.0,1053.913818359375,975.6838834716142,1007.859063424376,997.2752629787794,1053.913818359375,XGBoost,0.1666666666666667,True,5
2025-06-23,845.0,1089.7254638671875,976.5364135726123,1012.8631365801848,1001.625558816186,1089.7254638671875,XGBoost,0.1111111111111111,True,5
2025-06-24,850.0,1134.6180419921875,976.2012197312729,1012.8554124360325,1001.598244531734,1134.6180419921875,XGBoost,0.25,True,5
2025-06-25,907.5,1211.6629638671875,978.2422825816303,1012.8631365801848,1001.6725412814274,1211.6629638671875,XGBoost,0.0,True,5
2025-06-26,928.75,1237.376220703125,976.719634777992,1012.8631365801848,1002.425340226782,1237.376220703125,XGBoost,0.3333333333333333,True,5
2025-06-27,926.25,1253.1846923828125,979.2703775173131,1011.7252370583406,999.8945173523085,1253.1846923828125,XGBoost,0.0,True,5
2025-06-30,950.0,1203.2484130859375,978.5628939284362,1006.7992773572973,996.3207899212796,1203.2484130859375,XGBoost,0.2,True,5
2025-07-01,1077.5,1173.7125244140625,978.7721327301092,1003.721394102448,995.2464588036769,1173.7125244140625,XGBoost,0.25,True,5
2025-07-02,1087.5,1174.7261962890625,979.4568393366795,1004.2130551659482,995.6073463503396,1174.7261962890625,XGBoost,0.2222222222222222,True,5
2025-07-03,1048.75,1192.6212158203125,978.8859376510251,1005.9269714174759,997.4991359247414,1192.6212158203125,XGBoost,0.4,True,5
2025-07-04,1038.75,1179.38720703125,982.4563125609491,1005.7525426598243,996.7758707626688,1179.38720703125,XGBoost,-0.1,True,5
2025-07-07,1055.0,1223.7568359375,982.3611497966768,1011.1995730272547,1002.1933555695362,1223.7568359375,XGBoost,0.0,True,5
2025-07-08,1093.75,1225.1260986328125,984.6228491897297,1009.942388881186,1000.843305282106,1225.1260986328125,XGBoost,-0.2857142857142857,True,5
2025-07-09,1151.25,1232.0264892578125,983.3935735030537,1001.8450235102889,994.6295777518891,1232.0264892578125,XGBoost,0.0,True,5
2025-07-11,1238.75,1194.267333984375,982.16456907574,1002.216246939763,994.6903126216649,1194.267333984375,XGBoost,0.2857142857142857,True,5
2025-07-14,1270.0,1242.473876953125,983.5542706977889,1003.0640002377764,995.5217001759567,1242.473876953125,XGBoost,0.1428571428571428,True,5
2025-07-15,1226.25,1219.6434326171875,983.277967270422,999.978660925572,993.9389776531348,1219.6434326171875,XGBoost,0.2727272727272727,True,5
2025-07-16,1220.0,1196.9664306640625,984.782823741583,996.7803596810026,992.468591660166,1196.9664306640625,XGBoost,0.1111111111111111,True,5
2025-07-17,1182.5,1190.5235595703125,983.5355099653046,997.2352394306189,992.39517499504,1190.5235595703125,XGBoost,0.4,True,5
