date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,hybrid_predicted,best_model_predicted,best_model,sentiment,was_split
2025-01-20,8.8,8.408303260803223,8.489962537894003,8.337049950973109,8.22641988279314,8.408303260803223,XGBoost,0.0,False
2025-01-21,8.4,8.202717781066895,8.474877853919226,8.13747665213575,8.111076592565134,8.202717781066895,XGBoost,-0.1428571428571428,False
2025-01-22,8.3,8.104456901550293,8.488888555358443,8.252089994939798,8.153243833446574,8.104456901550293,XGBoost,0.1666666666666667,False
2025-01-23,8.4,8.3224515914917,8.480842694972699,8.35813225690579,8.30229922005176,8.3224515914917,XGBoost,0.0,False
2025-01-24,8.4,8.4883394241333,8.472865357668358,8.31036803738038,8.305700794877517,8.4883394241333,XGBoost,-0.1666666666666667,False
2025-01-27,8.3,8.241415977478027,8.496774887188927,8.156403638192035,8.117741007185726,8.241415977478027,XGBoost,0.3333333333333333,False
2025-01-28,8.3,8.156901359558105,8.486812226578197,8.237169375257835,8.154209776172655,8.156901359558105,XGBoost,0.125,False
2025-01-29,8.4,8.4849214553833,8.480834663832683,8.448386794524046,8.365297285857226,8.4849214553833,XGBoost,0.0,False
2025-01-30,8.5,8.553767204284668,8.516700001352612,8.291244466749509,8.30260126979351,8.553767204284668,XGBoost,0.75,False
2025-01-31,8.6,8.330081939697266,8.480834663161666,8.249795355088413,8.16522999150072,8.330081939697266,XGBoost,0.0,False
2025-02-03,8.4,8.300116539001465,8.487666156133619,8.293473077990575,8.21269016751739,8.300116539001465,XGBoost,0.1428571428571428,False
2025-02-05,8.0,8.10201644897461,8.480834663155505,8.141701718759967,8.093432470499714,8.10201644897461,XGBoost,0.0,False
2025-02-06,8.2,8.050582885742188,8.480834663155454,8.224399750290656,8.123805822722735,8.050582885742188,XGBoost,0.0,False
2025-02-07,8.5,7.945568561553955,8.480834663155449,8.165635275563897,7.978899030012257,7.945568561553955,XGBoost,0.0,False
2025-02-10,8.5,7.817917346954346,8.494497649110599,7.834833767987775,7.790625447548501,7.817917346954346,XGBoost,0.2857142857142857,False
2025-02-11,8.1,7.807999134063721,8.480834663155449,7.792523833481484,7.7906551842356135,7.807999134063721,XGBoost,0.0,False
2025-02-13,8.2,7.861034870147705,8.488804738295952,7.9011443649676165,7.869338074429216,7.861034870147705,XGBoost,0.1666666666666667,False
2025-02-14,8.7,7.720824241638184,8.480834663155449,7.6393751979272,7.689119570257761,7.720824241638184,XGBoost,0.0,False
2025-02-17,8.6,7.6300458908081055,8.480834663155449,7.574771691288041,7.595964685893504,7.6300458908081055,XGBoost,0.0,False
2025-02-18,8.3,7.755029201507568,8.471270572986844,7.821215985268101,7.7704484671034955,7.755029201507568,XGBoost,-0.2,False
2025-02-19,8.4,7.645938873291016,8.480834663155449,7.684884754495174,7.673778478836723,7.645938873291016,XGBoost,0.0,False
2025-02-20,8.0,7.748795032501221,8.512714963717466,7.7894234529668145,7.770609468094126,7.748795032501221,XGBoost,0.6666666666666666,False
