date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,best_model_predicted,best_model,sentiment,was_split
2025-01-17,55.6,59.87980270385742,53.223050097946725,56.21710867699256,59.87980270385742,XGBoost,0.25,False
2025-01-20,56.3,58.96022415161133,53.15219458857765,55.56423829964824,58.96022415161133,XGBoost,0.0,False
2025-01-21,57.0,55.72236251831055,53.10238171052045,55.32076829982489,55.72236251831055,XGBoost,-0.1428571428571428,False
2025-01-22,58.1,57.63471603393555,53.141386757023824,55.554284277356636,57.63471603393555,XGBoost,0.1666666666666667,False
2025-01-23,60.0,58.749244689941406,53.119636655413515,55.74158185956645,58.749244689941406,XGBoost,0.1666666666666667,False
2025-01-24,60.1,57.231231689453125,53.06517635248191,55.787475203590326,57.231231689453125,XGBoost,0.0,False
2025-01-27,60.0,55.96454620361328,53.207039606522955,55.602093629784285,55.96454620361328,XGBoost,0.8333333333333334,False
2025-01-28,61.1,56.46336364746094,53.04626000394523,55.718061924479755,56.46336364746094,XGBoost,0.125,False
2025-01-29,62.2,58.29508590698242,52.975466847289894,55.865350360911464,58.29508590698242,XGBoost,-0.125,False
2025-01-30,61.2,61.65975570678711,53.12553656830886,56.25428770014426,61.65975570678711,XGBoost,0.75,False
2025-01-31,59.9,60.83171463012695,52.95660386735412,55.97305374302091,60.83171463012695,XGBoost,0.0,False
2025-02-03,59.0,60.40835952758789,52.991005942764964,55.77827709603255,60.40835952758789,XGBoost,0.2857142857142857,False
2025-02-05,55.6,59.76565933227539,52.9623157617046,55.87271916855969,59.76565933227539,XGBoost,0.25,False
2025-02-06,57.8,59.791500091552734,52.852304102748285,56.14962285033775,59.791500091552734,XGBoost,-0.2,False
2025-02-07,58.8,58.00210952758789,52.91353132151702,55.81875317358082,58.00210952758789,XGBoost,0.2222222222222222,False
2025-02-10,57.6,56.96815872192383,52.79216362296798,55.71649338840064,56.96815872192383,XGBoost,-0.2857142857142857,False
2025-02-11,56.1,57.77634048461914,52.82661007213334,55.784902632343005,57.77634048461914,XGBoost,0.0,False
2025-02-13,56.5,57.8948974609375,52.837694593113994,55.84967186838446,57.8948974609375,XGBoost,0.1666666666666667,False
2025-02-14,58.6,55.566184997558594,52.783349756617056,55.50996782145978,55.566184997558594,XGBoost,0.0,False
2025-02-17,62.1,54.44145965576172,52.80099581617907,56.397833996167435,54.44145965576172,XGBoost,0.2,False
2025-02-18,60.9,56.914974212646484,52.700861936849584,55.82330835249607,56.914974212646484,XGBoost,-0.2,False
2025-02-19,60.5,56.24824523925781,52.81668302526122,55.870062841923,56.24824523925781,XGBoost,0.5,False
2025-02-20,59.8,56.23141860961914,52.79509270222226,55.82868421132006,56.23141860961914,XGBoost,0.5,False
2025-02-21,59.9,55.503135681152344,52.60991567703097,55.802586677683884,55.503135681152344,XGBoost,-0.3333333333333333,False
2025-02-24,58.0,53.968257904052734,52.751938578798864,55.525501227151196,53.968257904052734,XGBoost,0.5,False
2025-02-25,57.1,55.69369125366211,52.68129610790025,55.85237519557613,55.69369125366211,XGBoost,0.25,False
2025-02-27,58.0,55.46971130371094,52.61066246823443,55.89375382617907,55.46971130371094,XGBoost,0.0,False
2025-02-28,58.0,53.983558654785156,52.5498533888393,55.66802239753716,53.983558654785156,XGBoost,-0.2,False
2025-03-03,55.7,53.28782653808594,52.56757899468221,55.624749518998804,53.28782653808594,XGBoost,0.0,False
2025-03-04,54.5,52.813575744628906,52.5460504902935,55.647649079933686,52.813575744628906,XGBoost,0.0,False
2025-03-05,57.0,54.885498046875,52.52453080267951,55.92552756770294,54.885498046875,XGBoost,0.0,False
2025-03-06,56.4,56.68830871582031,52.55209859150268,56.17310695373328,56.68830871582031,XGBoost,0.25,False
2025-03-07,56.3,56.78134536743164,52.530596526607134,55.94686095390939,56.78134536743164,XGBoost,0.25,False
2025-03-10,55.6,55.20379638671875,52.55818193093155,55.78083350664967,55.20379638671875,XGBoost,0.5,False
2025-03-11,54.0,54.893733978271484,52.39927721715785,55.68404753772978,54.893733978271484,XGBoost,-0.2,False
2025-03-12,55.7,54.93268585205078,52.41706448990334,55.82663182699056,54.93268585205078,XGBoost,0.0,False
2025-03-14,55.4,55.01333999633789,52.434860557780794,55.8841489371,55.01333999633789,XGBoost,0.2,False
2025-03-17,54.2,56.76895523071289,52.308701338253336,56.07285670681963,56.76895523071289,XGBoost,-0.3333333333333333,False
2025-03-18,53.5,56.883636474609375,52.40878017355317,55.95742420204835,56.883636474609375,XGBoost,0.2857142857142857,False
2025-03-19,53.1,52.994937896728516,52.380328436991626,55.78107345120799,52.994937896728516,XGBoost,0.25,False
2025-03-20,55.0,51.755340576171875,52.34253716434913,55.87168763783654,51.755340576171875,XGBoost,0.1666666666666667,False
2025-03-21,56.9,47.460601806640625,52.24913218380055,52.30125310250709,47.460601806640625,XGBoost,-0.2,False
2025-03-24,56.9,48.990577697753906,52.34550680811764,51.078913666134945,48.990577697753906,XGBoost,0.4,False
2025-03-25,55.2,46.65477752685547,52.29465421256417,50.87227989428198,46.65477752685547,XGBoost,0.25,False
2025-03-26,54.9,50.44335174560547,52.245991657291555,50.74854853835226,50.44335174560547,XGBoost,0.1111111111111111,False
2025-03-27,55.0,49.56103515625,52.202791049594516,50.82335669138363,49.56103515625,XGBoost,0.0,False
2025-03-28,55.0,49.167884826660156,52.246850158006474,47.920899275985995,49.167884826660156,XGBoost,0.3333333333333333,False
2025-04-01,57.0,49.438316345214844,52.16004158661455,51.20111633771974,49.438316345214844,XGBoost,0.0,False
2025-04-02,57.1,48.10055160522461,52.11063503448419,49.78363650120266,48.10055160522461,XGBoost,-0.1428571428571428,False
2025-04-03,53.0,48.5616569519043,51.921012478565935,50.38845669170622,48.5616569519043,XGBoost,-1.0,False
2025-04-04,51.8,48.615089416503906,52.03989312234687,50.480378822467245,48.615089416503906,XGBoost,-0.2857142857142857,False
2025-04-07,47.4,50.26077651977539,52.0255689927862,50.6498191790175,50.26077651977539,XGBoost,-0.25,False
2025-04-08,49.0,51.89657974243164,52.13511879868782,51.89585450626716,51.89657974243164,XGBoost,0.4166666666666667,False
2025-04-09,46.7,52.91627883911133,51.97310873524296,50.92995015623269,52.91627883911133,XGBoost,-0.3,False
2025-04-10,50.7,53.72243881225586,52.08431196120798,54.18899035690193,53.72243881225586,XGBoost,0.375,False
2025-04-11,49.7,53.566951751708984,52.011206267604315,54.184895820699175,53.566951751708984,XGBoost,0.1111111111111111,False
2025-04-16,49.3,53.15766525268555,51.9681018138179,55.237657720266114,53.15766525268555,XGBoost,0.0,False
2025-04-17,49.5,52.96027755737305,51.94681881906396,55.28861373674355,52.96027755737305,XGBoost,0.0,False
2025-04-21,48.1,53.4044303894043,51.97462320381208,56.24251019297079,53.4044303894043,XGBoost,0.25,False
2025-04-22,48.6,52.70806121826172,51.93232392511469,56.39443617676821,52.70806121826172,XGBoost,0.1428571428571428,False
2025-04-23,48.6,52.56914520263672,51.96154797913504,56.19412467104384,52.56914520263672,XGBoost,0.4,False
2025-04-24,50.4,52.29601287841797,51.861773966647064,56.18356142290488,52.29601287841797,XGBoost,0.0,False
2025-04-25,52.2,53.24428176879883,51.919060378592555,56.20428309771707,53.24428176879883,XGBoost,0.4,False
2025-04-28,53.0,52.06000900268555,51.819303766458795,56.13217325311639,52.06000900268555,XGBoost,0.0,False
2025-04-29,53.8,51.365745544433594,51.79808171039514,52.69801090771842,51.365745544433594,XGBoost,0.0,False
2025-04-30,53.7,51.05318069458008,51.801407677240114,51.98544068987633,51.05318069458008,XGBoost,0.125,False
2025-05-02,53.2,51.24212646484375,51.804742331797655,52.05129704875302,51.24212646484375,XGBoost,0.25,False
2025-05-05,53.1,50.7845458984375,51.73446767559991,51.86271028318047,50.7845458984375,XGBoost,0.0,False
2025-05-06,53.5,50.94380569458008,51.71328036327354,51.86271028318047,50.94380569458008,XGBoost,0.0,False
2025-05-07,52.8,50.636234283447266,51.69210172799023,52.1668737364948,50.636234283447266,XGBoost,0.0,False
2025-05-08,52.6,50.64813995361328,51.62185310292311,52.12282617526553,50.64813995361328,XGBoost,-0.25,False
2025-05-09,52.5,50.40485382080078,51.7479278008864,52.1668737364948,50.40485382080078,XGBoost,0.5,False
2025-05-14,53.3,52.681732177734375,51.69405606656768,52.23198483003854,52.681732177734375,XGBoost,0.3333333333333333,False
2025-05-15,52.1,52.94873046875,51.672912103935225,52.847417748395955,52.94873046875,XGBoost,0.3333333333333333,False
2025-05-16,51.3,52.459327697753906,51.55361947404587,55.17655278225373,52.459327697753906,XGBoost,-0.1666666666666667,False
2025-05-19,51.1,53.72309875488281,51.59793104414406,55.56506002110195,53.72309875488281,XGBoost,0.1666666666666667,False
2025-05-20,51.3,53.917724609375,51.544093939894175,56.13432972361611,53.917724609375,XGBoost,0.0,False
2025-05-21,50.8,54.894046783447266,51.6015104543854,56.65348400383212,54.894046783447266,XGBoost,0.4,False
2025-05-22,51.0,57.42363357543945,51.58040975275246,56.5691285838621,57.42363357543945,XGBoost,0.4,False
2025-05-23,50.7,57.24642562866211,51.382634504908296,56.47531609921573,57.24642562866211,XGBoost,-0.5,False
2025-05-26,50.7,57.09670639038086,51.6167601319024,56.14686082172305,57.09670639038086,XGBoost,0.8,False
2025-05-27,50.5,56.026668548583984,51.45826508720621,56.015197717113864,56.026668548583984,XGBoost,0.1,False
2025-05-28,52.9,55.891414642333984,51.45326103861521,55.82567005111386,55.891414642333984,XGBoost,0.1818181818181818,False
2025-05-29,53.0,55.0600471496582,51.43577286679783,55.80079743999922,55.0600471496582,XGBoost,0.2,False
2025-05-30,52.4,54.850284576416016,51.353648291692,55.82567005111386,54.850284576416016,XGBoost,-0.1111111111111111,False
2025-06-02,53.8,53.73171615600586,51.354420746029795,56.00704306939995,53.73171615600586,XGBoost,0.0,False
2025-06-03,54.1,52.50212097167969,51.33338907796454,55.64381837845661,52.50212097167969,XGBoost,0.0,False
2025-06-04,55.1,51.05476379394531,51.28782669156322,55.64381837845661,51.05476379394531,XGBoost,-0.125,False
2025-06-05,57.8,52.201416015625,51.3240706870571,53.25749410555831,52.201416015625,XGBoost,0.1666666666666667,False
2025-06-06,57.5,50.9685173034668,51.2703457394637,52.644541970158144,50.9685173034668,XGBoost,0.0,False
2025-06-09,57.1,55.051246643066406,51.24934850344158,56.09410918229532,55.051246643066406,XGBoost,0.0,False
2025-06-11,56.1,58.99175262451172,51.22835986661875,56.337499884884735,58.99175262451172,XGBoost,0.0,False
2025-06-12,56.0,59.67176818847656,51.2073798254735,56.553345676106325,59.67176818847656,XGBoost,0.0,False
2025-06-13,55.1,59.99412155151367,51.0686195846297,56.51715443481835,59.99412155151367,XGBoost,-0.6,False
2025-06-16,55.0,59.917415618896484,51.16544551613608,56.502105592420655,59.917415618896484,XGBoost,0.0,False
2025-06-17,53.9,59.55085754394531,51.24264856745424,56.15518532023001,59.55085754394531,XGBoost,0.5,False
2025-06-18,52.6,60.70510482788086,51.09900621564782,57.427349502008894,60.70510482788086,XGBoost,-0.125,False
2025-06-19,51.1,59.87734603881836,51.102608431751854,57.3143237876707,59.87734603881836,XGBoost,0.0,False
2025-06-20,52.4,60.68376541137695,51.114398999645665,57.51759813433154,60.68376541137695,XGBoost,0.1666666666666667,False
2025-06-23,51.0,59.12432098388672,51.06075992090772,57.225247417855535,59.12432098388672,XGBoost,0.0,False
2025-06-24,55.1,59.80278778076172,51.088927181847644,56.00825912847165,59.80278778076172,XGBoost,0.25,False
2025-06-25,59.2,59.727046966552734,51.04348501192466,56.71605479799858,59.727046966552734,XGBoost,0.125,False
2025-06-26,59.9,60.789669036865234,51.03077051139019,56.628949246945666,60.789669036865234,XGBoost,0.1666666666666667,False
2025-06-27,60.1,60.10015106201172,50.97716568182847,56.60822757213348,60.10015106201172,XGBoost,0.0,False
2025-06-30,60.1,59.77467346191406,50.995551445263565,56.5817861799537,59.77467346191406,XGBoost,0.2,False
2025-07-01,59.6,59.333805084228516,50.98449856076104,56.59234942809266,59.333805084228516,XGBoost,0.25,False
2025-07-02,60.9,58.86211395263672,50.95818530532049,56.481548002517826,58.86211395263672,XGBoost,0.2222222222222222,False
2025-07-03,60.0,60.574703216552734,51.050760021722056,56.599337636459204,60.574703216552734,XGBoost,0.8,False
2025-07-04,60.9,60.07102584838867,50.85323384585642,56.60250785476589,60.07102584838867,XGBoost,-0.1,False
2025-07-07,59.2,59.985538482666016,50.85203085911253,56.55251842801084,59.985538482666016,XGBoost,0.0,False
2025-07-08,60.0,59.842529296875,50.7751150387084,56.541955179871884,59.842529296875,XGBoost,-0.2857142857142857,False
2025-07-09,59.9,60.04536056518555,50.810387549110146,56.55251842801084,60.04536056518555,XGBoost,0.0,False
2025-07-11,61.0,61.19214630126953,50.84566858505732,56.61271316639222,61.19214630126953,XGBoost,0.2857142857142857,False
2025-07-14,60.2,60.50970458984375,50.79682329173274,56.5817861799537,60.50970458984375,XGBoost,0.1428571428571428,False
2025-07-15,60.0,60.569400787353516,50.80152687690641,56.59234942809266,60.569400787353516,XGBoost,0.2727272727272727,False
2025-07-16,59.4,60.497337341308594,50.74901594696061,56.59234942809266,60.497337341308594,XGBoost,0.1111111111111111,False
2025-07-17,59.0,60.8232307434082,50.74569134069059,56.59234942809266,60.8232307434082,XGBoost,0.2,False
2025-07-18,60.8,63.55971145629883,50.71020145215451,56.654703508389424,63.55971145629883,XGBoost,0.125,False
2025-07-21,60.3,62.898563385009766,50.80512908779068,56.64393337032193,62.898563385009766,XGBoost,0.7142857142857143,False
2025-07-22,60.0,62.66704559326172,50.668694383416025,56.5817861799537,62.66704559326172,XGBoost,0.125,False
2025-07-23,60.0,61.772621154785156,50.6626771962491,56.59234942809266,61.772621154785156,XGBoost,0.2,False
2025-07-24,60.2,61.81745147705078,50.658771874538225,56.72818914712562,61.81745147705078,XGBoost,0.2857142857142857,False
2025-07-25,61.4,60.710731506347656,50.694137974140176,56.77223670835489,60.710731506347656,XGBoost,0.5714285714285714,False
2025-07-28,60.5,59.674659729003906,50.6594001848544,56.44533746057331,59.674659729003906,XGBoost,0.5,False
2025-07-29,60.7,59.07455062866211,50.5405360279841,56.59986515382324,59.07455062866211,XGBoost,0.0,False
2025-07-30,60.7,58.937461853027344,50.56891634120028,56.48938502180258,58.937461853027344,XGBoost,0.25,False
2025-07-31,61.0,58.94645309448242,50.499147804663565,56.51074357961939,58.94645309448242,XGBoost,0.0,False
2025-08-01,63.9,59.75230407714844,50.53455630560593,56.53146525443157,59.75230407714844,XGBoost,0.2857142857142857,False
2025-08-04,63.1,58.80387878417969,50.49705640525135,56.51074357961939,58.80387878417969,XGBoost,0.2,False
2025-08-05,62.8,59.47648239135742,50.46517396136831,56.521306827758345,59.47648239135742,XGBoost,0.1428571428571428,False
2025-08-06,62.0,59.91317367553711,50.37721007951738,56.57324010282303,59.91317367553711,XGBoost,-0.2,False
2025-08-07,61.8,59.5163459777832,50.53605022100487,56.618446961728836,59.5163459777832,XGBoost,0.7142857142857143,False
2025-08-11,60.9,58.84562301635742,50.375186383440514,56.5817861799537,58.84562301635742,XGBoost,0.0,False
2025-08-12,60.0,58.46023941040039,50.410645651491656,56.502196354631366,58.46023941040039,XGBoost,0.2857142857142857,False
2025-08-13,59.3,59.29486083984375,50.30588861639422,56.5817861799537,59.29486083984375,XGBoost,-0.1428571428571428,False
2025-08-14,59.0,60.79050064086914,50.31331982866481,56.65506144490205,60.79050064086914,XGBoost,0.0,False
2025-08-15,59.1,60.67856979370117,50.41050332449112,56.6337280586956,60.67856979370117,XGBoost,0.6,False
2025-08-18,60.0,60.47201156616211,50.27211767529007,56.600323362663204,60.47201156616211,XGBoost,0.0,False
2025-08-19,58.9,59.54199981689453,50.310423649101175,56.62642089629938,59.54199981689453,XGBoost,0.3,False
