date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,best_model_predicted,best_model,sentiment,was_split
2025-01-17,10.1,9.954373359680176,10.0079921305265,10.116700729107055,9.954373359680176,XGBoost,0.25,False
2025-01-20,10.2,9.60673713684082,10.004157897221837,9.42981256149839,9.60673713684082,XGBoost,0.0,False
2025-01-21,10.2,9.60207748413086,10.000816621689133,9.412059917628188,9.60207748413086,XGBoost,-0.1428571428571428,False
2025-01-22,10.0,9.491589546203613,10.001791595328651,9.568523089093773,9.491589546203613,XGBoost,0.0,False
2025-01-23,10.0,9.404789924621582,10.00255627243899,9.432413422255753,9.404789924621582,XGBoost,0.1666666666666667,False
2025-01-24,10.0,9.104314804077148,9.999462236529643,9.128073866127194,9.104314804077148,XGBoost,0.0,False
2025-01-27,9.9,9.463964462280273,10.008825524760738,9.558397711991862,9.463964462280273,XGBoost,0.8333333333333334,False
2025-01-28,10.1,9.605155944824219,9.998749776413105,9.595350804475697,9.605155944824219,XGBoost,0.125,False
2025-01-29,10.1,9.688997268676758,9.994344434075197,9.754716786962009,9.688997268676758,XGBoost,-0.125,False
2025-01-30,10.1,9.919621467590332,10.004430260621206,9.979909774444195,9.919621467590332,XGBoost,0.75,False
2025-01-31,10.1,9.846044540405273,9.993677151696403,9.881176188709977,9.846044540405273,XGBoost,0.0,False
2025-02-03,10.0,9.709199905395508,9.996219770453083,9.541613183886906,9.709199905395508,XGBoost,0.2857142857142857,False
2025-02-05,9.6,9.483431816101074,9.993004703434018,9.476860506743433,9.483431816101074,XGBoost,0.125,False
2025-02-06,9.6,9.272380828857422,9.990292666667566,9.41352675043422,9.272380828857422,XGBoost,0.0,False
2025-02-07,9.5,9.176481246948242,9.991974995323416,9.27239350527307,9.176481246948242,XGBoost,0.2222222222222222,False
2025-02-10,9.4,9.094528198242188,9.984368644978822,9.072607495909203,9.094528198242188,XGBoost,-0.2857142857142857,False
2025-02-11,9.1,8.968047142028809,9.986867839557314,8.844368783708292,8.968047142028809,XGBoost,0.0,False
2025-02-13,9.5,8.793717384338379,9.987864486103158,8.816562162687507,8.793717384338379,XGBoost,0.1666666666666667,False
