date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,hybrid_predicted,best_model_predicted,best_model,sentiment,was_split,split_ratio
2025-01-09,140.0,152.02774047851562,138.2069341799396,143.22958731904262,143.6384732945947,152.02774047851562,XGBoost,-0.3333333333333333,True,5
2025-01-10,141.0,155.44000244140625,138.22311562148195,143.34316119543607,143.4345536508225,155.44000244140625,XGBoost,-0.25,True,5
2025-01-15,142.75,155.0264892578125,138.2481847033077,142.68003863566173,143.04578865340034,155.0264892578125,XGBoost,0.0,True,5
2025-01-16,144.0,153.68345642089844,138.26806375170844,142.40185045664316,142.65571617535218,153.68345642089844,XGBoost,0.2,True,5
2025-01-17,145.0,154.07296752929688,138.2978726004176,142.07925384598877,142.3542221468163,154.07296752929688,XGBoost,0.5,True,5
2025-01-20,149.5,148.87332153320312,138.24819151007782,140.39268275964307,139.76343635040902,148.87332153320312,XGBoost,0.0,True,5
2025-01-21,148.75,145.66134643554688,138.23399691141788,137.6247942748959,138.22547724706934,145.66134643554688,XGBoost,-0.1428571428571428,True,5
2025-01-22,146.0,139.30528259277344,138.2481915102424,132.79813090106188,136.4036747777816,139.30528259277344,XGBoost,0.0,True,5
2025-01-23,146.0,139.53045654296875,138.26475187553243,134.44042239650574,135.59863607713726,139.53045654296875,XGBoost,0.1666666666666667,True,5
2025-01-24,148.25,135.85678100585938,138.24819151024255,133.96027683592712,134.65127844204756,135.85678100585938,XGBoost,0.0,True,5
2025-01-27,150.25,138.40191650390625,138.33099333669193,134.41933026878294,134.72074328860418,138.40191650390625,XGBoost,0.8333333333333334,True,5
2025-01-28,152.75,140.06446838378906,138.26061178420997,134.6175692560174,134.37069691944293,140.06446838378906,XGBoost,0.125,True,5
2025-01-29,156.75,142.83030700683594,138.23577123627513,135.81920278069197,134.91150778324908,142.83030700683594,XGBoost,-0.125,True,5
2025-01-30,155.75,143.16571044921875,138.322713154047,134.97193881485612,135.79196144749613,143.16571044921875,XGBoost,0.75,True,5
