date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,best_model_predicted,best_model,sentiment,was_split
2025-05-22,21.8,19.883800506591797,20.414436096078663,19.940667613312897,19.883800506591797,XGBoost,0.6,False
2025-05-23,23.2,19.45436668395996,20.503762328395965,19.901614049705508,19.45436668395996,XGBoost,-0.5,False
2025-05-26,22.5,19.03716278076172,20.578920723823202,19.901614049705508,19.03716278076172,XGBoost,0.8,False
2025-05-27,21.5,18.698522567749023,20.666500795074803,19.901614049705508,18.698522567749023,XGBoost,0.1,False
2025-05-28,22.0,18.684934616088867,20.749694035455843,19.235379697525183,18.684934616088867,XGBoost,0.1818181818181818,False
2025-05-29,20.4,18.7064266204834,20.833610693067637,19.034253549521136,18.7064266204834,XGBoost,0.2,False
2025-05-30,20.0,18.31508445739746,20.9198574397887,19.002902679792644,18.31508445739746,XGBoost,-0.1111111111111111,False
2025-06-02,19.1,17.978424072265625,21.003894425477014,19.01996374978809,17.978424072265625,XGBoost,0.0,False
2025-06-03,20.5,17.289989471435547,21.088945840403856,19.02801414162769,17.289989471435547,XGBoost,0.0,False
2025-06-04,20.0,18.135486602783203,21.175097000793183,19.088427181172612,18.135486602783203,XGBoost,-0.125,False
2025-06-05,20.0,17.780838012695312,21.260083265119718,19.047730408820748,17.780838012695312,XGBoost,0.0,False
2025-06-06,19.9,18.626205444335938,21.346172069725764,19.10105795993525,18.626205444335938,XGBoost,0.0,False
2025-06-09,19.6,18.178754806518555,21.432609475143295,19.06441344774012,18.178754806518555,XGBoost,0.0,False
2025-06-11,19.1,18.34861183166504,21.519396892967308,19.11295789079976,18.34861183166504,XGBoost,0.0,False
2025-06-12,18.7,18.57076072692871,21.606535740508797,19.115670718414805,18.57076072692871,XGBoost,0.0,False
2025-06-13,18.7,18.262325286865234,21.697653098594255,19.105729373810803,18.262325286865234,XGBoost,-0.6,False
2025-06-16,18.7,18.26657485961914,21.781873422707093,19.07232928087616,18.26657485961914,XGBoost,0.0,False
2025-06-17,18.4,18.290395736694336,21.86806086645444,19.146542801507174,18.290395736694336,XGBoost,0.3333333333333333,False
2025-06-18,18.0,18.54289436340332,21.95938932079798,19.158403807061905,18.54289436340332,XGBoost,-0.125,False
2025-06-19,17.3,18.44553565979004,22.048558560067004,19.14294866029006,18.44553565979004,XGBoost,-0.1666666666666667,False
2025-06-20,18.2,18.074153900146484,22.135821818147853,19.113160611996868,18.074153900146484,XGBoost,0.1666666666666667,False
2025-06-23,17.8,18.178682327270508,22.225125134393917,19.067243054131104,18.178682327270508,XGBoost,0.2222222222222222,False
2025-06-24,18.7,18.28310775756836,22.314959281945157,19.08058462518933,18.28310775756836,XGBoost,0.25,False
2025-06-25,18.2,18.184223175048828,22.406836421349563,19.086405459959305,18.184223175048828,XGBoost,0.0,False
2025-06-26,18.4,18.011905670166016,22.496561665199593,19.08271692779116,18.011905670166016,XGBoost,0.1666666666666667,False
2025-06-27,18.6,18.241668701171875,22.58866856745108,19.173193809332986,18.241668701171875,XGBoost,0.0,False
2025-06-30,18.3,18.17276954650879,22.67892868176698,19.178668025079887,18.17276954650879,XGBoost,0.2,False
2025-07-01,18.3,17.776281356811523,22.7704655961033,19.140754700986623,17.776281356811523,XGBoost,0.25,False
2025-07-02,18.4,18.304479598999023,22.86284438849907,19.198166118730075,18.304479598999023,XGBoost,0.2222222222222222,False
2025-07-03,18.6,18.155519485473633,22.954354448663715,19.129960648262326,18.155519485473633,XGBoost,0.4,False
2025-07-04,18.5,19.825654983520508,23.05033506252517,19.416979711423224,19.825654983520508,XGBoost,-0.1,False
2025-07-07,18.1,19.446950912475586,23.14306643995786,19.813842639306923,19.446950912475586,XGBoost,0.0,False
2025-07-08,18.2,18.904661178588867,23.238506542986396,19.80810827296389,18.904661178588867,XGBoost,-0.2857142857142857,False
2025-07-09,18.3,19.46429443359375,23.330873114626936,19.765587919275234,19.46429443359375,XGBoost,0.0,False
2025-07-11,18.2,19.38265609741211,23.42362069890402,19.779548285381384,19.38265609741211,XGBoost,0.2857142857142857,False
2025-07-14,18.0,19.23448944091797,23.51934059421293,19.822878190741438,19.23448944091797,XGBoost,0.1428571428571428,False
2025-07-15,18.3,18.962993621826172,23.613796567825318,19.801742395903073,18.962993621826172,XGBoost,0.2727272727272727,False
