date,actual_price,sarimax_predicted,xgboost_predicted,sentiment,was_split,split_ratio,split_date
2025-06-17,32.5,,391.6156,0.3333333333333333,True,5,2025-03-03
2025-06-18,32.1,,407.77948,-0.125,True,5,2025-03-03
2025-06-19,31.2,,407.43005,0.0,True,5,2025-03-03
2025-06-20,31.8,,391.6156,0.1666666666666667,True,5,2025-03-03
2025-06-23,31.1,,386.82214,0.2222222222222222,True,5,2025-03-03
2025-06-24,32.9,,445.76907,0.25,True,5,2025-03-03
2025-06-25,33.6,,440.0015,0.0,True,5,2025-03-03
2025-06-26,33.6,,442.7262,0.1666666666666667,True,5,2025-03-03
2025-06-27,34.0,,443.28345,0.0,True,5,2025-03-03
2025-06-30,32.8,,424.3428,0.2,True,5,2025-03-03
2025-07-01,32.6,,424.4644,0.25,True,5,2025-03-03
2025-07-02,32.5,,417.7562,0.2222222222222222,True,5,2025-03-03
2025-07-03,32.3,,431.9884,0.4,True,5,2025-03-03
2025-07-04,32.4,,443.97897,-0.1,True,5,2025-03-03
2025-07-07,32.1,,443.72812,0.0,True,5,2025-03-03
2025-07-08,32.2,,392.2266,-0.2857142857142857,True,5,2025-03-03
2025-07-09,32.4,,420.8042,0.0,True,5,2025-03-03
2025-07-11,33.3,,391.43124,0.2857142857142857,True,5,2025-03-03
2025-07-14,33.5,,401.56104,0.1428571428571428,True,5,2025-03-03
2025-07-15,33.1,,408.4175,0.2727272727272727,True,5,2025-03-03
2025-07-16,33.1,,410.3647,0.2222222222222222,True,5,2025-03-03
2025-07-17,32.8,,405.65082,0.2,True,5,2025-03-03
2025-07-18,33.0,,400.27097,0.375,True,5,2025-03-03
2025-07-21,33.0,,394.21133,0.7142857142857143,True,5,2025-03-03
2025-07-22,34.0,,402.52136,0.125,True,5,2025-03-03
2025-07-23,35.0,,411.33698,0.2,True,5,2025-03-03
2025-07-24,34.1,,426.54294,0.2857142857142857,True,5,2025-03-03
2025-07-25,34.1,,406.03418,0.5714285714285714,True,5,2025-03-03
2025-07-28,34.5,,409.19745,0.5,True,5,2025-03-03
2025-07-29,34.7,,397.63577,0.0,True,5,2025-03-03
2025-07-30,34.7,,390.09387,0.25,True,5,2025-03-03
2025-07-31,35.5,,416.56696,0.1111111111111111,True,5,2025-03-03
2025-08-01,35.7,,414.27408,0.2857142857142857,True,5,2025-03-03
2025-08-04,35.3,,400.76523,0.2,True,5,2025-03-03
2025-08-05,34.9,,393.4984,0.1428571428571428,True,5,2025-03-03
2025-08-06,35.2,,404.3659,0.0,True,5,2025-03-03
2025-08-07,35.4,,401.08517,0.7142857142857143,True,5,2025-03-03
2025-08-11,35.0,,390.11835,0.25,True,5,2025-03-03
2025-08-12,34.9,,415.41394,0.5714285714285714,True,5,2025-03-03
2025-08-13,35.0,,397.60895,0.0,True,5,2025-03-03
2025-08-14,35.2,,399.74847,0.0,True,5,2025-03-03
2025-08-15,35.0,,401.59894,0.6,True,5,2025-03-03
2025-08-18,35.5,,411.92224,0.1428571428571428,True,5,2025-03-03
2025-08-19,35.9,,417.22116,0.3,True,5,2025-03-03
2025-08-20,35.6,,412.1146,0.1666666666666667,True,5,2025-03-03
2025-08-21,35.8,,411.22238,-0.1818181818181818,True,5,2025-03-03
2025-08-22,36.0,,409.82867,0.125,True,5,2025-03-03
2025-08-25,35.8,"2025-08-25   NaN
2025-08-25   NaN
Name: predicted_mean, dtype: float64","2025-08-25    401.819855
2025-08-25    404.075623
dtype: float32",0.25,True,5,2025-03-03
2025-08-25,35.8,"2025-08-25   NaN
2025-08-25   NaN
Name: predicted_mean, dtype: float64","2025-08-25    401.819855
2025-08-25    404.075623
dtype: float32",0.25,True,5,2025-03-03
2025-08-26,35.9,,406.49023,0.2,True,5,2025-03-03
2025-08-27,36.2,,417.17767,0.1818181818181818,True,5,2025-03-03
2025-08-28,36.0,,404.54306,0.0,True,5,2025-03-03
2025-08-29,36.0,,408.96057,0.0,True,5,2025-03-03
2025-09-01,36.1,,410.46793,0.0,True,5,2025-03-03
2025-09-02,36.0,,410.78552,-0.25,True,5,2025-03-03
2025-09-03,36.0,,401.10495,0.0,True,5,2025-03-03
2025-09-04,35.8,,397.54315,0.0,True,5,2025-03-03
2025-09-08,35.1,,388.1129,0.0,True,5,2025-03-03
2025-09-09,35.2,,390.0601,0.0,True,5,2025-03-03
2025-09-10,34.4,,404.0496,0.0,True,5,2025-03-03
2025-09-11,34.7,,409.03073,0.0,True,5,2025-03-03
2025-09-12,36.1,,400.6228,0.0,True,5,2025-03-03
2025-09-15,35.7,,407.60934,0.0,True,5,2025-03-03
2025-09-16,36.1,,405.35913,0.0,True,5,2025-03-03
2025-09-17,35.8,,428.0096,0.0,True,5,2025-03-03
2025-09-18,35.8,,415.63684,0.0,True,5,2025-03-03
2025-09-19,36.1,,413.03278,0.0,True,5,2025-03-03
2025-09-22,35.9,,403.57462,0.0,True,5,2025-03-03
2025-09-23,35.9,,403.10718,0.0,True,5,2025-03-03
2025-09-24,36.0,,412.76175,0.0,True,5,2025-03-03
2025-09-25,36.6,,414.4421,0.0,True,5,2025-03-03
2025-09-26,38.1,,439.72098,0.0,True,5,2025-03-03
2025-09-29,40.4,,434.68414,0.0,True,5,2025-03-03
2025-09-30,44.4,,445.45322,0.0,True,5,2025-03-03
2025-10-01,43.3,,467.8385,0.0,True,5,2025-03-03
2025-10-02,43.3,,467.8385,0.0,True,5,2025-03-03
2025-10-03,44.0,,459.94043,0.0,True,5,2025-03-03
2025-10-07,43.9,,452.77942,0.0,True,5,2025-03-03
2025-10-08,43.3,,457.23242,0.0,True,5,2025-03-03
2025-10-09,43.6,,461.3102,0.0,True,5,2025-03-03
2025-10-10,43.9,,461.3102,0.0,True,5,2025-03-03
2025-10-13,43.8,,461.3102,0.0,True,5,2025-03-03
2025-10-14,43.6,,455.02963,0.0,True,5,2025-03-03
2025-10-15,43.8,,414.4421,0.0,True,5,2025-03-03
2025-10-16,43.3,,408.69427,0.0,True,5,2025-03-03
2025-10-17,43.4,,410.64145,0.0,True,5,2025-03-03
2025-10-21,45.1,,421.73923,0.0,True,5,2025-03-03
