date,actual_price,sarimax_predicted,xgboost_predicted,sentiment,was_split
2025-02-14,41.7,,42.143246,0.0,False
2025-02-17,42.2,,42.844246,0.2,False
2025-02-18,40.2,,40.305145,-0.2,False
2025-02-19,39.5,,40.871925,0.5,False
2025-02-20,39.3,,40.184864,0.5,False
2025-02-21,39.3,,39.6568,-0.3333333333333333,False
2025-02-24,37.7,,37.24572,0.5,False
2025-02-25,36.7,,36.8083,0.25,False
2025-02-27,37.8,,37.53968,0.0,False
2025-02-28,38.5,,38.015182,-0.2,False
2025-03-03,38.5,,37.659115,0.0,False
2025-03-04,37.0,,36.837944,0.0,False
2025-03-05,37.0,,37.316063,0.0,False
2025-03-06,36.9,,36.98927,0.5,False
2025-03-07,36.9,,37.069138,0.25,False
2025-03-10,36.6,,36.74912,0.5,False
2025-03-11,36.6,,36.809586,-0.2,False
2025-03-12,36.6,,36.775093,0.0,False
2025-03-14,37.0,,37.180023,0.2,False
2025-03-17,35.6,,35.439922,-0.3333333333333333,False
2025-03-18,35.1,,35.117443,0.1428571428571428,False
2025-03-19,35.1,,34.973896,0.25,False
2025-03-20,35.2,,35.080753,0.0,False
2025-03-21,35.6,,35.34361,-0.2,False
2025-03-24,36.5,,36.430504,0.4,False
2025-03-25,35.6,,35.84242,0.25,False
2025-03-26,37.1,,37.052105,0.1111111111111111,False
2025-03-27,37.2,,37.076332,0.0,False
2025-03-28,37.2,,37.305187,0.0,False
2025-04-01,37.1,,37.118465,0.0,False
2025-04-02,37.0,,37.040665,-0.1428571428571428,False
2025-04-03,36.3,,36.649765,-1.0,False
2025-04-04,36.1,,36.372437,-0.2857142857142857,False
2025-04-07,34.0,,34.75062,-0.25,False
2025-04-08,34.0,,34.933735,0.3333333333333333,False
2025-04-09,33.4,,33.51804,-0.4,False
2025-04-10,36.0,,35.61779,0.625,False
2025-04-11,35.0,,34.652958,0.1111111111111111,False
2025-04-16,36.0,,35.93461,0.0,False
2025-04-17,36.5,,36.78121,0.0,False
2025-04-21,36.1,,36.236988,0.25,False
2025-04-22,36.0,,36.079792,0.4285714285714285,False
2025-04-23,35.1,,35.61501,0.4,False
2025-04-25,35.5,,35.404915,0.4,False
2025-04-28,35.8,,35.83831,0.1666666666666667,False
2025-04-29,36.0,,36.147247,0.0,False
2025-04-30,36.7,,36.54911,0.125,False
2025-05-02,36.1,,36.062943,0.25,False
2025-05-05,35.8,,35.95166,0.0,False
2025-05-06,36.0,,36.344543,0.0,False
2025-05-07,36.0,,36.128925,0.0,False
2025-05-08,36.3,,36.259308,-0.25,False
2025-05-09,36.3,,36.18438,0.5,False
2025-05-14,36.8,,36.604298,0.3333333333333333,False
2025-05-15,37.0,,36.80129,0.3333333333333333,False
2025-05-16,37.3,,37.360283,-0.1666666666666667,False
2025-05-19,39.0,,39.079193,0.1666666666666667,False
2025-05-20,38.7,,38.758125,0.0,False
2025-05-21,37.7,,37.85554,0.4,False
2025-05-22,37.7,,37.635735,0.4,False
2025-05-23,37.7,,37.684345,-0.5,False
2025-05-26,38.1,,37.702152,0.8,False
2025-05-27,40.3,,39.337833,0.1,False
2025-05-28,38.5,,38.35653,0.1818181818181818,False
2025-05-29,40.3,,41.34002,0.2,False
2025-05-30,41.4,,41.609447,-0.1111111111111111,False
2025-06-02,38.9,,38.985485,0.0,False
2025-06-03,39.1,,39.113403,0.0,False
2025-06-04,39.0,,39.200382,-0.125,False
2025-06-05,38.9,,38.63214,0.1666666666666667,False
2025-06-06,40.3,,39.398014,0.0,False
2025-06-09,40.3,,39.91827,0.0,False
2025-06-11,40.7,,40.6635,0.0,False
2025-06-12,40.0,,40.461174,0.1666666666666667,False
2025-06-13,40.9,,41.13537,-0.6,False
2025-06-16,39.1,,38.453716,0.0,False
2025-06-17,38.9,,38.328518,0.3333333333333333,False
2025-06-18,39.1,,39.106647,-0.125,False
2025-06-19,39.8,,39.77688,-0.1666666666666667,False
2025-06-20,39.8,,38.77558,0.1666666666666667,False
2025-06-23,39.1,,39.022312,0.2222222222222222,False
2025-06-24,41.4,,41.469097,0.25,False
2025-06-25,42.7,,42.977917,0.0,False
2025-06-26,42.7,,43.314117,0.1666666666666667,False
2025-06-27,41.2,,42.070023,0.0,False
2025-06-30,41.2,,42.528893,0.2,False
2025-07-01,41.2,,42.222294,0.25,False
2025-07-02,41.4,,42.381367,0.2222222222222222,False
2025-07-03,40.1,,40.099873,0.4,False
2025-07-04,41.0,,41.537315,-0.1,False
2025-07-07,40.7,,41.11695,0.0,False
2025-07-08,40.1,,40.08488,-0.2857142857142857,False
2025-07-09,41.4,,40.60072,0.0,False
2025-07-11,41.0,,41.327095,0.2857142857142857,False
2025-07-14,40.8,,41.178665,0.1428571428571428,False
2025-07-15,40.5,,41.18127,0.2727272727272727,False
2025-07-16,40.5,,41.364105,0.3333333333333333,False
2025-07-17,40.5,,41.164658,0.2,False
2025-07-18,40.3,,41.005074,0.125,False
2025-07-21,41.6,,41.91317,0.7142857142857143,False
2025-07-22,41.9,,42.101543,0.125,False
2025-07-23,41.4,,42.06494,0.0,False
2025-07-24,41.8,,42.68536,0.2857142857142857,False
2025-07-25,41.0,,42.24406,0.5714285714285714,False
2025-07-28,40.3,,41.419167,0.5,False
2025-07-29,41.5,,42.293232,0.0,False
2025-07-30,40.1,,40.550507,0.25,False
2025-07-31,40.7,,41.03367,0.0,False
2025-08-01,39.9,,40.94578,0.2857142857142857,False
2025-08-04,41.0,,41.57939,0.2,False
2025-08-05,40.9,,41.450382,0.1428571428571428,False
2025-08-06,40.8,,41.548096,0.0,False
2025-08-07,41.0,,41.81217,0.7142857142857143,False
