date,actual_price,sarimax_predicted,xgboost_predicted,sentiment,was_split,split_ratio,split_date
2025-06-16,172.25,,322.36584,0.0,True,5,2023-08-01
2025-06-17,172.25,,214.38557,0.3333333333333333,True,5,2023-08-01
2025-06-18,170.0,,249.41312,-0.125,True,5,2023-08-01
2025-06-19,166.5,,258.7951,-0.1666666666666667,True,5,2023-08-01
2025-06-20,168.0,,277.7124,0.1666666666666667,True,5,2023-08-01
2025-06-23,169.0,,219.81665,0.1111111111111111,True,5,2023-08-01
2025-06-24,170.0,,231.4339,0.25,True,5,2023-08-01
2025-06-25,181.5,,299.254,0.0,True,5,2023-08-01
2025-06-26,185.75,,474.35104,0.3333333333333333,True,5,2023-08-01
2025-06-27,185.25,,436.53903,0.0,True,5,2023-08-01
2025-06-30,190.0,,449.1028,0.2,True,5,2023-08-01
2025-07-01,215.5,,463.79764,0.25,True,5,2023-08-01
2025-07-02,217.5,,473.52414,0.2222222222222222,True,5,2023-08-01
2025-07-03,209.75,,411.90457,0.4,True,5,2023-08-01
2025-07-04,207.75,,410.50592,-0.1,True,5,2023-08-01
2025-07-07,211.0,,168.40067,0.0,True,5,2023-08-01
2025-07-08,218.75,,476.366,-0.2857142857142857,True,5,2023-08-01
2025-07-09,230.25,,561.0372,0.0,True,5,2023-08-01
2025-07-11,247.75,,734.5408,0.2857142857142857,True,5,2023-08-01
2025-07-14,254.0,,519.1715,0.1428571428571428,True,5,2023-08-01
2025-07-15,245.25,,359.3909,0.2727272727272727,True,5,2023-08-01
2025-07-16,244.0,,367.35886,0.1111111111111111,True,5,2023-08-01
2025-07-17,236.5,,426.61404,0.4,True,5,2023-08-01
2025-07-18,235.25,,513.928,0.125,True,5,2023-08-01
2025-07-21,240.0,,476.16138,0.7142857142857143,True,5,2023-08-01
2025-07-22,238.0,,429.911,0.25,True,5,2023-08-01
2025-07-23,248.5,,419.69733,0.2,True,5,2023-08-01
2025-07-24,249.75,,391.34668,0.2857142857142857,True,5,2023-08-01
2025-07-25,244.75,,376.29742,0.7142857142857143,True,5,2023-08-01
2025-07-28,244.75,,420.70157,0.3333333333333333,True,5,2023-08-01
2025-07-29,247.5,,187.23822,0.2,True,5,2023-08-01
2025-07-30,245.25,,213.33963,0.125,True,5,2023-08-01
2025-07-31,242.75,,221.7134,0.0,True,5,2023-08-01
2025-08-01,241.5,,259.25043,0.1428571428571428,True,5,2023-08-01
2025-08-04,238.25,,303.499,0.4,True,5,2023-08-01
2025-08-05,237.75,,309.5801,0.1428571428571428,True,5,2023-08-01
2025-08-06,237.25,,227.76505,0.0,True,5,2023-08-01
2025-08-07,220.25,,489.1978,0.7142857142857143,True,5,2023-08-01
2025-08-11,217.75,,550.8767,0.0,True,5,2023-08-01
2025-08-12,215.25,,571.69324,0.1428571428571428,True,5,2023-08-01
