date,actual_price,sarimax_predicted,sentiment,xgboost_predicted
2025-01-20,8.8,,0.0,
2025-01-21,8.4,,-0.1428571428571428,
2025-01-22,8.3,,0.1666666666666667,
2025-01-23,8.4,,0.0,
2025-01-24,8.4,,-0.1666666666666667,
2025-01-27,8.3,,0.3333333333333333,
2025-01-28,8.3,,0.125,
2025-01-29,8.4,,0.0,
2025-01-30,8.5,,0.75,
2025-01-31,8.6,,0.0,
2025-02-03,8.4,,0.1428571428571428,8.269783
2025-02-05,8.0,,0.0,8.119993
2025-02-06,8.2,,0.0,8.243489
2025-02-07,8.5,,0.0,8.225638
2025-02-10,8.5,,0.2857142857142857,8.193083
2025-02-11,8.1,,0.0,8.084105
2025-02-13,8.2,,0.1666666666666667,8.153159
2025-02-14,8.7,,0.0,8.186803
2025-02-17,8.6,,0.0,8.133758
2025-02-18,8.3,,-0.2,8.041217
2025-02-19,8.4,,0.0,8.160733
2025-02-20,8.0,,0.6666666666666666,7.9449935
2025-02-21,8.1,,-0.3333333333333333,8.14457
2025-02-24,7.9,,0.75,7.922947
2025-02-25,7.8,,0.125,7.9483914
2025-02-27,7.9,,0.0,8.071626
2025-02-28,8.0,,-0.2,8.0524025
2025-03-03,7.7,,0.1666666666666667,7.6758432
2025-03-04,7.5,,0.0,7.617371
2025-03-05,7.9,,0.0,7.797525
2025-03-06,7.7,,0.25,7.6741333
2025-03-07,7.8,,0.375,7.854505
2025-03-10,7.8,,0.5,7.8113136
2025-03-11,7.6,,-0.2,7.6698008
2025-03-12,7.5,,0.0,7.573052
2025-03-14,7.8,,0.2,7.7519917
2025-03-17,7.7,,-0.3333333333333333,7.692875
2025-03-18,7.4,,0.2857142857142857,7.4912224
2025-03-19,7.0,,0.25,7.086383
2025-03-20,7.4,,0.0,7.4065824
2025-03-21,7.8,,0.0,7.5905275
2025-03-24,7.8,,0.0,7.620707
2025-03-25,8.0,,0.0,7.9035053
2025-03-26,7.9,,0.0,7.952029
2025-03-27,8.0,,0.0,7.988631
2025-03-28,8.5,,0.0,8.230516
2025-04-01,8.6,,0.0,8.345287
2025-04-02,8.6,,0.0,8.1666765
2025-04-03,9.3,,0.0,8.5844145
2025-04-04,9.5,,-0.2857142857142857,8.457886
2025-04-07,9.7,,-0.25,8.461744
2025-04-08,9.6,,0.25,8.316955
2025-04-09,9.4,,0.1,8.177294
2025-04-10,9.7,,-0.125,8.217072
2025-04-11,9.7,,0.5555555555555556,8.136475
2025-04-16,9.8,,0.25,8.127447
2025-04-17,9.5,,0.3333333333333333,8.044632
2025-04-21,9.4,,0.25,8.118413
2025-04-22,9.1,,0.5714285714285714,8.0132885
2025-04-23,9.3,,0.4,8.21965
2025-04-24,9.4,,0.25,8.104569
2025-04-25,9.5,,0.4,8.106674
2025-04-28,9.2,,0.0,8.023787
2025-04-29,9.4,,0.0,8.195833
2025-04-30,9.1,,0.125,8.021188
2025-05-02,9.2,,0.25,8.113472
2025-05-05,9.2,,0.0,8.112354
2025-05-06,9.4,,0.0,8.188909
2025-05-07,9.3,,0.0,8.065953
2025-05-08,9.6,,-0.25,8.177635
2025-05-09,9.5,,0.5,8.070579
2025-05-14,11.0,,0.3333333333333333,8.610864
2025-05-15,11.3,,0.3333333333333333,8.608833
2025-05-16,10.5,,-0.3333333333333333,8.258937
2025-05-19,10.4,,0.1666666666666667,8.259947
2025-05-20,10.4,,0.0,8.265727
2025-05-21,10.3,,0.4,8.154489
2025-05-22,10.7,,0.4,8.188371
2025-05-23,10.0,,-0.5,7.9557266
2025-05-26,10.3,,0.8,8.211942
2025-05-27,10.1,,0.1,8.000092
2025-05-28,11.1,,0.1818181818181818,8.391006
2025-05-29,11.2,,0.0,8.173576
2025-05-30,11.3,,-0.1111111111111111,8.346692
