date,actual_price,sarimax_predicted,sentiment,xgboost_predicted
2025-01-21,55.7,,-0.1428571428571428,
2025-01-22,55.7,,0.1666666666666667,
2025-01-23,55.6,,0.1666666666666667,
2025-01-24,54.3,,0.0,
2025-01-27,53.7,,0.8333333333333334,
2025-01-28,54.2,,0.125,
2025-01-29,54.1,,-0.125,
2025-01-30,55.5,,0.75,
2025-01-31,55.0,,0.0,
2025-02-03,55.3,,0.2857142857142857,
2025-02-05,54.1,,0.375,54.32619
2025-02-06,53.5,,-0.2,53.88601
2025-02-07,55.3,,0.2222222222222222,55.635155
2025-02-10,53.6,,-0.2857142857142857,53.620865
2025-02-11,53.0,,0.0,53.013233
2025-02-13,53.5,,0.1666666666666667,53.5554
2025-02-14,52.0,,0.25,52.236702
2025-02-17,52.2,,0.2,52.501507
2025-02-18,52.9,,-0.2,52.69564
2025-02-19,52.0,,0.5,52.114437
2025-02-20,52.0,,0.5,52.126095
2025-02-21,52.0,,-0.3333333333333333,52.25581
2025-02-24,51.8,,0.5,52.065758
2025-02-25,51.1,,0.25,51.327972
2025-02-27,51.5,,0.0,51.51898
2025-02-28,51.3,,-0.2,51.180943
2025-03-03,50.5,,0.0,50.547165
2025-03-04,49.9,,0.0,50.05411
2025-03-05,50.7,,0.0,50.89672
2025-03-06,49.9,,0.25,49.839172
2025-03-07,49.5,,0.25,49.50189
2025-03-10,48.9,,0.5,48.982155
2025-03-11,49.0,,-0.2,49.15016
2025-03-12,50.0,,0.0,49.67902
2025-03-14,46.0,,0.2,47.44136
2025-03-17,46.0,,-0.3333333333333333,47.176674
2025-03-18,46.9,,0.2857142857142857,47.722473
2025-03-19,47.0,,0.5,47.44899
2025-03-20,47.5,,0.1666666666666667,47.542877
2025-03-21,48.0,,-0.2,48.7899
2025-03-24,47.4,,0.4,48.269386
2025-03-25,48.3,,0.25,48.523083
2025-03-26,48.1,,0.0,48.5314
2025-03-27,46.4,,0.0,47.047787
2025-03-28,46.1,,0.3333333333333333,46.65735
2025-04-01,47.2,,0.0,47.848385
2025-04-02,48.5,,-0.1428571428571428,48.601093
2025-04-03,46.5,,-1.0,47.425102
2025-04-04,46.1,,-0.2857142857142857,47.253128
2025-04-07,46.0,,-0.25,47.77932
2025-04-08,46.0,,0.4166666666666667,47.344673
2025-04-09,46.0,,-0.2,47.631954
2025-04-10,46.5,,0.375,48.30619
2025-04-11,48.0,,0.3333333333333333,48.90634
2025-04-16,47.0,,0.0,48.518806
2025-04-17,47.0,,0.3333333333333333,48.254562
2025-04-21,47.8,,-0.25,48.788788
2025-04-22,47.9,,0.2857142857142857,49.195778
2025-04-23,48.0,,0.4,48.77109
2025-04-24,48.0,,0.0,48.765224
2025-04-25,48.4,,0.4,49.125214
2025-04-28,48.7,,0.0,49.01602
2025-04-29,49.0,,0.0,49.124218
2025-04-30,49.8,,0.125,49.40789
2025-05-02,51.2,,0.25,50.57053
2025-05-05,50.0,,0.0,49.786655
2025-05-06,51.0,,0.0,51.234383
2025-05-07,49.8,,0.0,50.091885
2025-05-08,49.5,,-0.25,49.56968
2025-05-09,48.2,,0.5,48.385715
2025-05-14,48.2,,0.3333333333333333,48.75191
2025-05-15,47.0,,0.3333333333333333,47.58683
2025-05-16,48.7,,-0.1666666666666667,48.168095
2025-05-19,47.3,,0.1666666666666667,47.4806
2025-05-20,49.3,,0.0,48.642647
2025-05-21,49.2,,0.4,48.737823
2025-05-22,48.4,,0.4,48.478485
2025-05-23,49.8,,-0.5,49.869427
2025-05-26,49.0,,0.8,49.567135
2025-05-27,48.3,,0.1,48.57484
2025-05-28,48.3,,0.1818181818181818,48.50216
2025-05-29,49.5,,0.4,50.181965
2025-05-30,48.4,,-0.1111111111111111,48.224865
2025-06-02,49.0,,0.0,49.521847
2025-06-03,47.8,,0.0,47.82919
2025-06-04,48.0,,-0.125,48.25303
2025-06-05,47.4,,0.1666666666666667,47.442833
2025-06-06,47.2,,0.0,47.187286
2025-06-09,48.0,,0.0,47.83127
2025-06-11,48.0,,0.0,48.14144
2025-06-12,47.9,,0.1666666666666667,47.964527
2025-06-13,48.0,,-0.6,48.44312
2025-06-16,47.9,,0.2857142857142857,48.3722
2025-06-17,50.6,,0.3333333333333333,50.380676
2025-06-18,48.4,,-0.125,48.419888
2025-06-19,47.0,,-0.1666666666666667,47.66755
2025-06-20,47.0,,0.1666666666666667,47.2747
2025-06-23,48.9,,0.1111111111111111,48.510723
2025-06-24,48.6,,0.25,47.73949
2025-06-25,49.0,,0.125,48.702427
2025-06-26,49.0,,0.3333333333333333,48.864956
2025-06-27,48.5,,0.0,48.640064
2025-06-30,48.4,,0.2,48.5392
2025-07-01,48.9,,0.25,49.065796
2025-07-02,48.7,,0.2222222222222222,48.53929
2025-07-03,48.1,,0.8,48.094906
2025-07-04,48.3,,-0.1,48.607067
2025-07-07,49.9,,0.0,49.58395
2025-07-08,48.0,,-0.2857142857142857,47.943516
2025-07-09,47.5,,0.0,47.68076
2025-07-11,49.8,,0.1428571428571428,49.92324
2025-07-14,49.8,,0.1428571428571428,49.85797
2025-07-15,49.5,,0.2727272727272727,48.986088
2025-07-16,49.3,,0.1111111111111111,49.77618
2025-07-17,48.9,,0.2,49.521965
2025-07-18,50.1,,0.125,49.928474
2025-07-21,51.1,,0.7142857142857143,50.68817
2025-07-22,50.0,,0.125,49.63381
2025-07-23,50.3,,0.0,50.442047
2025-07-24,49.6,,0.2857142857142857,49.990986
2025-07-25,49.4,,0.5714285714285714,49.779686
2025-07-28,49.8,,0.5,49.71872
2025-07-29,50.5,,0.0,50.3127
2025-07-30,50.6,,0.25,50.218117
2025-07-31,51.3,,0.0,51.307446
2025-08-01,54.0,,0.2857142857142857,53.614594
2025-08-04,54.0,,0.2,53.3685
2025-08-05,52.0,,0.1428571428571428,52.503605
2025-08-06,51.7,,0.0,52.079792
2025-08-07,59.9,,0.7142857142857143,59.831257
2025-08-11,72.2,,0.0,62.291336
2025-08-12,69.5,,0.2857142857142857,62.788006
2025-08-13,65.3,,-0.1428571428571428,66.79268
2025-08-14,63.6,,0.0,63.644394
2025-08-15,65.6,,0.8,64.09215
2025-08-18,64.9,,0.0,64.12878
2025-08-19,64.0,,0.3,62.355072
2025-08-20,64.0,,0.1666666666666667,62.138676
2025-08-21,64.3,,0.09090909090909091,63.158337
2025-08-22,64.0,,0.125,62.3732
2025-08-25,67.3,"2025-08-25   NaN
2025-08-25   NaN
Name: predicted_mean, dtype: float64",0.25,"2025-08-25    64.586082
2025-08-25    66.938217
dtype: float32"
2025-08-25,67.3,"2025-08-25   NaN
2025-08-25   NaN
Name: predicted_mean, dtype: float64",0.25,"2025-08-25    64.586082
2025-08-25    66.938217
dtype: float32"
2025-08-26,74.7,,0.6,70.51975
2025-08-27,92.4,,0.1818181818181818,76.78543
2025-08-28,103.75,,0.0,80.64813
2025-08-29,107.25,,0.0,79.480225
2025-09-01,104.75,,0.0,78.71608
2025-09-02,99.6,,-0.125,78.326294
2025-09-03,98.0,,0.25,78.35621
2025-09-04,100.25,,0.0,78.34313
2025-09-08,97.2,,0.0,74.73365
2025-09-09,90.3,,0.0,73.76775
2025-09-10,102.0,,0.0,78.62423
2025-09-11,97.7,,0.0,77.103165
2025-09-12,96.4,,0.0,77.77387
