date,actual_price,sarimax_predicted,sentiment,xgboost_predicted
2025-01-17,183.5,,0.5,
2025-01-20,184.75,,0.0,
2025-01-21,184.5,,-0.1428571428571428,
2025-01-22,184.5,,0.1666666666666667,
2025-01-23,183.25,,0.0,
2025-01-24,182.25,,-0.1666666666666667,
2025-01-27,183.75,,0.3333333333333333,
2025-01-28,180.75,,0.125,
2025-01-29,179.25,,0.0,
2025-01-30,176.75,,0.75,
2025-01-31,179.0,,0.0,179.15557861328125
2025-02-03,176.75,,0.1428571428571428,176.60952758789062
2025-02-05,173.5,,0.0,173.57711791992188
2025-02-06,173.0,,0.2,172.97743225097656
2025-02-07,173.0,,0.0,172.98402404785156
2025-02-10,173.5,,0.2857142857142857,173.5314178466797
2025-02-11,170.0,,0.0,170.38299560546875
2025-02-13,169.75,,0.1666666666666667,169.38665771484375
2025-02-14,171.5,,0.0,170.67408752441406
2025-02-17,173.0,,0.0,171.40538024902344
2025-02-18,170.0,,-0.2,169.9503936767578
2025-02-19,170.0,,0.0,169.96945190429688
2025-02-20,169.25,,0.6666666666666666,169.1544647216797
2025-02-21,171.0,,-0.3333333333333333,170.34536743164062
2025-02-24,171.0,,0.75,169.97543334960938
2025-02-25,168.5,,0.125,167.89776611328125
2025-02-27,168.0,,0.0,168.5048370361328
2025-02-28,169.5,,-0.2,169.29153442382812
2025-03-03,169.25,,0.1666666666666667,168.81881713867188
2025-03-04,168.0,,0.0,167.4912567138672
2025-03-05,167.25,,0.0,167.48484802246094
2025-03-06,166.0,,0.25,166.27597045898438
2025-03-07,169.75,,0.375,169.71658325195312
2025-03-10,166.75,,0.5,166.15762329101562
2025-03-11,166.75,,-0.2,166.42083740234375
2025-03-12,168.0,,0.0,167.35476684570312
2025-03-14,165.5,,0.2,165.6614227294922
2025-03-17,167.0,,-0.3333333333333333,167.32327270507812
2025-03-18,162.5,,0.2857142857142857,163.17115783691406
2025-03-19,161.75,,0.25,163.33465576171875
2025-03-20,162.25,,0.0,163.1382293701172
2025-03-21,163.5,,0.0,163.92892456054688
2025-03-24,164.5,,0.0,163.92196655273438
2025-03-25,164.5,,0.0,164.68772888183594
2025-03-26,164.0,,0.0,164.0673065185547
2025-03-27,162.75,,0.0,162.38937377929688
2025-03-28,164.75,,0.0,164.44371032714844
2025-04-01,165.0,,0.0,164.66513061523438
2025-04-02,165.25,,0.2857142857142857,164.89129638671875
2025-04-03,164.5,,0.0,164.22262573242188
2025-04-04,163.5,,-0.2857142857142857,164.1893310546875
2025-04-07,161.75,,-0.25,162.45016479492188
2025-04-08,161.5,,0.25,162.80465698242188
2025-04-09,162.25,,0.1,163.6611328125
2025-04-10,162.5,,-0.375,162.88833618164062
2025-04-11,163.0,,0.5555555555555556,163.2828369140625
2025-04-16,165.0,,0.25,165.21615600585938
2025-04-17,163.25,,0.3333333333333333,163.33010864257812
2025-04-21,165.0,,0.25,164.6566925048828
2025-04-22,165.0,,0.5714285714285714,164.85235595703125
2025-04-23,162.0,,0.4,162.91644287109375
2025-04-24,164.0,,0.25,164.4746551513672
2025-04-25,165.0,,0.4,164.59628295898438
2025-04-28,162.5,,0.0,163.35462951660156
2025-04-29,162.25,,0.0,163.0203399658203
2025-04-30,162.25,,0.125,163.57766723632812
2025-05-02,164.5,,0.25,164.78097534179688
2025-05-05,165.0,,0.0,164.81736755371094
2025-05-06,164.75,,0.0,164.61395263671875
2025-05-07,166.5,,0.0,166.72976684570312
2025-05-08,163.0,,-0.25,163.05526733398438
2025-05-09,167.5,,0.5,167.9784698486328
2025-05-14,171.5,,0.3333333333333333,172.47523498535156
2025-05-15,170.5,,0.3333333333333333,170.05172729492188
2025-05-16,170.0,,-0.1666666666666667,169.3225555419922
2025-05-19,170.5,,0.1666666666666667,171.10182189941406
2025-05-20,171.0,,0.0,170.3089141845703
2025-05-21,168.25,,0.4,167.20016479492188
2025-05-22,168.5,,0.4,168.74595642089844
2025-05-23,169.5,,-0.5,169.43865966796875
2025-05-26,170.75,,0.8,170.49391174316406
2025-05-27,170.0,,0.1,169.55612182617188
2025-05-28,170.5,,0.1818181818181818,170.18533325195312
2025-05-29,169.5,,0.0,169.44134521484375
2025-05-30,170.0,,-0.2222222222222222,169.43594360351562
2025-06-02,175.0,,0.0,173.7222137451172
2025-06-03,174.5,,0.0,173.64981079101562
2025-06-04,174.25,,-0.25,174.489013671875
2025-06-05,175.0,,0.0,175.39517211914062
2025-06-06,173.0,,0.0,174.04220581054688
2025-06-09,172.0,,0.0,172.88211059570312
2025-06-11,172.0,,0.0,173.55015563964844
2025-06-12,172.0,,0.0,173.35528564453125
2025-06-13,170.0,,-0.6,171.13092041015625
2025-06-16,172.25,,0.0,171.70140075683594
2025-06-17,172.25,,0.3333333333333333,172.92259216308594
2025-06-18,170.0,,-0.125,171.3037109375
2025-06-19,166.5,,-0.1666666666666667,166.43675231933594
2025-06-20,168.0,,0.1666666666666667,168.32369995117188
2025-06-23,169.0,,0.1111111111111111,168.45877075195312
2025-06-24,170.0,,0.25,169.33531188964844
2025-06-25,181.5,,0.0,179.63072204589844
2025-06-26,185.75,,0.3333333333333333,184.0922088623047
2025-06-27,185.25,,0.0,184.81427001953125
2025-06-30,190.0,,0.2,189.2147216796875
2025-07-01,215.5,,0.25,199.8690948486328
2025-07-02,217.5,,0.2222222222222222,213.52798461914062
2025-07-03,209.75,,0.4,211.92935180664062
2025-07-04,207.75,,-0.1,209.6355743408203
2025-07-07,211.0,,0.0,210.2707061767578
2025-07-08,218.75,,-0.2857142857142857,212.23728942871094
2025-07-09,230.25,,0.0,225.30569458007812
