feature,importance
price_ma_5,0.36299318
cumulative_sentiment,0.29325664
price_lag_1,0.18107086
price_lag_2,0.09052062
price_lag_3,0.040094342
price_lag_5,0.01660125
price_return_5,0.0034203182
price_return_1,0.0028284146
price_ma_50,0.0013491242
sentiment_ma_10,0.0010281873
