feature,importance
price_ma_5,0.5044789
price_lag_1,0.30500358
price_lag_2,0.13237783
price_return_5,0.013691114
price_return_1,0.013396299
price_ma_20,0.01029061
price_std_5,0.0043560555
price_lag_5,0.0022080957
price_lag_3,0.0021395942
price_ma_50,0.0020077932
