date,actual_price,sarimax_predicted,sentiment,xgboost_predicted
2025-02-14,41.7,,0.0,
2025-02-17,42.2,,0.2,
2025-02-18,40.2,,-0.2,
2025-02-19,39.5,,0.5,
2025-02-20,39.3,,0.5,
2025-02-21,39.3,,-0.3333333333333333,
2025-02-24,37.7,,0.5,
2025-02-25,36.7,,0.25,
2025-02-27,37.8,,0.0,
2025-02-28,38.5,,-0.2,
2025-03-03,38.5,,0.0,37.850704
2025-03-04,37.0,,0.0,37.081676
2025-03-05,37.0,,0.0,37.415215
2025-03-06,36.9,,0.5,37.050404
2025-03-07,36.9,,0.25,36.955597
2025-03-10,36.6,,0.5,36.60608
2025-03-11,36.6,,-0.2,36.88355
2025-03-12,36.6,,0.0,36.758648
2025-03-14,37.0,,0.2,37.142532
2025-03-17,35.6,,-0.3333333333333333,35.480938
2025-03-18,35.1,,0.1428571428571428,35.33734
2025-03-19,35.1,,0.25,35.031082
2025-03-20,35.2,,0.0,35.114857
2025-03-21,35.6,,-0.2,35.445496
2025-03-24,36.5,,0.4,36.52086
2025-03-25,35.6,,0.25,35.749523
2025-03-26,37.1,,0.1111111111111111,37.007713
2025-03-27,37.2,,0.0,36.94571
2025-03-28,37.2,,0.0,37.15314
2025-04-01,37.1,,0.0,36.9669
2025-04-02,37.0,,-0.1428571428571428,36.991047
2025-04-03,36.3,,-1.0,36.418247
2025-04-04,36.1,,-0.2857142857142857,36.386868
2025-04-07,34.0,,-0.25,34.86518
2025-04-08,34.0,,0.3333333333333333,34.742886
2025-04-09,33.4,,-0.4,33.254368
2025-04-10,36.0,,0.625,35.79382
2025-04-11,35.0,,0.1111111111111111,34.443275
2025-04-16,36.0,,0.0,35.89093
2025-04-17,36.5,,0.0,36.539764
2025-04-21,36.1,,0.25,36.271652
2025-04-22,36.0,,0.4285714285714285,36.05433
2025-04-23,35.1,,0.4,35.545395
2025-04-25,35.5,,0.4,35.553234
2025-04-28,35.8,,0.1666666666666667,35.824886
2025-04-29,36.0,,0.0,36.025627
2025-04-30,36.7,,0.125,36.607502
2025-05-02,36.1,,0.25,36.06849
2025-05-05,35.8,,0.0,35.94176
2025-05-06,36.0,,0.0,36.193974
2025-05-07,36.0,,0.0,36.148087
2025-05-08,36.3,,-0.25,36.322098
2025-05-09,36.3,,0.5,36.150295
2025-05-14,36.8,,0.3333333333333333,36.482185
2025-05-15,37.0,,0.3333333333333333,36.6714
2025-05-16,37.3,,-0.1666666666666667,37.281063
2025-05-19,39.0,,0.1666666666666667,38.486626
2025-05-20,38.7,,0.0,38.46747
2025-05-21,37.7,,0.4,37.493397
2025-05-22,37.7,,0.4,37.40806
2025-05-23,37.7,,-0.5,37.559414
2025-05-26,38.1,,0.8,37.49407
2025-05-27,40.3,,0.1,38.945263
2025-05-28,38.5,,0.1818181818181818,37.831528
2025-05-29,40.3,,0.2,41.275387
2025-05-30,41.4,,-0.1111111111111111,41.334846
2025-06-02,38.9,,0.0,39.21563
2025-06-03,39.1,,0.0,39.763195
2025-06-04,39.0,,-0.125,39.33711
2025-06-05,38.9,,0.1666666666666667,39.416195
2025-06-06,40.3,,0.0,39.698723
2025-06-09,40.3,,0.0,39.60214
2025-06-11,40.7,,0.0,40.142345
2025-06-12,40.0,,0.1666666666666667,40.137516
2025-06-13,40.9,,-0.6,40.913834
2025-06-16,39.1,,0.0,38.843136
2025-06-17,38.9,,0.3333333333333333,39.062786
2025-06-18,39.1,,-0.125,39.545727
2025-06-19,39.8,,-0.1666666666666667,39.42815
2025-06-20,39.8,,0.1666666666666667,39.050087
2025-06-23,39.1,,0.2222222222222222,38.914837
2025-06-24,41.4,,0.25,40.963276
2025-06-25,42.7,,0.0,42.13052
2025-06-26,42.7,,0.1666666666666667,42.006756
2025-06-27,41.2,,0.0,41.17057
2025-06-30,41.2,,0.2,42.088722
2025-07-01,41.2,,0.25,41.339592
2025-07-02,41.4,,0.2222222222222222,41.584328
2025-07-03,40.1,,0.4,39.71054
2025-07-04,41.0,,-0.1,40.725925
2025-07-07,40.7,,0.0,40.447475
2025-07-08,40.1,,-0.2857142857142857,40.18279
2025-07-09,41.4,,0.0,40.12266
2025-07-11,41.0,,0.2857142857142857,40.541183
2025-07-14,40.8,,0.1428571428571428,40.47958
2025-07-15,40.5,,0.2727272727272727,40.37411
2025-07-16,40.5,,0.3333333333333333,40.71138
2025-07-17,40.5,,0.2,40.541832
2025-07-18,40.3,,0.125,40.41921
2025-07-21,41.6,,0.7142857142857143,40.97388
2025-07-22,41.9,,0.125,41.157738
2025-07-23,41.4,,0.0,40.992584
2025-07-24,41.8,,0.2857142857142857,41.57687
2025-07-25,41.0,,0.5714285714285714,41.072384
2025-07-28,40.3,,0.5,40.603302
2025-07-29,41.5,,0.0,40.96852
2025-07-30,40.1,,0.25,40.148266
2025-07-31,40.7,,0.0,40.43326
2025-08-01,39.9,,0.2857142857142857,40.417442
2025-08-04,41.0,,0.2,40.750336
2025-08-05,40.9,,0.1428571428571428,40.462215
2025-08-06,40.8,,0.0,40.93608
2025-08-07,41.0,,0.7142857142857143,40.695126
2025-08-11,40.1,,0.0,40.259804
2025-08-12,40.1,,0.4285714285714285,39.924664
2025-08-13,41.0,,0.0,40.458546
2025-08-14,41.0,,0.0,40.716446
2025-08-15,41.1,,0.8,40.679447
2025-08-18,48.4,,0.1428571428571428,43.37769
2025-08-19,49.9,,0.3,43.06606
2025-08-20,47.0,,0.1666666666666667,42.379635
2025-08-21,47.3,,0.0,42.976254
2025-08-22,46.5,,0.125,42.25928
2025-08-25,47.5,"2025-08-25   NaN
2025-08-25   NaN
Name: predicted_mean, dtype: float64",0.25,"2025-08-25    42.395184
2025-08-25    41.805134
dtype: float32"
2025-08-25,47.5,"2025-08-25   NaN
2025-08-25   NaN
Name: predicted_mean, dtype: float64",0.25,"2025-08-25    42.395184
2025-08-25    41.805134
dtype: float32"
2025-08-26,49.4,,0.2,42.519436
2025-08-27,49.5,,0.1818181818181818,42.47985
2025-08-28,49.0,,0.0,42.248756
2025-08-29,49.0,,0.0,42.140984
2025-09-01,49.0,,0.0,42.181362
2025-09-02,49.6,,0.375,41.82511
2025-09-03,54.8,,0.25,42.07571
2025-09-04,53.6,,0.0,42.06024
2025-09-08,52.0,,0.0,42.129272
2025-09-09,50.6,,0.0,42.062202
2025-09-10,51.5,,0.0,42.07629
2025-09-11,52.9,,0.0,41.645157
2025-09-12,53.0,,0.0,42.05082
2025-09-15,53.8,,0.0,41.884624
2025-09-16,53.6,,0.0,42.2597
2025-09-17,53.9,,0.0,42.13185
2025-09-18,52.1,,0.0,41.7067
2025-09-19,52.5,,0.0,41.87113
2025-09-22,52.1,,0.0,41.948593
2025-09-23,53.1,,0.0,41.891808
2025-09-24,53.1,,0.0,41.903843
2025-09-25,53.4,,0.0,41.93043
2025-09-26,48.4,,0.0,40.078403
2025-09-29,48.0,,0.0,40.100296
2025-09-30,47.6,,0.0,39.7318
2025-10-01,49.2,,0.0,40.651115
2025-10-02,49.5,,0.0,40.95874
2025-10-03,50.0,,0.0,41.91754
2025-10-07,50.9,,0.0,42.1998
2025-10-08,50.2,,0.0,42.055977
2025-10-09,49.4,,0.0,41.825962
2025-10-10,49.4,,0.0,41.904633
2025-10-13,49.9,,0.0,41.833557
2025-10-14,49.8,,0.0,41.925938
2025-10-15,49.0,,0.0,41.837696
2025-10-16,50.0,,0.0,41.97934
2025-10-17,49.0,,0.0,41.7682
2025-10-21,50.5,,0.0,41.910053
