feature,importance
price_ma_5,0.52666414
price_lag_1,0.2772016
price_lag_2,0.15601969
price_return_1,0.005674647
price_return_5,0.0048294896
positive_sentiment,0.0040429058
sentiment_std_5,0.0029763696
price_ma_50,0.0029449144
cumulative_sentiment,0.0018306717
price_lag_20,0.001746817
