feature,importance
price_ma_5,0.41268095
price_lag_1,0.2993897
cumulative_sentiment,0.11399642
price_lag_2,0.09584737
sentiment_std_10,0.03063805
price_return_5,0.008025637
price_return_1,0.0054841605
price_std_20,0.0044436273
price_lag_7,0.004096196
price_lag_3,0.0035237207
