date,actual_price,sarimax_predicted,sentiment,xgboost_predicted
2025-05-22,21.8,20.312883929145304,0.6,
2025-05-23,23.2,20.315483347666024,-0.5,
2025-05-26,22.5,20.31145166959088,0.8,
2025-05-27,21.5,20.321150512830418,0.1,
2025-05-28,22.0,20.375442552439537,0.1818181818181818,
2025-05-29,20.4,20.327929560860145,0.2,
2025-05-30,20.0,20.326305579126963,-0.1111111111111111,
2025-06-02,19.1,20.308289121866164,0.0,
2025-06-03,20.5,20.30667979006772,0.0,
2025-06-04,20.0,20.314375336489004,-0.125,
2025-06-05,20.0,20.33592839886374,0.0,19.8282470703125
2025-06-06,19.9,20.32666472082894,0.0,19.92335319519043
2025-06-09,19.6,20.33064549123309,0.0,19.83969497680664
2025-06-11,19.1,20.32441918084507,0.0,19.68765640258789
2025-06-12,18.7,20.322400335105492,0.0,19.69324493408203
2025-06-13,18.7,20.34917818945849,-0.6,19.946802139282227
2025-06-16,18.7,20.355023182173905,0.0,19.923503875732422
2025-06-17,18.4,20.373170001922595,0.3333333333333333,20.016189575195312
2025-06-18,18.0,20.386168623909835,-0.125,19.737089157104492
2025-06-19,17.3,20.39632113576849,-0.1666666666666667,19.376445770263672
2025-06-20,18.2,20.37202079122585,0.1666666666666667,19.40920639038086
2025-06-23,17.8,20.38771645233945,0.2222222222222222,19.406862258911133
2025-06-24,18.7,20.393924068537284,0.25,19.583765029907227
2025-06-25,18.2,20.401236279185735,0.0,19.547739028930664
2025-06-26,18.4,20.39498974308177,0.1666666666666667,19.36409568786621
2025-06-27,18.6,20.386536236138085,0.0,19.752614974975586
2025-06-30,18.3,20.39003424763082,0.2,19.6788387298584
2025-07-01,18.3,20.393916474750238,0.25,19.673538208007812
2025-07-02,18.4,20.39759347187759,0.2222222222222222,19.771272659301758
2025-07-03,18.6,20.406658363564794,0.4,19.782243728637695
2025-07-04,18.5,20.418101311773505,-0.1,19.76840591430664
2025-07-07,18.1,20.405527529450204,0.0,19.60130500793457
2025-07-08,18.2,20.37450320334185,-0.2857142857142857,19.531768798828125
2025-07-09,18.3,20.37177509539093,0.0,19.47071075439453
