Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,22.1,22.2,21.8,22.1,117,145603,3204956.3
10/17/25,22.2,22.8,22,22.1,53,49020,1090832.7
10/16/25,22.5,22.5,22,22.1,56,33694,745181.6
10/15/25,22.4,22.4,21.9,22.1,114,170256,3768779.5
10/14/25,22.4,22.6,22.3,22.3,60,85939,1918451.2
10/13/25,22.8,22.8,22.1,22.4,64,49487,1109271.8
10/10/25,23,23,22.6,22.6,32,16402,373693
10/9/25,23,23,22.1,22.2,134,286410,6416637
10/8/25,22.5,23,22.4,23,85,66441,1521484.1
10/7/25,23.4,23.4,22.6,22.8,156,396748,9062913.4
10/3/25,23.6,23.6,23.1,23.3,90,45429,1064117.4
10/2/25,23.9,24,23.6,23.7,87,1311698,31462090.3
10/1/25,23.8,24.1,23.6,23.7,86,191377,4578302
9/30/25,24.1,24.3,23.7,23.8,220,334753,8025709.2
9/29/25,22.8,24,22.7,23.9,292,768762,18141148.4
9/26/25,22.5,23,22.5,22.8,68,151601,3440750
9/25/25,22.3,22.8,22.2,22.3,87,96297,2146640
9/24/25,22.3,22.9,22.2,22.5,51,85760,1943029.5
9/23/25,22.5,22.9,22.1,22.3,77,148104,3309048.8
9/22/25,22.5,23,22.5,22.5,41,49371,1121060.9
9/19/25,23.2,23.4,22.3,22.5,94,207167,4726654.8
9/18/25,23,23.9,22.5,23.3,128,572334,13346765.5
9/17/25,23.3,23.3,22.3,22.8,54,49820,1137672.6
9/16/25,22.3,23,21.9,22.6,89,505957,11335467.8
9/15/25,22,22.5,22,22.1,90,51434,1136093.1
9/12/25,22.6,22.6,22,22.2,39,29917,663494
9/11/25,23,23,22,22.2,76,189130,4196300.3
9/10/25,22.4,23.1,22,22.9,83,197384,4504093.1
9/9/25,22.9,23.4,22.4,22.8,128,430931,9973016.6
9/8/25,23.1,23.1,22,22.9,72,84551,1887584
9/4/25,23.3,23.6,23,23.1,43,30393,699919.9
9/3/25,23.1,23.5,23,23.1,63,110934,2554074.1
9/2/25,23.5,23.8,23.1,23.1,111,342056,8044289.6
9/1/25,23.5,23.6,23.3,23.4,120,350519,8201615.9
8/29/25,22.8,23.9,22.8,22.9,114,252210,5858068.1
8/28/25,22.8,22.8,22.5,22.7,64,166670,3756714.9
8/27/25,22.2,22.8,22.2,22.5,74,40454,910607.5
8/26/25,22.3,22.8,22.1,22.2,61,75367,1677288.3
8/25/25,22.6,22.6,22,22.3,100,94291,2107876.6
8/22/25,22.4,22.9,22.1,22.5,81,352697,7957765.9
8/21/25,22.1,23,21.8,22.5,137,408492,9049528.7
