date,actual_price,xgboost_predicted,sarimax_predicted,ensemble_predicted,sentiment,was_split
2025-01-23,10.0,10.092921257019043,9.984235162624511,10.071441387023967,0.1666666666666667,False
2025-01-24,10.0,10.091243743896484,9.983959190199371,10.070040863447689,0.0,False
2025-01-27,9.9,10.087799072265625,9.983683225402336,10.067222430262715,0.8333333333333334,False
2025-01-28,10.1,10.011415481567383,9.983407268233194,10.005880157250468,0.125,False
2025-01-29,10.1,9.797571182250977,9.983131318691733,9.834243836919637,-0.125,False
2025-01-30,10.1,9.628973007202148,9.982855376777742,9.698911552094932,0.75,False
2025-01-31,10.1,9.553919792175293,9.982579442491012,9.638636734229472,0.0,False
2025-02-03,10.0,9.525256156921387,9.982303515831331,9.615583423768806,0.2857142857142857,False
2025-02-05,9.6,8.951483726501465,9.982027596798488,9.155152360299724,0.125,False
2025-02-06,9.6,9.283016204833984,9.981751685392274,9.421108822541429,0.0,False
2025-02-07,9.5,9.601612091064453,9.981475781612476,9.676685381113893,0.2222222222222222,False
2025-02-10,9.4,9.86440658569336,9.981199885458885,9.887488700376336,-0.2857142857142857,False
2025-02-11,9.1,10.001824378967285,9.980923996931288,9.997693790859566,0.0,False
2025-02-13,9.5,9.923114776611328,9.980648116029476,9.934485216021898,0.1666666666666667,False
2025-02-14,9.6,9.70095443725586,9.980372242753239,9.75617638786351,0.0,False
2025-02-17,9.7,9.630122184753418,9.980096377102363,9.699288348053011,0.2,False
2025-02-18,10.0,9.476884841918945,9.979820519076641,9.57628111723286,-0.2,False
2025-02-19,9.9,9.11792278289795,9.97954466867586,9.288206996297315,0.5,False
2025-02-20,9.7,8.886686325073242,9.97926882589981,9.102615788795244,0.5,False
2025-02-21,9.5,8.855485916137695,9.97899299074828,9.077527070855995,-0.3333333333333333,False
2025-02-24,9.3,8.736552238464355,9.978717163221058,8.982044003025914,0.5,False
2025-02-25,9.2,8.32209587097168,9.978441343317934,8.649443040921334,0.25,False
2025-02-27,9.1,8.815093040466309,9.978165531038698,9.044953594675363,0.1666666666666667,False
2025-02-28,9.0,8.565200805664062,9.97788972638314,8.844393599641737,-0.2,False
2025-03-03,8.8,8.832324028015137,9.977613929351048,9.05867017031066,0.0,False
2025-03-04,8.5,8.541952133178711,9.97733813994221,8.825630601797812,0.0,False
2025-03-05,9.0,8.485017776489258,9.977062358156418,8.779893802899139,0.0,False
2025-03-06,8.8,8.605405807495117,9.97678658399346,8.876434782793481,0.5,False
2025-03-07,9.1,8.701717376708984,9.976510817453127,8.953657586082613,0.25,False
2025-03-10,8.8,8.593700408935547,9.976235058535206,8.866933748513377,0.5,False
2025-03-11,8.7,8.426154136657715,9.975959307239487,8.732445514292023,-0.2,False
2025-03-12,8.9,8.34688663482666,9.975683563565758,8.668789325990579,0.0,False
2025-03-14,9.0,8.615738868713379,9.97540782751381,8.884453211924184,0.2,False
2025-03-17,8.9,8.608031272888184,9.975132099083432,8.878214392269028,-0.3333333333333333,False
2025-03-18,8.6,8.683032035827637,9.974856378274414,8.938338099467254,0.1428571428571428,False
2025-03-19,8.5,8.660290718078613,9.974580665086544,8.920036708169011,0.25,False
2025-03-20,8.8,8.847254753112793,9.974304959519612,9.069996144699319,0.0,False
2025-03-21,9.0,9.018759727478027,9.974029261573408,9.207551729959427,-0.2,False
2025-03-24,9.0,8.821791648864746,9.97375357124772,9.049456397238568,0.4,False
2025-03-25,9.0,8.976568222045898,9.973477888542337,9.173589654755103,0.25,False
2025-03-26,9.0,9.186820030212402,9.973202213457052,9.342234457022363,0.1111111111111111,False
2025-03-27,9.2,8.845952987670898,9.972926545991651,9.068679231128923,0.0,False
2025-03-28,9.0,8.70970344543457,9.972650886145924,8.959302503973003,0.0,False
2025-04-01,9.2,8.382074356079102,9.97237523391966,8.69636898870314,0.0,False
2025-04-02,9.3,8.34188461303711,9.97209958931265,8.664067556029924,-0.1428571428571428,False
2025-04-03,9.0,8.440244674682617,9.971823952324682,8.742934029325209,-1.0,False
2025-04-04,8.8,9.0579833984375,9.971548322955545,9.238533227926052,-0.2857142857142857,False
2025-04-07,8.0,8.785715103149414,9.971272701205029,9.020019438214295,-0.25,False
2025-04-08,8.4,8.867623329162598,9.970997087072924,9.085685492569263,0.3333333333333333,False
2025-04-09,8.5,8.870170593261719,9.97072148055902,9.087674866589452,-0.4,False
2025-04-10,9.0,8.799872398376465,9.970445881663105,9.031215390143274,0.375,False
2025-04-11,8.9,8.917423248291016,9.970170290384969,9.125479943380217,0.1111111111111111,False
