date,actual_price,xgboost_predicted,sarimax_predicted,ensemble_predicted,sentiment,was_split
2025-01-23,60.0,60.45857238769531,58.34167725027162,59.766503329155384,0.1666666666666667,False
2025-01-24,60.1,59.538394927978516,58.352949302373226,59.15084137203744,0.0,False
2025-01-27,60.0,58.19080352783203,58.36422353232032,58.24749911804642,0.8333333333333334,False
2025-01-28,61.1,58.1745491027832,58.37549994053368,58.2402452511829,0.125,False
2025-01-29,62.2,57.6473503112793,58.38677852743416,57.88908896916811,-0.125,False
2025-01-30,61.2,55.560367584228516,58.3980592934427,56.488084122900574,0.75,False
2025-01-31,59.9,57.10200500488281,58.40934223898032,57.52940815433554,0.0,False
2025-02-03,59.0,58.00899887084961,58.420627364468125,58.14357112197844,0.2857142857142857,False
2025-02-05,55.6,56.488853454589844,58.431914670327295,57.12409160242622,0.25,False
2025-02-06,57.8,55.902103424072266,58.44320415697909,56.73285652127963,-0.2,False
2025-02-07,58.8,57.0900993347168,58.45449582484487,57.5361566654296,0.2222222222222222,False
2025-02-10,57.6,59.76691818237305,58.46578967434605,59.34154482982919,-0.2857142857142857,False
2025-02-11,56.1,59.499359130859375,58.47708570590414,59.165150886779706,0.0,False
2025-02-13,56.5,59.575599670410156,58.48838391994072,59.22016006097684,0.1666666666666667,False
2025-02-14,58.6,58.81235885620117,58.499684316877484,58.710137272224884,0.0,False
2025-02-17,62.1,58.64909744262695,58.51098689713616,58.60394544926531,0.2,False
2025-02-18,60.9,57.71049880981445,58.5222916611386,57.975895382565376,-0.2,False
2025-02-19,60.5,56.46379852294922,58.533598609306715,57.140470962602805,0.5,False
2025-02-20,59.8,56.966854095458984,58.5449077420625,57.48276160652235,0.5,False
2025-02-21,59.9,57.08234405517578,58.55621905982804,57.56419281038461,-0.3333333333333333,False
2025-02-24,58.0,56.42949295043945,58.56753256302549,57.128474697643185,0.5,False
2025-02-25,57.1,54.98572540283203,58.57884825207709,56.16041237883486,0.25,False
2025-02-27,58.0,54.53543472290039,58.59016612740516,55.861033755246915,0.0,False
2025-02-28,58.0,56.534488677978516,58.60148618943212,57.21024488170669,-0.2,False
2025-03-03,55.7,56.28240203857422,58.61280843858045,57.04427358088904,0.0,False
2025-03-04,54.5,55.836612701416016,58.624132875272714,56.7479268370467,0.0,False
2025-03-05,57.0,54.918617248535156,58.635459499931564,56.13375137218188,0.0,False
2025-03-06,56.4,54.18435287475586,58.64678831297973,55.64324114840241,0.25,False
2025-03-07,56.3,55.34653091430664,58.65811931484003,56.429176826289854,0.25,False
2025-03-10,55.6,53.56365966796875,58.669452505935354,55.23287850644739,0.5,False
2025-03-11,54.0,53.199371337890625,58.680787886688684,54.99139151089204,-0.2,False
2025-03-12,55.7,53.39820098876953,58.692125457523076,55.12892503754345,0.0,False
2025-03-14,55.4,54.420780181884766,58.703465218861666,55.820903291039244,0.2,False
2025-03-17,54.2,55.38187789916992,58.71480717112768,56.47150070695396,-0.3333333333333333,False
2025-03-18,53.5,56.7888069152832,58.72615131474442,57.42217608454422,0.2857142857142857,False
2025-03-19,53.1,55.94477081298828,58.737497650135275,56.85778714467853,0.25,False
2025-03-20,55.0,54.5676155090332,58.74884617772371,55.93457049951073,0.1666666666666667,False
2025-03-21,56.9,54.050872802734375,58.76019689793328,55.59047551394387,-0.2,False
2025-03-24,56.9,53.45552062988281,58.771549811187604,55.19347129434223,0.4,False
2025-03-25,55.2,55.41155242919922,58.7829049179104,56.513736803673325,0.25,False
2025-03-26,54.9,57.66792297363281,58.79426221852547,58.036153089064086,0.1111111111111111,False
2025-03-27,55.0,56.326507568359375,58.805621713456674,57.136995609112574,0.0,False
2025-03-28,55.0,53.4832649230957,58.816983403127985,55.22699868757748,0.3333333333333333,False
2025-04-01,57.0,51.94533157348633,58.82834728796344,54.19557161666155,0.0,False
2025-04-02,57.1,49.557289123535156,58.83971336838716,52.591959332056305,-0.1428571428571428,False
2025-04-03,53.0,50.275169372558594,58.851081644823346,53.07886211456682,-1.0,False
2025-04-04,51.8,48.48760223388672,58.86245211769629,51.8794153023033,-0.2857142857142857,False
2025-04-07,47.4,50.23284149169922,58.87382478743036,53.057807673828535,-0.25,False
2025-04-08,49.0,50.077274322509766,58.88519965445,52.956818275539234,0.4166666666666667,False
2025-04-09,46.7,50.526180267333984,58.89657671917975,53.262684447264675,-0.3,False
2025-04-10,50.7,49.619728088378906,58.907955982044214,52.656295663330404,0.375,False
2025-04-11,49.7,50.6039924621582,58.9193374434681,53.32249885905682,0.1111111111111111,False
2025-04-16,49.3,50.471893310546875,58.93072110387618,53.23730803694913,0.0,False
2025-04-17,49.5,50.04959487915039,58.94210696369331,52.95679248077293,0.0,False
2025-04-21,48.1,50.66521072387695,58.953495023344445,53.37487026753516,0.25,False
2025-04-22,48.6,50.714378356933594,58.964885283254596,53.41168747727351,0.1428571428571428,False
2025-04-23,48.6,52.92937469482422,58.976277743848875,54.90626737421967,0.4,False
2025-04-24,50.4,52.82442092895508,58.98767240555247,54.839350989281385,0.0,False
2025-04-25,52.2,53.62083435058594,58.99906926879066,55.37912171713845,0.4,False
2025-04-28,53.0,53.48050308227539,59.01046833398879,55.28839511143349,0.0,False
2025-04-29,53.8,54.01620101928711,59.0218696015723,55.6526865881099,0.0,False
2025-04-30,53.7,52.94926071166992,59.0332730719667,54.938285407272105,0.125,False
2025-05-02,53.2,52.652347564697266,59.044678745597594,54.742169844522216,0.25,False
2025-05-05,53.1,52.58353805541992,59.05608662289066,54.699585522416825,0.0,False
2025-05-06,53.5,53.591468811035156,59.06749670427167,55.38172728988586,0.0,False
2025-05-07,52.8,52.31865692138672,59.07890899016646,54.5287622790035,0.0,False
2025-05-08,52.6,51.69143295288086,59.09032348100097,54.11032612879316,-0.25,False
2025-05-09,52.5,51.31143569946289,59.10174017720121,53.858292456954075,0.5,False
2025-05-14,53.3,51.23629379272461,59.11315907919327,53.811449570013906,0.3333333333333333,False
2025-05-15,52.1,51.155094146728516,59.12458018740332,53.76053010040987,0.3333333333333333,False
2025-05-16,51.3,51.215370178222656,59.13600350225762,53.804834885613005,-0.1666666666666667,False
2025-05-19,51.1,51.1291618347168,59.14742902418252,53.750545637264835,0.1666666666666667,False
2025-05-20,51.3,51.209556579589844,59.15885675360443,53.808393239102884,0.0,False
2025-05-21,50.8,51.06291961669922,59.170286690949865,53.713432530221624,0.4,False
2025-05-22,51.0,52.031585693359375,59.18171883664541,54.369153495102935,0.4,False
2025-05-23,50.7,53.27843475341797,59.19315319111773,55.21211278420101,-0.5,False
2025-05-26,50.7,53.22337341308594,59.20458975479358,55.17879136901124,0.8,False
2025-05-27,50.5,53.75239181518555,59.2160285280998,55.53859928917152,0.1,False
2025-05-28,52.9,53.6727294921875,59.2274695114633,55.48872104869551,0.1818181818181818,False
2025-05-29,53.0,54.694847106933594,59.23891270531108,56.18042244083516,0.2,False
2025-05-30,52.4,55.49155807495117,59.25035811007022,56.7204093087967,-0.1111111111111111,False
2025-06-02,53.8,57.6633186340332,59.2618057261679,58.18590637935168,0.0,False
2025-06-03,54.1,57.74481964111328,59.27325555403135,58.24450580156201,0.0,False
2025-06-04,55.1,57.18513107299805,59.284707594087905,57.871538217402744,-0.125,False
2025-06-05,57.8,55.76518630981445,59.29616184676498,56.9195556842743,0.1666666666666667,False
2025-06-06,57.5,54.85526657104492,59.30761831249007,56.31085821728047,0.0,False
2025-06-09,57.1,53.68693923950195,59.31907699169075,55.52823416375987,0.0,False
2025-06-11,56.1,53.04280471801758,59.33053788479468,55.098431138123416,0.0,False
2025-06-12,56.0,52.88819885253906,59.34200099222961,54.998117616042116,0.0,False
2025-06-13,55.1,52.460811614990234,59.35346631442336,54.71420289750928,-0.6,False
2025-06-16,55.0,52.26137161254883,59.36493385180383,54.58371415294697,0.0,False
2025-06-17,53.9,52.089149475097656,59.37640360479903,54.471545757145634,0.5,False
2025-06-18,52.6,53.188716888427734,59.387875573837015,55.21538596584465,-0.125,False
2025-06-19,51.1,55.5589714050293,59.39934975934595,56.81449275094899,0.0,False
2025-06-20,52.4,59.03289031982422,59.41082616175407,59.15644755120943,0.1666666666666667,False
2025-06-23,51.0,59.59520721435547,59.42230478148971,59.53868083200556,0.0,False
2025-06-24,55.1,59.30644989013672,59.433785618981254,59.34807931070745,0.25,False
2025-06-25,59.2,59.4881591796875,59.4452686746572,59.47413713820237,0.125,False
2025-06-26,59.9,59.80626678466797,59.456753948946115,59.692001786421514,0.1666666666666667,False
2025-06-27,60.1,59.133567810058594,59.46824144227665,59.242981479858585,0.0,False
2025-06-30,60.1,59.58333969116211,59.479731155077545,59.549467318007146,0.2,False
2025-07-01,59.6,58.14378356933594,59.49122308777762,58.58429721712216,0.25,False
2025-07-02,60.9,59.46635055541992,59.50271724080577,59.47823978756575,0.2222222222222222,False
2025-07-03,60.0,58.78162384033203,59.514213614590986,59.021126830538904,0.8,False
2025-07-04,60.9,59.48139190673828,59.52571220956233,59.49588138697157,-0.1,False
2025-07-07,59.2,58.746795654296875,59.537213026148954,59.005204016960036,0.0,False
2025-07-08,60.0,59.37900924682617,59.54871606478009,59.43449089806758,-0.2857142857142857,False
2025-07-09,59.9,58.36982345581055,59.56022132588505,58.75899603156365,0.0,False
2025-07-11,61.0,58.09790802001953,59.571728809893244,58.579739050982084,0.2857142857142857,False
2025-07-14,60.2,59.06117630004883,59.58323851723414,59.231852258795854,0.1428571428571428,False
2025-07-15,60.0,59.16668701171875,59.594750448337315,59.30663228077753,0.2727272727272727,False
2025-07-16,59.4,59.19529342651367,59.60626460363241,59.32965078347834,0.1111111111111111,False
2025-07-17,59.0,59.332763671875,59.61778098354915,59.42594337599486,0.2,False
2025-07-18,60.8,59.397037506103516,59.62929958851736,59.47297012925003,0.125,False
2025-07-21,60.3,59.758663177490234,59.64082041896693,59.72013726021394,0.7142857142857143,False
2025-07-22,60.0,59.2048454284668,59.65234347532785,59.3511443860838,0.125,False
2025-07-23,60.0,59.280635833740234,59.66386875803016,59.40592482157248,0.2,False
2025-07-24,60.2,59.332763671875,59.675396267504034,59.444779337502474,0.2857142857142857,False
2025-07-25,61.4,59.36714553833008,59.68692600417968,59.47169023779466,0.5714285714285714,False
2025-07-28,60.5,60.25385284423828,59.698457968487425,60.07227955702927,0.5,False
2025-07-29,60.7,59.79518508911133,59.70999216085765,59.76733326565136,0.0,False
2025-07-30,60.7,59.674991607666016,59.72152858172085,59.69020577640402,0.25,False
2025-07-31,61.0,58.828392028808594,59.73306723150757,59.124154300990995,0.0,False
2025-08-01,63.9,58.79230880737305,59.74460811064846,59.10364065873161,0.2857142857142857,False
2025-08-04,63.1,58.016082763671875,59.75615121957425,58.58495720472567,0.2,False
2025-08-05,62.8,58.017330169677734,59.767696558715755,58.589571277678836,0.1428571428571428,False
2025-08-06,62.0,57.97429656982422,59.77924412850386,58.56438170704533,-0.2,False
2025-08-07,61.8,57.92898178100586,59.790793929369556,58.5376574579052,0.7142857142857143,False
2025-08-11,60.9,58.078617095947266,59.802345961743896,58.64214969245642,0.0,False
2025-08-12,60.0,58.70124816894531,59.813900226058024,59.06500358036624,0.2857142857142857,False
2025-08-13,59.3,58.094486236572266,59.82545672274317,58.66038631048081,-0.1428571428571428,False
2025-08-14,59.0,59.1956672668457,59.83701545223064,59.40534096631663,0.0,False
