date,actual_price,xgboost_predicted,sarimax_predicted,ensemble_predicted,sentiment,was_split,split_ratio
2025-01-23,916.25,823.1654052734375,922.5019491602818,874.5314598900188,0.0,True,5
2025-01-24,911.25,814.96728515625,922.5019491602818,870.5725157016057,-0.1666666666666667,True,5
2025-01-27,918.75,814.961669921875,922.5019491602818,870.5698040556213,0.3333333333333333,True,5
2025-01-28,903.75,812.7974853515625,922.5019491602818,869.524700323934,0.125,True,5
2025-01-29,896.25,812.109130859375,922.5019491602818,869.1922878955409,0.0,True,5
2025-01-30,883.75,801.3350219726562,922.5019491602818,863.9893761117795,0.75,True,5
2025-01-31,895.0,800.7138671875,922.5019491602818,863.6894150119606,0.0,True,5
2025-02-03,883.75,793.7536010742188,922.5019491602818,860.3282413910455,0.1428571428571428,True,5
2025-02-05,867.5,785.36279296875,922.5019491602818,856.276246481189,0.0,True,5
2025-02-06,865.0,770.9741821289062,922.5019491602818,849.327859967028,0.2,True,5
2025-02-07,865.0,775.3661499023438,922.5019491602818,851.448779768617,0.0,True,5
2025-02-10,867.5,779.0711059570312,922.5019491602818,853.237935578896,0.2857142857142857,True,5
2025-02-11,850.0,788.2272338867188,922.5019491602818,857.6595101517798,0.0,True,5
2025-02-13,848.75,776.0366821289062,922.5019491602818,851.772585668451,0.1666666666666667,True,5
2025-02-14,857.5,774.2254028320312,922.5019491602818,850.8979029920015,0.0,True,5
2025-02-17,865.0,773.2322387695312,922.5019491602818,850.4182953457155,0.0,True,5
2025-02-18,850.0,776.68408203125,922.5019491602818,852.0852207658058,-0.2,True,5
2025-02-19,850.0,777.671875,922.5019491602818,852.562234663759,0.0,True,5
2025-02-20,846.25,774.2200317382812,922.5019491602818,850.8953092436686,0.6666666666666666,True,5
2025-02-21,855.0,773.2322387695312,922.5019491602818,850.4182953457155,-0.3333333333333333,True,5
2025-02-24,855.0,773.2322387695312,922.5019491602818,850.4182953457155,0.75,True,5
2025-02-25,842.5,772.3219604492188,922.5019491602818,849.9787139521122,0.125,True,5
2025-02-27,840.0,772.3219604492188,922.5019491602818,849.9787139521122,0.0,True,5
2025-02-28,847.5,771.4270629882812,922.5019491602818,849.5465601105533,-0.2,True,5
2025-03-03,846.25,771.2939453125,922.5019491602818,849.482276416075,0.1666666666666667,True,5
2025-03-04,840.0,772.4202270507812,922.5019491602818,850.0261677568394,0.0,True,5
2025-03-05,836.25,770.0476684570312,922.5019491602818,848.8804383796003,0.0,True,5
2025-03-06,830.0,770.0476684570312,922.5019491602818,848.8804383796003,0.25,True,5
2025-03-07,848.75,771.4270629882812,922.5019491602818,849.5465601105533,0.375,True,5
2025-03-10,833.75,770.0476684570312,922.5019491602818,848.8804383796003,0.5,True,5
2025-03-11,833.75,763.0621948242188,922.5019491602818,845.5070918261683,-0.2,True,5
2025-03-12,840.0,756.21435546875,922.5019491602818,842.2002100737673,0.0,True,5
2025-03-14,827.5,753.9640502929688,922.5019491602818,841.1135179455148,0.2,True,5
2025-03-17,835.0,753.9640502929688,922.5019491602818,841.1135179455148,-0.3333333333333333,True,5
2025-03-18,812.5,758.4180297851562,922.5019491602818,843.2643837505839,0.2857142857142857,True,5
2025-03-19,808.75,760.1522827148438,922.5019491602818,844.1018697179863,0.25,True,5
2025-03-20,811.25,760.8394775390625,922.5019491602818,844.433722132535,0.0,True,5
2025-03-21,817.5,759.958740234375,922.5019491602818,844.0084063547629,0.0,True,5
2025-03-24,822.5,756.3555297851562,922.5019491602818,842.2683843907448,0.0,True,5
2025-03-25,822.5,761.142333984375,922.5019491602818,844.5799741692158,0.0,True,5
2025-03-26,820.0,761.8295288085938,922.5019491602818,844.9118265837645,0.0,True,5
2025-03-27,813.75,761.8295288085938,922.5019491602818,844.9118265837645,0.0,True,5
2025-03-28,823.75,761.8295288085938,922.5019491602818,844.9118265837645,0.0,True,5
2025-04-01,825.0,757.8589477539062,922.5019491602818,842.9943981286577,0.0,True,5
2025-04-02,826.25,753.9640502929688,922.5019491602818,841.1135179455148,0.2857142857142857,True,5
2025-04-03,822.5,753.9640502929688,922.5019491602818,841.1135179455148,0.0,True,5
2025-04-04,817.5,750.5835571289062,922.5019491602818,839.4810481140742,-0.2857142857142857,True,5
2025-04-07,808.75,751.438720703125,922.5019491602818,839.8940141128521,-0.25,True,5
2025-04-08,807.5,755.924560546875,922.5019491602818,842.0602655614414,0.25,True,5
2025-04-09,811.25,759.297119140625,922.5019491602818,843.6889037192084,0.1,True,5
2025-04-10,812.5,755.1842651367188,922.5019491602818,841.7027704076922,-0.375,True,5
2025-04-11,815.0,760.2871704101562,922.5019491602818,844.167008170438,0.5555555555555556,True,5
2025-04-16,825.0,760.974365234375,922.5019491602818,844.4988605849866,0.25,True,5
2025-04-17,816.25,753.7960815429688,922.5019491602818,841.0324043612854,0.3333333333333333,True,5
2025-04-21,825.0,760.2615966796875,922.5019491602818,844.1546583914437,0.25,True,5
2025-04-22,825.0,760.8394775390625,922.5019491602818,844.433722132535,0.5714285714285714,True,5
2025-04-23,810.0,754.6512451171875,922.5019491602818,841.4453703600634,0.4,True,5
2025-04-24,820.0,753.9640502929688,922.5019491602818,841.1135179455148,0.25,True,5
2025-04-25,825.0,753.9640502929688,922.5019491602818,841.1135179455148,0.4,True,5
2025-04-28,812.5,761.3985595703125,922.5019491602818,844.703707754461,0.0,True,5
2025-04-29,811.25,760.8394775390625,922.5019491602818,844.433722132535,0.0,True,5
2025-04-30,811.25,763.0758056640625,922.5019491602818,845.5136646202392,0.125,True,5
2025-05-02,822.5,761.8295288085938,922.5019491602818,844.9118265837645,0.25,True,5
2025-05-05,825.0,757.601806640625,922.5019491602818,842.8702224272195,0.0,True,5
2025-05-06,823.75,771.6713256835938,922.5019491602818,849.6645167108752,0.0,True,5
2025-05-07,832.5,774.892578125,922.5019491602818,851.2200877991274,0.0,True,5
2025-05-08,815.0,778.0079345703125,922.5019491602818,852.7245207810433,-0.25,True,5
2025-05-09,837.5,775.2131958007812,922.5019491602818,851.3749168899546,0.5,True,5
2025-05-14,857.5,776.68408203125,922.5019491602818,852.0852207658058,0.3333333333333333,True,5
2025-05-15,852.5,777.671875,922.5019491602818,852.562234663759,0.3333333333333333,True,5
2025-05-16,850.0,774.2200317382812,922.5019491602818,850.8953092436686,-0.1666666666666667,True,5
2025-05-19,852.5,773.2322387695312,922.5019491602818,850.4182953457155,0.1666666666666667,True,5
2025-05-20,855.0,773.2322387695312,922.5019491602818,850.4182953457155,0.0,True,5
2025-05-21,841.25,776.68408203125,922.5019491602818,852.0852207658058,0.4,True,5
2025-05-22,842.5,775.2131958007812,922.5019491602818,851.3749168899546,0.4,True,5
2025-05-23,847.5,776.68408203125,922.5019491602818,852.0852207658058,-0.5,True,5
2025-05-26,853.75,774.2200317382812,922.5019491602818,850.8953092436686,0.8,True,5
2025-05-27,850.0,775.4716796875,922.5019491602818,851.4997410284763,0.1,True,5
2025-05-28,852.5,792.1915283203125,922.5019491602818,859.5739027423606,0.1818181818181818,True,5
2025-05-29,847.5,793.8165893554688,922.5019491602818,860.3586589851315,0.0,True,5
2025-05-30,850.0,791.9491577148438,922.5019491602818,859.4568598488379,-0.2222222222222222,True,5
2025-06-02,875.0,795.7786254882812,922.5019491602818,861.3061434613799,0.0,True,5
2025-06-03,872.5,792.5703125,922.5019491602818,859.7568209486568,0.0,True,5
2025-06-04,871.25,788.8217163085938,922.5019491602818,857.9465909331728,-0.25,True,5
2025-06-05,875.0,787.9982299804688,922.5019491602818,857.5489221546766,0.0,True,5
2025-06-06,865.0,787.9982299804688,922.5019491602818,857.5489221546766,0.0,True,5
2025-06-09,860.0,775.2131958007812,922.5019491602818,851.3749168899546,0.0,True,5
2025-06-11,860.0,787.2394409179688,922.5019491602818,857.1824962538267,0.0,True,5
2025-06-12,860.0,789.0507202148438,922.5019491602818,858.0571789302762,0.0,True,5
2025-06-13,850.0,776.0366821289062,922.5019491602818,851.772585668451,-0.6,True,5
2025-06-16,861.25,771.8528442382812,922.5019491602818,849.7521736147625,0.0,True,5
2025-06-17,861.25,773.2322387695312,922.5019491602818,850.4182953457155,0.3333333333333333,True,5
2025-06-18,850.0,772.9959106445312,922.5019491602818,850.3041704190672,-0.125,True,5
2025-06-19,832.5,778.0250854492188,922.5019491602818,852.732803091061,-0.1666666666666667,True,5
2025-06-20,840.0,805.0344848632812,922.5019491602818,865.7758792248999,0.1666666666666667,True,5
2025-06-23,845.0,829.9611206054688,922.5019491602818,877.8131704938255,0.1111111111111111,True,5
2025-06-24,850.0,834.6141357421875,922.5019491602818,880.0601523592767,0.25,True,5
2025-06-25,907.5,851.2568359375,922.5019491602818,888.0970584152883,0.0,True,5
2025-06-26,928.75,865.8615112304688,922.5019491602818,895.1497843510233,0.3333333333333333,True,5
2025-06-27,926.25,872.5277099609375,922.5019491602818,898.3689502507114,0.0,True,5
2025-06-30,950.0,876.0297241210938,922.5019491602818,900.0601036381843,0.2,True,5
2025-07-01,1077.5,876.0297241210938,922.5019491602818,900.0601036381843,0.25,True,5
2025-07-02,1087.5,876.0297241210938,922.5019491602818,900.0601036381843,0.2222222222222222,True,5
2025-07-03,1048.75,876.0297241210938,922.5019491602818,900.0601036381843,0.4,True,5
2025-07-04,1038.75,876.0297241210938,922.5019491602818,900.0601036381843,-0.1,True,5
2025-07-07,1055.0,876.0297241210938,922.5019491602818,900.0601036381843,0.0,True,5
2025-07-08,1093.75,876.0297241210938,922.5019491602818,900.0601036381843,-0.2857142857142857,True,5
2025-07-09,1151.25,876.0297241210938,922.5019491602818,900.0601036381843,0.0,True,5
2025-07-11,1238.75,875.3469848632812,922.5019491602818,899.7304028557753,0.2857142857142857,True,5
2025-07-14,1270.0,875.3469848632812,922.5019491602818,899.7304028557753,0.1428571428571428,True,5
2025-07-15,1226.25,876.0297241210938,922.5019491602818,900.0601036381843,0.2727272727272727,True,5
2025-07-16,1220.0,876.0297241210938,922.5019491602818,900.0601036381843,0.1111111111111111,True,5
2025-07-17,1182.5,876.0297241210938,922.5019491602818,900.0601036381843,0.4,True,5
2025-07-18,1176.25,876.0297241210938,922.5019491602818,900.0601036381843,0.125,True,5
2025-07-21,1200.0,876.0297241210938,922.5019491602818,900.0601036381843,0.7142857142857143,True,5
2025-07-22,1190.0,876.0297241210938,922.5019491602818,900.0601036381843,0.25,True,5
2025-07-23,1242.5,876.0297241210938,922.5019491602818,900.0601036381843,0.2,True,5
2025-07-24,1248.75,876.0297241210938,922.5019491602818,900.0601036381843,0.2857142857142857,True,5
2025-07-25,1223.75,875.3469848632812,922.5019491602818,899.7304028557753,0.7142857142857143,True,5
