date,actual_price,xgboost_predicted,sarimax_predicted,ensemble_predicted,sentiment,was_split,split_ratio
2025-01-17,145.0,125.49162292480469,144.16399457923805,137.75813768626764,0.5,True,5
2025-01-20,149.5,125.74217987060547,144.16399457923805,137.84409526937725,0.0,True,5
2025-01-21,148.75,125.00252532958984,144.16399457923805,137.59034490345323,-0.1428571428571428,True,5
2025-01-22,146.0,127.37348937988281,144.16399457923805,138.40374218825656,0.0,True,5
2025-01-23,146.0,126.8487319946289,144.16399457923805,138.2237157419284,0.1666666666666667,True,5
2025-01-24,148.25,126.45110321044922,144.16399457923805,138.0873028033301,0.0,True,5
2025-01-27,150.25,124.90658569335938,144.16399457923805,137.55743127087192,0.8333333333333334,True,5
2025-01-28,152.75,124.25284576416016,144.16399457923805,137.3331552919458,0.125,True,5
2025-01-29,156.75,121.60691833496094,144.16399457923805,136.42542740529507,-0.125,True,5
2025-01-30,155.75,119.64297485351562,144.16399457923805,135.75166506161153,0.75,True,5
2025-01-31,154.25,118.06147766113281,144.16399457923805,135.20910705781165,0.0,True,5
2025-02-03,154.0,118.06147766113281,144.16399457923805,135.20910705781165,0.2857142857142857,True,5
2025-02-05,149.0,117.85591888427734,144.16399457923805,135.13858681903324,0.125,True,5
2025-02-06,146.0,117.85591888427734,144.16399457923805,135.13858681903324,0.0,True,5
2025-02-07,139.5,119.94651794433594,144.16399457923805,135.8558003924967,0.2222222222222222,True,5
2025-02-10,140.0,123.03763580322266,144.16399457923805,136.91625800386993,-0.2857142857142857,True,5
2025-02-11,136.0,122.65202331542969,144.16399457923805,136.78396744867644,0.0,True,5
2025-02-13,138.25,120.68617248535156,144.16399457923805,136.1095507584207,0.1666666666666667,True,5
2025-02-14,140.5,118.06147766113281,144.16399457923805,135.20910705781165,0.0,True,5
2025-02-17,144.25,117.85591888427734,144.16399457923805,135.13858681903324,0.2,True,5
2025-02-18,142.75,115.41595458984375,144.16399457923805,134.30151789263425,-0.2,True,5
2025-02-19,140.0,119.1595230102539,144.16399457923805,135.58580914465082,0.5,True,5
2025-02-20,139.0,123.03763580322266,144.16399457923805,136.91625800386993,0.6666666666666666,True,5
2025-03-03,134.5,123.64900970458984,144.16399457923805,137.1259996367345,0.0,True,5
2025-03-04,126.5,123.64900970458984,144.16399457923805,137.1259996367345,0.0,True,5
2025-03-05,139.0,122.0177001953125,144.16399457923805,136.5663527178552,0.0,True,5
2025-03-06,145.0,120.50846099853516,144.16399457923805,136.04858397959632,0.5,True,5
2025-03-07,149.0,122.41473388671875,144.16399457923805,136.702561500323,0.25,True,5
2025-03-10,147.5,121.27804565429688,144.16399457923805,136.3126023519312,0.5,True,5
2025-03-11,145.0,119.15743255615234,144.16399457923805,135.5850919808077,-0.2,True,5
2025-03-12,144.5,119.15743255615234,144.16399457923805,135.5850919808077,0.0,True,5
2025-03-14,148.5,119.15743255615234,144.16399457923805,135.5850919808077,0.2,True,5
2025-03-17,146.0,120.66667175292969,144.16399457923805,136.1028607190666,-0.3333333333333333,True,5
2025-03-18,142.0,119.15743255615234,144.16399457923805,135.5850919808077,0.1428571428571428,True,5
2025-03-19,140.5,119.15743255615234,144.16399457923805,135.5850919808077,0.25,True,5
2025-03-20,142.0,120.66667175292969,144.16399457923805,136.1028607190666,0.0,True,5
2025-03-21,143.0,120.66667175292969,144.16399457923805,136.1028607190666,-0.2,True,5
2025-03-24,139.5,120.66667175292969,144.16399457923805,136.1028607190666,0.4,True,5
2025-03-25,139.5,121.15576934814453,144.16399457923805,136.27065350188101,0.25,True,5
2025-03-26,140.0,120.66667175292969,144.16399457923805,136.1028607190666,0.1111111111111111,True,5
